Title                                                                                               - Score - Year - Num Eps       - Duration           - Genre(s)                                                                        - Link

"Bungaku Shoujo" Movie                                                                              - 7.34  - 2010 - 1 episode     - 1 hr 40 min        - Drama, Mystery, Romance, School                                                 - https://myanimelist.net/anime/6408
#Aqua Iro Palette                                                                                   - 6.26  - 2020 - 1 episode     - 4 min              - Music                                                                           - https://myanimelist.net/anime/51481
11-nin Iru!                                                                                         - 7.04  - 1986 - 1 episode     - 1 hr 31 min        - Action, Adventure, Drama, Mystery, Romance, Sci-Fi, Shoujo, Space               - https://myanimelist.net/anime/1901
123                                                                                                 - 4.67  - 2004 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/37065
15-fun de Wakaru: Kami no Tou                                                                       - 5.90  - 2020 - 2 episodes    - 15 min per ep      - Action, Adventure, Drama, Fantasy, Mystery                                      - https://myanimelist.net/anime/52554
2.43: Seiin Koukou Danshi Volley-bu Mini Anime                                                      - 5.34  - 2020 - 8 episodes    - 1 min per ep       - Slice of Life, Sports, Team Sports                                              - https://myanimelist.net/anime/46000
21 Emon Uchuu e Irasshai!                                                                           - 6.00  - 1981 - 1 episode     - 1 hr 32 min        - Comedy, Sci-Fi, Space                                                           - https://myanimelist.net/anime/6073
23 Hao Niu Nai Tang                                                                                 - None  - 2020 - 26 episodes   - 12 min per ep      - Kids                                                                            - https://myanimelist.net/anime/48010
3341                                                                                                - None  - 2018 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/53771
44-hiki no Neko                                                                                     - 4.55  - 1969 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/8646
7 Days Magic                                                                                        - None  - 2012 - 1 episode     - 28 min             - School, Sports                                                                  - https://myanimelist.net/anime/52322
81 Hao Nongchang: Fengkuang de Mai Ji                                                               - None  - 2014 - 1 episode     - 1 hr 20 min        - Kids                                                                            - https://myanimelist.net/anime/44840
AOTU Xueyuan                                                                                        - None  - 2019 - 15 episodes   - 5 min per ep       - Comedy, Fantasy, School                                                         - https://myanimelist.net/anime/53685
Aa Okashii ne                                                                                       - None  - 1985 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/53872
Aa! Megami-sama! (TV) Specials                                                                      - 7.51  - 2005 - 3 episodes    - 24 min per ep      - Comedy, Romance, Seinen, Supernatural                                           - https://myanimelist.net/anime/1003
Afro Samurai Pilot                                                                                  - 6.69  - 2003 - 1 episode     - 3 min              - Action, Martial Arts, Samurai                                                   - https://myanimelist.net/anime/27939
Ai Jingling Lelia                                                                                   - None  - 2017 - 52 episodes   - 12 min per ep      - Fantasy, Kids                                                                   - https://myanimelist.net/anime/47459
Ai W-kun                                                                                            - None  - 2020 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/53801
Ai Yori Aoshi: Yumegatari                                                                           - 6.74  - 2002 - 1 episode     - 4 min              - Comedy, Harem, Romance, Slice of Life                                           - https://myanimelist.net/anime/6709
Ai ga Oshigoto                                                                                      - None  - 2022 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/53765
Ai ni Iku no.                                                                                       - None  - 1998 - 1 episode     - 4 min              - Kids, Music, Slice of Life                                                      - https://myanimelist.net/anime/56190
Ai no Kusabi                                                                                        - 7.06  - 1992 - 2 episodes    - 54 min per ep      - Boys Love, Drama, Erotica, Sci-Fi                                               - https://myanimelist.net/anime/719
Ai no Wakakusa Yama Monogatari                                                                      - 5.77  - 1999 - 12 episodes   - 4 min per ep       - Comedy                                                                          - https://myanimelist.net/anime/6075
Ai wo Kite                                                                                          - None  - 2021 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/53777
Aika-chan no Chikyuu                                                                                - None  - 1993 - 1 episode     - 33 min             - Kids                                                                            - https://myanimelist.net/anime/38194
Ainone                                                                                              - 4.73  - 2015 - 1 episode     - 5 min              - Drama, Music                                                                    - https://myanimelist.net/anime/32804
Air Folktale                                                                                        - None  - 2020 - 1 episode     - 3 min              - Music                                                                           - https://myanimelist.net/anime/52514
Air Recap                                                                                           - 6.23  - 2005 - 1 episode     - 22 min             - Drama, Romance, Supernatural                                                    - https://myanimelist.net/anime/36032
Aishang Zhi Di                                                                                      - None  - 2022 - 1 episode     - 3 min              - Avant Garde, Music                                                              - https://myanimelist.net/anime/55632
Aishite Knight                                                                                      - 6.80  - 1983 - 42 episodes   - 25 min per ep      - Childcare, Comedy, Romance, Shoujo                                              - https://myanimelist.net/anime/2221
Aitsu to Lullaby: Suiyobi no Cinderella                                                             - 5.91  - 1987 - 1 episode     - 52 min             - Drama, Romance, Shounen                                                         - https://myanimelist.net/anime/14183
Aji no Hiraki no Sandogasa                                                                          - None  - 1998 - 1 episode     - 2 min              - Anthropomorphic, Kids, Music                                                    - https://myanimelist.net/anime/56200
Akanesasu Shoujo                                                                                    - 6.42  - 2018 - 12 episodes   - 23 min per ep      - Action, School, Sci-Fi                                                          - https://myanimelist.net/anime/37561
Akisutozeneko                                                                                       - 4.70  - 2001 - 1 episode     - 2 min              - Music                                                                           - https://myanimelist.net/anime/35786
Akubi Neko                                                                                          - None  - 2010 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/53805
Akuyaku Reijou nanode Last Boss wo Kattemimashita                                                   - 7.23  - 2022 - 12 episodes   - 23 min per ep      - Comedy, Fantasy, Isekai, Romance, Shoujo                                        - https://myanimelist.net/anime/49979
Aloha Edamame                                                                                       - None  - 2008 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/55900
Amaenaide yo!!                                                                                      - 6.44  - 2005 - 12 episodes   - 24 min per ep      - Comedy, Ecchi, Harem, Romance, Seinen, Supernatural                             - https://myanimelist.net/anime/591
Ame no Chi Special                                                                                  - 5.45  - 1997 - 1 episode     - 4 min              - Kids, Music                                                                     - https://myanimelist.net/anime/42650
Ame to Cappuccino                                                                                   - 6.61  - 2019 - 1 episode     - 4 min              - Music                                                                           - https://myanimelist.net/anime/41180
Anata ga Mieru                                                                                      - None  - 1997 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/43531
Angel Cop                                                                                           - 5.97  - 1989 - 6 episodes    - 29 min per ep      - Action, Detective, Sci-Fi                                                       - https://myanimelist.net/anime/1351
Animagear                                                                                           - 5.29  - 2019 - 1 episode     - 42 sec             - Kids, Mecha                                                                     - https://myanimelist.net/anime/40033
Animal 1                                                                                            - None  - 1968 - 27 episodes   - 22 min per ep      - Combat Sports, Sports                                                           - https://myanimelist.net/anime/17671
Animals                                                                                             - None  - 2018 - 1 episode     - 3 min              - Music                                                                           - https://myanimelist.net/anime/55167
Animax Taisou                                                                                       - None  - 2014 - 30 episodes   - Unknown            - Kids, Sports                                                                    - https://myanimelist.net/anime/30914
