Title                                                                                                    - Score - Year - Num Eps      - Duration           - Genre(s)                                                                                 - Link

#Compass                                                                                                 - None  - 2018 - 10 episodes  - 4 min per ep       - Strategy Game                                                                            - https://myanimelist.net/anime/38603
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season                                                    - 6.81  - 2021 - 12 episodes  - 23 min per ep      - Drama, Fantasy, Isekai, Shounen, Survival                                                - https://myanimelist.net/anime/44881
A Flash | Honkai: Star Rail                                                                              - None  - 2023 - 1 episode    - 4 min              - Shounen                                                                                  - https://myanimelist.net/anime/55399
ACCA: 13-ku Kansatsu-ka                                                                                  - 7.66  - 2017 - 12 episodes  - 24 min per ep      - Adult Cast, Detective, Drama, Fantasy, Mystery, Seinen                                   - https://myanimelist.net/anime/33337
Acnes no Uta                                                                                             - None  - 2022 - 1 episode    - 1 min              - Avant Garde, Music                                                                       - https://myanimelist.net/anime/54153
Aguu: Tensai Ningyou                                                                                     - 5.41  - 2018 - 12 episodes  - 23 min per ep      - Action, Drama, Supernatural                                                              - https://myanimelist.net/anime/37769
Ai (ONA)                                                                                                 - 2.65  - 2012 - 1 episode    - 7 sec              - Romance                                                                                  - https://myanimelist.net/anime/32294
Ai Tenchi Muyou! Recaps                                                                                  - 5.38  - 2014 - 10 episodes  - 4 min per ep       - Comedy, Sci-Fi                                                                           - https://myanimelist.net/anime/28531
Ai no Senshi Rainbowman                                                                                  - 6.29  - 1982 - 22 episodes  - 25 min per ep      - Action, Adventure, Mecha, Sci-Fi                                                         - https://myanimelist.net/anime/8285
Aikatsu Planet!                                                                                          - 6.48  - 2021 - 24 episodes  - 10 min per ep      - Idols (Female), Music, School, Slice of Life                                             - https://myanimelist.net/anime/42653
Aiura                                                                                                    - 6.65  - 2013 - 12 episodes  - 4 min per ep       - CGDCT, Comedy, Iyashikei, School, Shounen, Slice of Life                                 - https://myanimelist.net/anime/17082
Akuma-kun: Youkoso Akuma Land e!!                                                                        - 5.96  - 1990 - 1 episode    - 25 min             - Adventure, Fantasy, Horror, Supernatural                                                 - https://myanimelist.net/anime/8227
Albino                                                                                                   - None  - 2021 - 1 episode    - 3 min              - Music                                                                                    - https://myanimelist.net/anime/55669
