Title                                                                           - Score - Year - Num Eps            - Duration              - Genre(s)                                                                            - Link
009 Re:Cyborg x Zip                                                             - 5.31  - 2012 - 10 episode(s)      - 10 sec. per ep.       - Comedy, Super Power                                                                 - https://myanimelist.net/anime/32737
1-ri Botchi no Ookami to 7-hiki no Ko Yagi                                      - 5.20  - 1994 - 1 episode(s)       - 18 min.               - Fantasy, Kids                                                                       - https://myanimelist.net/anime/34190
100% Pascal-sensei (TV)                                                         - 5.61  - 2017 - 36 episode(s)      - 12 min. per ep.       - Comedy                                                                              - https://myanimelist.net/anime/34052
100% Pascal-sensei                                                              - 5.67  - 2016 - 6 episode(s)       - 4 min. per ep.        - Comedy                                                                              - https://myanimelist.net/anime/35447
3-tsu no Hanashi                                                                - 5.23  - 1960 - 1 episode(s)       - 30 min.               - Kids, Fantasy                                                                       - https://myanimelist.net/anime/8774
40-shuunen da yo! Coro Coro All-Star Shougakkou                                 - N/A   - 2017 - Unknown episode(s) - 12 min.               - Comedy, School                                                                      - https://myanimelist.net/anime/35745
Aimai Elegy                                                                     - 6.71  - 2010 - 1 episode(s)       - 3 min.                - Music                                                                               - https://myanimelist.net/anime/13053
Ajimu: Kaigan Monogatari                                                        - 6.44  - 2001 - 4 episode(s)       - 28 min. per ep.       - Comedy, Drama, Romance, School                                                      - https://myanimelist.net/anime/1734
Akebi no Hana: Maho                                                             - 5.78  - 2011 - 1 episode(s)       - 30 min.               - Hentai                                                                              - https://myanimelist.net/anime/10552
Akiko                                                                           - 5.41  - 1996 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/2979
Akuma-kun (Movie)                                                               - 6.01  - 1989 - 1 episode(s)       - 40 min.               - Adventure, Horror, Supernatural, Magic, Fantasy                                     - https://myanimelist.net/anime/8226
Akuma-kun                                                                       - 6.32  - 1989 - 42 episode(s)      - 25 min. per ep.       - Adventure, Fantasy, Horror, Magic, Supernatural                                     - https://myanimelist.net/anime/8194
Ame no Bus Stop-hen                                                             - 4.73  - 2009 - 1 episode(s)       - 5 min.                - Music                                                                               - https://myanimelist.net/anime/32778
Ane Koi: Suki Kirai Daisuki.                                                    - 7.03  - 2013 - 2 episode(s)       - 26 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/16642
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.                        - 8.55  - 2011 - 11 episode(s)      - 22 min. per ep.       - Slice of Life, Supernatural, Drama                                                  - https://myanimelist.net/anime/9989
Ano Musume Shikurette                                                           - N/A   - 2017 - 1 episode(s)       - 3 min.                - Music, Romance                                                                      - https://myanimelist.net/anime/37266
Ape                                                                             - 5.71  - 2014 - 1 episode(s)       - 3 min.                - Music                                                                               - https://myanimelist.net/anime/35553
Apo Apo World: Giant Baba 90-bun 1-hon Shoubu                                   - 4.30  - 1996 - 1 episode(s)       - 1 hr. 30 min.         - Sports, Comedy                                                                      - https://myanimelist.net/anime/22851
Arion                                                                           - 6.30  - 1986 - 1 episode(s)       - 2 hr.                 - Action, Adventure, Fantasy, Magic, Drama, Seinen                                    - https://myanimelist.net/anime/791
Asobi ni Iku yo!: Asobi ni Oide - Owari                                         - 6.38  - 2011 - 1 episode(s)       - 16 sec.               - Comedy                                                                              - https://myanimelist.net/anime/29998
Asobi ni Iku yo!: Asobi ni Oide                                                 - 6.89  - 2011 - 1 episode(s)       - 28 min.               - Comedy, Ecchi, Harem, Romance, Sci-Fi                                               - https://myanimelist.net/anime/9618
Atom: The Beginning                                                             - 6.96  - 2017 - 12 episode(s)      - 25 min. per ep.       - Action, Sci-Fi, Mecha, Seinen                                                       - https://myanimelist.net/anime/33371
Bartender                                                                       - 7.46  - 2006 - 11 episode(s)      - 23 min. per ep.       - Drama, Seinen, Slice of Life                                                        - https://myanimelist.net/anime/1589
Battery                                                                         - 5.78  - 2016 - 11 episode(s)      - 23 min. per ep.       - Slice of Life, Sports, Drama                                                        - https://myanimelist.net/anime/32947
Beanuts                                                                         - 4.69  - 1997 - 2 episode(s)       - 5 min. per ep.        - Comedy, Kids                                                                        - https://myanimelist.net/anime/29351
Betsu ni Anta no Tame ni Ookiku Natta n ja Nai n Dakara ne!!                    - 6.29  - 2011 - 1 episode(s)       - 20 min.               - Hentai                                                                              - https://myanimelist.net/anime/10553
Biohazard: Damnation                                                            - 7.35  - 2012 - 1 episode(s)       - 1 hr. 37 min.         - Action, Sci-Fi, Horror                                                              - https://myanimelist.net/anime/9544
Boku no Sexual Harassment                                                       - 5.90  - 1994 - 3 episode(s)       - 36 min. per ep.       - Hentai, Yaoi                                                                        - https://myanimelist.net/anime/755
Bounen no Xamdou                                                                - 7.77  - 2008 - 26 episode(s)      - 24 min. per ep.       - Action, Military, Sci-Fi                                                            - https://myanimelist.net/anime/4177
Bust to Bust: Chichi wa Chichi ni                                               - 6.77  - 2010 - 3 episode(s)       - 15 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/9442
C: The Money of Soul and Possibility Control                                    - 7.38  - 2011 - 11 episode(s)      - 22 min. per ep.       - Action, Mystery, Super Power, Thriller                                              - https://myanimelist.net/anime/10163
Calimero                                                                        - 6.27  - 1974 - 45 episode(s)      - 25 min. per ep.       - Comedy                                                                              - https://myanimelist.net/anime/2827
Capsule Boy                                                                     - 5.14  - 2016 - 26 episode(s)      - 24 min. per ep.       - Sci-Fi, Kids                                                                        - https://myanimelist.net/anime/34664
Captain Tsubasa: Asu ni Mukatte Hashire!                                        - 6.87  - 1986 - 1 episode(s)       - 35 min.               - Action, Sports, Shounen                                                             - https://myanimelist.net/anime/2120
Cardcaptor Sakura Movie 2: Fuuin Sareta Card                                    - 8.29  - 2000 - 1 episode(s)       - 1 hr. 22 min.         - Comedy, Drama, Fantasy, Magic, Romance, Shoujo                                      - https://myanimelist.net/anime/372
Cardcaptor Sakura: Kero-chan ni Omakase!                                        - 7.46  - 2000 - 1 episode(s)       - 10 min.               - Comedy, Shoujo                                                                      - https://myanimelist.net/anime/1078
Chao Shen Youxi                                                                 - 5.73  - 2013 - 25 episode(s)      - 8 min. per ep.        - Action, Game, Fantasy                                                               - https://myanimelist.net/anime/33703
Chi-Sui Maru 2nd Season                                                         - 5.13  - 2011 - 34 episode(s)      - 5 min. per ep.        - Comedy                                                                              - https://myanimelist.net/anime/11733
