Title                                                                                             - Score - Year - Num Eps            - Duration              - Genre(s)                                                                          - Link
Agukaru                                                                                           - 5.17  - 2010 - 5 episode(s)       - 12 min. per ep.       - Magic, Supernatural, Slice of Life                                                - https://myanimelist.net/anime/9689
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky                                       - 7.74  - 2010 - 3 episode(s)       - 28 min. per ep.       - Action, Comedy, Ecchi, Shounen, Sports                                            - https://myanimelist.net/anime/9201
Airy Me                                                                                           - 6.37  - 2013 - 1 episode(s)       - 5 min.                - Dementia, Drama, Horror, Music                                                    - https://myanimelist.net/anime/21861
Ajin Senshi                                                                                       - 6.34  - 1990 - 1 episode(s)       - 1 hr. 40 min.         - Fantasy, Sci-Fi                                                                   - https://myanimelist.net/anime/17325
Akage no Anne: Green Gables e no Michi                                                            - 6.69  - 2010 - 1 episode(s)       - 1 hr. 39 min.         - Adventure, Slice of Life, Historical, Shoujo                                      - https://myanimelist.net/anime/8950
Akina to Onsen de H Shiyo!                                                                        - 6.47  - 2010 - 1 episode(s)       - 20 min.               - Hentai                                                                            - https://myanimelist.net/anime/9849
Alps no Shoujo Heidi (1979)                                                                       - 6.94  - 1979 - 1 episode(s)       - 1 hr. 47 min.         - Drama, Historical, Slice of Life                                                  - https://myanimelist.net/anime/9547
Aneki no Kounai Kaikinbi                                                                          - 5.57  - 2012 - 1 episode(s)       - 17 min.               - Hentai                                                                            - https://myanimelist.net/anime/13019
Angelique                                                                                         - 6.47  - 2004 - 3 episode(s)       - 30 min. per ep.       - Sci-Fi, Harem, Drama, Romance, Fantasy, Shoujo                                    - https://myanimelist.net/anime/2534
Animegatari                                                                                       - 6.03  - 2015 - 6 episode(s)       - 1 min. per ep.        - Comedy                                                                            - https://myanimelist.net/anime/30617
Anitore! XX: Jigoku no Training                                                                   - N/A   - 2017 - 6 episode(s)       - 4 min. per ep.        - Ecchi, Sports                                                                     - https://myanimelist.net/anime/35926
Antinotice                                                                                        - 5.92  - 2011 - 1 episode(s)       - 3 min.                - Music                                                                             - https://myanimelist.net/anime/15423
Ao no Exorcist                                                                                    - 7.84  - 2011 - 25 episode(s)      - 24 min. per ep.       - Action, Demons, Fantasy, Shounen, Supernatural                                    - https://myanimelist.net/anime/9919
Appleseed (Movie)                                                                                 - 7.19  - 2004 - 1 episode(s)       - 1 hr. 45 min.         - Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen                           - https://myanimelist.net/anime/54
Arslan Senki                                                                                      - 7.01  - 1991 - 6 episode(s)       - 37 min. per ep.       - Action, Adventure, Drama, Fantasy, Historical                                     - https://myanimelist.net/anime/1762
Attack No.1: Namida no Fushichou                                                                  - 6.23  - 1971 - 1 episode(s)       - 1 hr.                 - Sports, Drama, Shoujo                                                             - https://myanimelist.net/anime/9164
Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi                                      - 6.67  - 2002 - 1 episode(s)       - 1 hr. 10 min.         - Action, Adventure, Comedy, Sci-Fi, Shounen, Sports                                - https://myanimelist.net/anime/1670
Beatless Intermission                                                                             - 5.62  - 2018 - Unknown episode(s) - 24 min.               - Action, Sci-Fi, Drama, Romance                                                    - https://myanimelist.net/anime/37277
Black Jack (TV): Hizouban Specials                                                                - 7.25  - 2006 - 2 episode(s)       - 23 min. per ep.       - Adventure                                                                         - https://myanimelist.net/anime/4071
Black Jack: Dr. Pinoko no Mori no Bouken                                                          - 6.38  - 2005 - 1 episode(s)       - 7 min.                - Comedy                                                                            - https://myanimelist.net/anime/4070
Black Jack: Futari no Kuroi Isha - Manner Movie                                                   - 6.08  - 2005 - 1 episode(s)       - 37 sec.               - Comedy, Parody                                                                    - https://myanimelist.net/anime/35859
Black Jack: Futari no Kuroi Isha                                                                  - 7.36  - 2005 - 1 episode(s)       - 1 hr. 37 min.         - Drama                                                                             - https://myanimelist.net/anime/1983
Boku no Chikyuu wo Mamotte                                                                        - 7.27  - 1993 - 6 episode(s)       - 30 min. per ep.       - Drama, Sci-Fi, Shoujo                                                             - https://myanimelist.net/anime/526
Bouningen Weekend                                                                                 - 4.44  - 2015 - 20 episode(s)      - 30 sec. per ep.       - Slice of Life                                                                     - https://myanimelist.net/anime/33273
Buddha Saitan                                                                                     - 6.05  - 2009 - 1 episode(s)       - 1 hr. 55 min.         - Psychological, Supernatural, Romance                                              - https://myanimelist.net/anime/6985
Byulbyul Iyagi 2                                                                                  - 5.53  - 2008 - 6 episode(s)       - 16 min. per ep.       - Psychological, Drama                                                              - https://myanimelist.net/anime/9447
Cardfight!! Vanguard G: Stride Gate-hen                                                           - 7.01  - 2016 - 24 episode(s)      - 24 min. per ep.       - Action, Game, Shounen                                                             - https://myanimelist.net/anime/32802
Cat Shit One                                                                                      - 7.14  - 2010 - 1 episode(s)       - 22 min.               - Action, Fantasy, Military                                                         - https://myanimelist.net/anime/6280
Cheorin Samchongsa                                                                                - 4.12  - 1983 - 1 episode(s)       - 1 hr. 10 min.         - Action, Mecha, Sci-Fi, Space, Shounen                                             - https://myanimelist.net/anime/18271
Chibikko Remi to Meiken Kapi                                                                      - 6.14  - 1970 - 1 episode(s)       - 1 hr. 21 min.         - Slice of Life, Adventure, Drama                                                   - https://myanimelist.net/anime/2830
Chocotan!                                                                                         - 6.00  - 2013 - 1 episode(s)       - 10 min.               - Comedy, Shoujo                                                                    - https://myanimelist.net/anime/18599
Chou Denji Robo Combattler V                                                                      - 6.85  - 1976 - 54 episode(s)      - 25 min. per ep.       - Adventure, Mecha, Sci-Fi, Shounen                                                 - https://myanimelist.net/anime/1068
Chuuchuu Banban                                                                                   - 6.00  - 1970 - 1 episode(s)       - 25 min.               - Adventure, Kids                                                                   - https://myanimelist.net/anime/24927
Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou - 6.68  - 2017 - 24 episode(s)      - 20 sec. per ep.       - Comedy                                                                            - https://myanimelist.net/anime/36855
ChäoS;Child: Silent Sky                                                                           - 6.68  - 2017 - 1 episode(s)       - 50 min.               - Sci-Fi, Mystery, Psychological, Supernatural                                      - https://myanimelist.net/anime/35315
City Hunter: Ai to Shukumei no Magnum                                                             - 7.54  - 1989 - 1 episode(s)       - 1 hr. 27 min.         - Action, Comedy, Mystery, Shounen                                                  - https://myanimelist.net/anime/1474
Cofun Gal no Coffy: Okehazama no Tatakai                                                          - 5.09  - 2007 - 1 episode(s)       - 16 min.               - Parody, Comedy, Historical                                                        - https://myanimelist.net/anime/13507
Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen                                    - 6.90  - 1999 - 1 episode(s)       - 1 hr. 50 min.         - Slice of Life, Comedy, Ecchi, School, Seinen                                      - https://myanimelist.net/anime/8361
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys                                 - 7.19  - 2004 - 1 episode(s)       - 1 hr. 37 min.         - Action, Adventure, Comedy, Historical, Fantasy, Seinen                            - https://myanimelist.net/anime/8364
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome                             - 7.46  - 2010 - 1 episode(s)       - 1 hr. 40 min.         - Sci-Fi, Adventure, Comedy, Seinen                                                 - https://myanimelist.net/anime/8369
DPR Special Movie                                                                                 - 5.46  - 2013 - 1 episode(s)       - 6 min.                - Slice of Life, Space                                                              - https://myanimelist.net/anime/20951
Damekko Doubutsu                                                                                  - 7.39  - 2005 - 26 episode(s)      - 5 min. per ep.        - Slice of Life, Comedy                                                             - https://myanimelist.net/anime/485
Days (TV) OVA                                                                                     - 6.79  - 2017 - 2 episode(s)       - 25 min. per ep.       - Sports, School, Shounen                                                           - https://myanimelist.net/anime/34008
Deadman Wonderland                                                                                - 7.41  - 2011 - 12 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Horror, Shounen                                                   - https://myanimelist.net/anime/6880
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey                                           - 7.65  - 2010 - 1 episode(s)       - 25 min.               - Police, Comedy, Mystery, Shounen                                                  - https://myanimelist.net/anime/8331
Detective Conan Movie 03: The Last Wizard of the Century                                          - 8.15  - 1999 - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Mystery, Comedy, Police, Shounen                                       - https://myanimelist.net/anime/781
Detective Conan Movie 08: Magician of the Silver Sky                                              - 8.22  - 2004 - 1 episode(s)       - 1 hr. 48 min.         - Adventure, Mystery, Comedy, Police, Shounen                                       - https://myanimelist.net/anime/1367
Detective Conan Movie 14: The Lost Ship in the Sky                                                - 8.27  - 2010 - 1 episode(s)       - 1 hr. 42 min.         - Action, Mystery, Police, Shounen                                                  - https://myanimelist.net/anime/6467
Detective Conan: Black History 2                                                                  - 7.63  - 2007 - 1 episode(s)       - 50 min.               - Adventure, Mystery, Comedy, Police, Shounen                                       - https://myanimelist.net/anime/9839
Detective Conan: Black History                                                                    - 7.73  - 2007 - 1 episode(s)       - 25 min.               - Adventure, Mystery, Comedy, Police, Shounen                                       - https://myanimelist.net/anime/7303
Diamond no Ace OVA                                                                                - 7.66  - 2014 - 3 episode(s)       - 23 min. per ep.       - Comedy, Sports, School, Shounen                                                   - https://myanimelist.net/anime/25341
DigiGirl Pop!: Strawberry &amp; Pop Mix Flavor                                                    - 6.09  - 2003 - 26 episode(s)      - 3 min. per ep.        - Comedy, Sci-Fi                                                                    - https://myanimelist.net/anime/7750
Dive to Blue                                                                                      - 6.16  - 2016 - 1 episode(s)       - 4 min.                - Music                                                                             - https://myanimelist.net/anime/33689
Doraemon Movie 05: Nobita no Makai Daibouken                                                      - 7.46  - 1984 - 1 episode(s)       - 1 hr. 38 min.         - Fantasy                                                                           - https://myanimelist.net/anime/2672
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen                                           - 7.71  - 1990 - 1 episode(s)       - 47 min.               - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                       - https://myanimelist.net/anime/986
Dragon Ball: Episode of Bardock                                                                   - 7.34  - 2011 - 1 episode(s)       - 19 min.               - Action, Sci-Fi, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen    - https://myanimelist.net/anime/12231
Dragon Quest: Dai no Daibouken                                                                    - 7.75  - 1991 - 46 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Demons, Magic, Martial Arts, Fantasy, Shounen                  - https://myanimelist.net/anime/2229
Eikoku Koi Monogatari Emma: Molders-hen                                                           - 8.00  - 2007 - 12 episode(s)      - 25 min. per ep.       - Slice of Life, Romance, Historical, Drama, Seinen                                 - https://myanimelist.net/anime/2035
Enoshimans                                                                                        - 5.00  - 2017 - 10 episode(s)      - 3 min. per ep.        - Comedy                                                                            - https://myanimelist.net/anime/35890
