Title                                                                                         - Score - Year - Num Eps            - Duration             - Genre(s)                                                                              - Link
.hack//Liminality                                                                             - 6.69  - 2002 - 4 episode(s)       - 33 min. per ep.      - Game, Mystery, Sci-Fi                                                                 - https://myanimelist.net/anime/299
3-tsu no Kumo                                                                                 - 4.98  - 2005 - 3 episode(s)       - 4 min. per ep.       - Dementia                                                                              - https://myanimelist.net/anime/7809
6 Angels                                                                                      - 4.44  - 2001 - 6 episode(s)       - 15 min. per ep.      - Action, Sci-Fi                                                                        - https://myanimelist.net/anime/2475
9                                                                                             - 5.31  - 2013 - 1 episode(s)       - 4 min.               - Music                                                                                 - https://myanimelist.net/anime/36089
Adauchi Karasu                                                                                - 4.00  - 1934 - 1 episode(s)       - 12 min.              -                                                                                       - https://myanimelist.net/anime/35212
Aggressive Retsuko (ONA)                                                                      - N/A   - 2018 - 10 episode(s)      - 15 min. per ep.      - Comedy                                                                                - https://myanimelist.net/anime/36904
Akuma to Himegimi                                                                             - 4.48  - 1981 - 1 episode(s)       - 31 min.              - Comedy, Shoujo                                                                        - https://myanimelist.net/anime/23779
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!                                           - 6.97  - 2013 - 1 episode(s)       - 25 min.              - Hentai                                                                                - https://myanimelist.net/anime/21069
Amazing Nuts!                                                                                 - 6.68  - 2006 - 4 episode(s)       - 10 min. per ep.      - Adventure, Police, Romance, Music, Sci-Fi                                             - https://myanimelist.net/anime/1998
Anime Tenchou x Touhou Project                                                                - 6.90  - 2010 - 1 episode(s)       - 10 min.              - Fantasy, Magic                                                                        - https://myanimelist.net/anime/9875
Annyeong Totobi                                                                               - 1.33  - 2011 - 104 episode(s)     - 20 min. per ep.      - Kids                                                                                  - https://myanimelist.net/anime/36978
Aoi Sekai no Chuushin de                                                                      - 5.96  - 2012 - 3 episode(s)       - 23 min. per ep.      - Action, Adventure, Ecchi, Fantasy, Parody, Shounen                                    - https://myanimelist.net/anime/15133
Appleseed Saga Ex Machina                                                                     - 7.44  - 2007 - 1 episode(s)       - 1 hr. 44 min.        - Action, Mecha, Military, Sci-Fi                                                       - https://myanimelist.net/anime/2969
Arata naru Sekai: World's/Start/Load/End                                                      - 6.42  - 2012 - 1 episode(s)       - 30 min.              - Sci-Fi                                                                                - https://myanimelist.net/anime/14373
Armitage III: Poly-Matrix                                                                     - 7.16  - 1996 - 1 episode(s)       - 1 hr. 32 min.        - Action, Military, Sci-Fi, Adventure, Police, Romance, Mecha                           - https://myanimelist.net/anime/493
Auction: Bijo Dorei                                                                           - 5.35  - 2000 - 1 episode(s)       - 40 min.              - Hentai                                                                                - https://myanimelist.net/anime/5558
Ayashi no Ceres                                                                               - 7.34  - 2000 - 24 episode(s)      - 21 min. per ep.      - Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo        - https://myanimelist.net/anime/104
Baby Princess 3D Paradise 0 [Love]                                                            - 6.56  - 2011 - 1 episode(s)       - 30 min.              - Ecchi, Harem, Seinen                                                                  - https://myanimelist.net/anime/10196
Bad Badtz-Maru no Ookami ga Kita!                                                             - 5.65  - 2001 - 1 episode(s)       - 10 min.              - Kids, Fantasy                                                                         - https://myanimelist.net/anime/22451
Bakumatsu no Spasibo                                                                          - 6.84  - 1997 - 1 episode(s)       - 1 hr. 25 min.        - Historical                                                                            - https://myanimelist.net/anime/8092
Beads no Mori no Rabi                                                                         - 3.50  - 2015 - Unknown episode(s) - 5 min.               - Kids, Magic                                                                           - https://myanimelist.net/anime/35697
Bernard-jou Iwaku.: Ofuro Dokusho                                                             - 5.90  - 2017 - 1 episode(s)       - 3 min.               - Comedy                                                                                - https://myanimelist.net/anime/37000
Blue Gender: The Warrior                                                                      - 6.32  - 2002 - 1 episode(s)       - 1 hr. 39 min.        - Adventure, Drama, Horror, Mecha, Military, Romance, Sci-Fi, Space                     - https://myanimelist.net/anime/1380
Buddy Complex: Daremo Shiranai Ashita e                                                       - 7.05  - 2014 - 1 episode(s)       - 1 hr. 34 min.        - Action, Mecha, Sci-Fi                                                                 - https://myanimelist.net/anime/31105
Buki yo Saraba                                                                                - 7.08  - 2013 - 1 episode(s)       - 25 min.              - Action, Drama, Sci-Fi                                                                 - https://myanimelist.net/anime/17677
Cele Kano                                                                                     - 6.42  - 2012 - 2 episode(s)       - 26 min. per ep.      - Hentai                                                                                - https://myanimelist.net/anime/12955
