Title                                                                                              - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
"Aesop" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu                                             - 5.00  - 1970 - 1 episode(s)       - 12 min.               - Kids                                                                                                                                                           - https://myanimelist.net/anime/25627
.hack//The Movie: Sekai no Mukou ni                                                                - 7.25  - 2012 - 1 episode(s)       - 1 hr. 50 min.         - Action, Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi                                                                                                       - https://myanimelist.net/anime/11375
0-sen Hayato                                                                                       - 6.53  - 1964 - 38 episode(s)      - 15 min. per ep.       - Historical, Military                                                                                                                                           - https://myanimelist.net/anime/12763
21-ji no Onna: Newscaster Katsuragi Miki                                                           - 5.90  - 2001 - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/2863
3 Choume no Tama: Uchi no Tama Shirimasenka?                                                       - 6.72  - 1988 - 36 episode(s)      - 23 min. per ep.       - Adventure                                                                                                                                                      - https://myanimelist.net/anime/2467
3D Onara Gorou ga Dance Dance Dance!!                                                              - 3.53  - 2016 - 1 episode(s)       - 25 sec.               - Comedy, Music                                                                                                                                                  - https://myanimelist.net/anime/33696
A Tang Qi Yu                                                                                       - 6.56  - 2017 - 1 episode(s)       - 1 hr. 38 min.         - Adventure, Comedy, Kids                                                                                                                                        - https://myanimelist.net/anime/37180
A-Channel+smile                                                                                    - 7.18  - 2012 - 2 episode(s)       - 25 min. per ep.       - Comedy, School, Seinen, Slice of Life                                                                                                                          - https://myanimelist.net/anime/11339
A-Ko The Versus                                                                                    - 6.41  - 1990 - 2 episode(s)       - 51 min. per ep.       - Action, Adventure, Comedy, Romance, Sci-Fi, Super Power                                                                                                        - https://myanimelist.net/anime/1295
ACCA: 13-ku Kansatsu-ka Specials                                                                   - 6.85  - 2017 - 6 episode(s)       - 4 min. per ep.        - Slice of Life, Seinen                                                                                                                                          - https://myanimelist.net/anime/35720
Aa! Megami-sama! Movie                                                                             - 7.63  - 2000 - 1 episode(s)       - 1 hr. 46 min.         - Comedy, Magic, Romance, Seinen, Supernatural                                                                                                                   - https://myanimelist.net/anime/304
Aa! Megami-sama!                                                                                   - 7.38  - 1993 - 5 episode(s)       - 30 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                                                                                   - https://myanimelist.net/anime/49
Abashiri Ikka                                                                                      - 5.56  - 1991 - 4 episode(s)       - 18 min. per ep.       - Action, Comedy, Shounen                                                                                                                                        - https://myanimelist.net/anime/305
