Title                                                                                                                          - Score - Year - Num Eps      - Duration           - Genre(s)                                                                                   - Link

#Ima made de Ichiban Yokatta Sex The Animation                                                                                 - 6.49  - 2022 - 2 episodes   - 16 min per ep      - Hentai                                                                                     - https://myanimelist.net/anime/51723
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou                                                                         - 6.12  - 2003 - 1 episode    - 20 min             - Adventure, Comedy, Fantasy, Sci-Fi, Video Game                                             - https://myanimelist.net/anime/1994
.hack//Unison                                                                                                                  - 6.63  - 2003 - 1 episode    - 24 min             - Adventure, Comedy, Fantasy, Sci-Fi, Video Game                                             - https://myanimelist.net/anime/1487
1/100 Train Station                                                                                                            - 5.09  - 2017 - 1 episode    - 2 min              - Slice of Life                                                                              - https://myanimelist.net/anime/36747
1001 Nights                                                                                                                    - 6.30  - 1999 - 1 episode    - 24 min             - Avant Garde, Fantasy, Mythology, Romance                                                   - https://myanimelist.net/anime/3914
30-pun de Wakaru! Kore made no Love Live!                                                                                      - 7.11  - 2015 - 2 episodes   - 30 min per ep      - Idols (Female), Music, School, Slice of Life                                               - https://myanimelist.net/anime/30829
A-Girl                                                                                                                         - 5.58  - 1993 - 1 episode    - 31 min             - Music, Romance, School, Shoujo                                                             - https://myanimelist.net/anime/5447
AAA de Ikou!!: Yuuna & Akiko                                                                                                   - None  - 2007 - 1 episode    - 11 min             - Comedy                                                                                     - https://myanimelist.net/anime/29750
Abstractions Void                                                                                                              - None  - 2023 - 1 episode    - 4 min              - Music                                                                                      - https://myanimelist.net/anime/55907
Agigongryong Doolie (Movie)                                                                                                    - 5.67  - 1996 - 1 episode    - 1 hr 20 min        - Kids                                                                                       - https://myanimelist.net/anime/16570
Ai Okure                                                                                                                       - None  - 2022 - 1 episode    - 3 min              - Music                                                                                      - https://myanimelist.net/anime/56030
Ai Tenshi Densetsu Wedding Peach DX                                                                                            - 6.68  - 1996 - 4 episodes   - 30 min per ep      - Adventure, Comedy, Romance, Shoujo                                                         - https://myanimelist.net/anime/1957
Ai no Kiseki: Doctor Norman Monogatari                                                                                         - None  - 1982 - 1 episode    - 1 hr 25 min        - Drama, Slice of Life                                                                       - https://myanimelist.net/anime/23861
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!                                                                               - 6.56  - 2014 - 1 episode    - 47 min             - Idols (Female), Music, School, Shoujo                                                      - https://myanimelist.net/anime/28723
Ail Maniax: Inma Seifukugari & Majogari no Yoru ni                                                                             - 5.30  - 2001 - 3 episodes   - 31 min per ep      - Hentai, Mythology                                                                          - https://myanimelist.net/anime/2350
Aisai                                                                                                                          - 6.92  - 2021 - 1 episode    - 4 min              - Music                                                                                      - https://myanimelist.net/anime/50655
Ali Bu Ta Gushi Ji                                                                                                             - None  - 2016 - 13 episodes  - 3 min per ep       - Fantasy, Kids                                                                              - https://myanimelist.net/anime/44733
