Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                               - Link
&quot;Bungaku Shoujo&quot; Kyou no Oyatsu: Hatsukoi                                                  - 7.01  - 2009 - 1 episode(s)       - 15 min.               - Comedy, Fantasy, School                                                - https://myanimelist.net/anime/7669
1/100 Rice Planting                                                                                  - 5.30  - 2016 - 1 episode(s)       - 9 min.                - Slice of Life                                                          - https://myanimelist.net/anime/36745
91 Days Recap                                                                                        - 6.37  - 2016 - 1 episode(s)       - 24 min.               - Action, Historical, Drama                                              - https://myanimelist.net/anime/33964
Ai City                                                                                              - 5.83  - 1986 - 1 episode(s)       - 1 hr. 28 min.         - Action, Super Power, Sci-Fi                                            - https://myanimelist.net/anime/5053
Akaneiro ni Somaru Saka: Hardcore                                                                    - 6.51  - 2009 - 1 episode(s)       - 26 min.               - Comedy, Ecchi, Harem, Romance                                          - https://myanimelist.net/anime/5772
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!                                                   - 7.31  - 2015 - 1 episode(s)       - 23 min.               - Comedy                                                                 - https://myanimelist.net/anime/30206
Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage                                     - 6.64  - 2014 - 7 episode(s)       - 4 min. per ep.        - Comedy                                                                 - https://myanimelist.net/anime/30056
Ane☆Haramix                                                                                          - 6.93  - 2006 - 4 episode(s)       - 26 min. per ep.       - Hentai                                                                 - https://myanimelist.net/anime/2866
Anisava                                                                                              - 5.70  - 2013 - 13 episode(s)      - 5 min. per ep.        - Slice of Life, Comedy, Romance                                         - https://myanimelist.net/anime/27757
Anitore! EX: Jigoku no Training                                                                      - 5.51  - 2016 - 5 episode(s)       - 5 min. per ep.        - Sports                                                                 - https://myanimelist.net/anime/32886
Ankoku Shinwa                                                                                        - 4.18  - 1990 - 2 episode(s)       - 50 min. per ep.       - Demons, Fantasy, Horror, Mystery, Psychological, Supernatural          - https://myanimelist.net/anime/1966
Another: The Other - Inga                                                                            - 7.45  - 2012 - 1 episode(s)       - 24 min.               - Horror, Mystery, Thriller                                              - https://myanimelist.net/anime/11701
Ao no Exorcist: Kuro no Iede                                                                         - 7.41  - 2011 - 1 episode(s)       - 24 min.               - Action, Demons, Fantasy, Shounen, Supernatural                         - https://myanimelist.net/anime/11266
Aria The Avvenire                                                                                    - 8.10  - 2015 - 3 episode(s)       - 21 min. per ep.       - Fantasy, Sci-Fi, Shounen, Slice of Life                                - https://myanimelist.net/anime/29893
Asako Get You!!                                                                                      - 5.88  - 2013 - 2 episode(s)       - 3 min. per ep.        - Comedy, Romance, School, Seinen, Slice of Life                         - https://myanimelist.net/anime/16319
Asgaldh: The Distortion Testament                                                                    - 5.86  - 2001 - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                 - https://myanimelist.net/anime/2872
Ashita Kirarin                                                                                       - 5.94  - 2004 - 1 episode(s)       - 26 min.               - Drama, Kids                                                            - https://myanimelist.net/anime/32255
Ba La La Xiao Mo Xian Zhi: Caihong Xin Shi                                                           - 6.14  - 2011 - 36 episode(s)      - 24 min. per ep.       - Comedy, Magic, Shoujo                                                  - https://myanimelist.net/anime/30519
Ba La La Xiao Mo Xian Zhi: Meng Huan Xuan Lu                                                         - 6.27  - 2015 - 52 episode(s)      - 22 min. per ep.       - Comedy, Magic, Shoujo                                                  - https://myanimelist.net/anime/30156
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi                                            - 7.31  - 2011 - 1 episode(s)       - 3 min.                - Comedy, Magic                                                          - https://myanimelist.net/anime/24727
Bakuman. 2nd Season Special                                                                          - 6.88  - 2012 - 1 episode(s)       - 4 min.                - Comedy                                                                 - https://myanimelist.net/anime/23369
Bakuman. 3rd Season Specials                                                                         - 7.13  - 2013 - 2 episode(s)       - 3 min. per ep.        - Comedy                                                                 - https://myanimelist.net/anime/23361
Be-Bop Highschool                                                                                    - 7.32  - 1990 - 7 episode(s)       - 50 min. per ep.       - Comedy, School, Seinen                                                 - https://myanimelist.net/anime/9645
Bemubemu Hunter Kotengu Tenmaru                                                                      - 5.56  - 1983 - 19 episode(s)      - 25 min. per ep.       - Adventure, Fantasy                                                     - https://myanimelist.net/anime/17687
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE! LOVE!                                                      - 6.84  - 2017 - 1 episode(s)       - 56 min.               - Comedy, Magic, Parody, School, Slice of Life                           - https://myanimelist.net/anime/35182
Bit the Cupid                                                                                        - 5.35  - 1995 - 48 episode(s)      - 25 min. per ep.       - Comedy                                                                 - https://myanimelist.net/anime/9812
Black Cat Special                                                                                    - 7.25  - 2006 - 1 episode(s)       - 24 min.               - Action, Comedy, Shounen                                                - https://myanimelist.net/anime/2589
Blade Runner: Black Out 2022                                                                         - 7.10  - 2017 - 1 episode(s)       - 15 min.               - Sci-Fi, Thriller                                                       - https://myanimelist.net/anime/36308
Blood-C: Special Edition                                                                             - 6.86  - 2012 - 2 episode(s)       - 25 min. per ep.       - Action, Horror, School, Supernatural, Vampire                          - https://myanimelist.net/anime/14117
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA                                                  - N/A   - 2018 - 2 episode(s)       - 15 min. per ep.       - Comedy, Romance, School                                                - https://myanimelist.net/anime/36560
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai                              - 7.20  - 2012 - 1 episode(s)       - 24 min.               - Comedy, Romance, School, Seinen                                        - https://myanimelist.net/anime/14027
Break Blade 6: Doukoku no Toride                                                                     - 7.78  - 2011 - 1 episode(s)       - 52 min.               - Action, Mecha, Military, Shounen                                       - https://myanimelist.net/anime/10092
Break Blade: Virgins War                                                                             - 6.62  - 2014 - 1 episode(s)       - 5 min.                - Action                                                                 - https://myanimelist.net/anime/30573
Brothers Conflict Special                                                                            - 6.76  - 2014 - 1 episode(s)       - 14 min.               - Harem, Romance, Shoujo                                                 - https://myanimelist.net/anime/22745
