Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
A-Channel: Nabe wo Tabeyou                                                                           - 6.96  - 2017 - 1 episode(s)       - 23 min.               - Comedy, School, Seinen, Slice of Life                                                                                                                          - https://myanimelist.net/anime/35285
AOTU Shijie                                                                                          - 6.46  - 2016 - 32 episode(s)      - 12 min. per ep.       - Action, Adventure, Fantasy, Sci-Fi                                                                                                                             - https://myanimelist.net/anime/33704
Ai Shimai: Futari no Kajitsu                                                                         - 6.59  - 2001 - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/1634
Aisubeki Mirai e                                                                                     - 6.40  - 2009 - 1 episode(s)       - 8 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/7659
Akuei to Gacchinpo Tenkomori: Maboroshi no Omake Episode                                             - 4.12  - 2005 - 1 episode(s)       - 1 min.                - Comedy                                                                                                                                                         - https://myanimelist.net/anime/29889
An Ling Yu Shi Di Qi                                                                                 - 6.73  - 2017 - 13 episode(s)      - 22 min. per ep.       - Adventure, Kids, Sci-Fi                                                                                                                                        - https://myanimelist.net/anime/36666
Angel ga Tonda Hi                                                                                    - 5.20  - 1996 - 1 episode(s)       - 1 hr. 20 min.         - Slice of Life, Comedy                                                                                                                                          - https://myanimelist.net/anime/22959
Angelique: Twin Collection                                                                           - 6.21  - 2002 - 8 episode(s)       - 30 min. per ep.       - Fantasy, Sci-Fi, Shoujo                                                                                                                                        - https://myanimelist.net/anime/2537
Ao no Strada                                                                                         - 5.53  - 2017 - 4 episode(s)       - 3 min. per ep.        - Drama                                                                                                                                                          - https://myanimelist.net/anime/34997
Arcana Famiglia: Capriccio - stile Arcana Famiglia                                                   - 6.93  - 2013 - 1 episode(s)       - 23 min.               - Romance, Shoujo                                                                                                                                                - https://myanimelist.net/anime/15411
Ashita no Yukinojou                                                                                  - 5.65  - 2002 - 4 episode(s)       - 30 min. per ep.       - Hentai, Romance, School, Sports                                                                                                                                - https://myanimelist.net/anime/5674
Baccano! Specials                                                                                    - 8.24  - 2008 - 3 episode(s)       - 29 min. per ep.       - Action, Mystery, Comedy, Historical, Supernatural                                                                                                              - https://myanimelist.net/anime/3901
Baccano!                                                                                             - 8.49  - 2007 - 13 episode(s)      - 24 min. per ep.       - Action, Mystery, Comedy, Historical, Supernatural                                                                                                              - https://myanimelist.net/anime/2251
Bakuen Campus Guardress                                                                              - 6.21  - 1994 - 4 episode(s)       - 30 min. per ep.       - Action, Comedy, Supernatural, School, Shounen                                                                                                                  - https://myanimelist.net/anime/2023
Be-yond                                                                                              - 5.73  - 1998 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/4820
Bi-chiku Beach: Nangoku Nyuujoku Satsueikai                                                          - 6.46  - 2011 - 1 episode(s)       - 23 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/10421
Black Clover: Jump Festa 2016 Special                                                                - 7.02  - 2016 - 1 episode(s)       - 27 min.               - Action, Comedy, Magic, Fantasy, Shounen                                                                                                                        - https://myanimelist.net/anime/33950
Black Lagoon: Roberta's Blood Trail                                                                  - 8.13  - 2010 - 5 episode(s)       - 33 min. per ep.       - Action, Seinen                                                                                                                                                 - https://myanimelist.net/anime/4901
Boruto: Jump Festa 2016 Special                                                                      - 6.51  - 2016 - 1 episode(s)       - 11 min.               - Action, Adventure, Comedy, Super Power, Martial Arts, Shounen                                                                                                  - https://myanimelist.net/anime/35072
Bucchigiri                                                                                           - 6.00  - 1989 - 4 episode(s)       - 50 min. per ep.       - Sports                                                                                                                                                         - https://myanimelist.net/anime/9665
Chikatetsu ni Noru                                                                                   - 2.00  - 2017 - 1 episode(s)       - 12 min.               - Slice of Life                                                                                                                                                  - https://myanimelist.net/anime/36888
Chobits: Chibits                                                                                     - 7.07  - 2003 - 1 episode(s)       - 6 min.                - Romance, Comedy                                                                                                                                                - https://myanimelist.net/anime/596
Chogattai Majutsu Robot Ginguiser Specials                                                           - 5.68  - 2009 - 2 episode(s)       - 24 min. per ep.       - Adventure, Mecha, Sci-Fi                                                                                                                                       - https://myanimelist.net/anime/16041
Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors                                             - 6.20  - 2010 - 1 episode(s)       - 13 min.               - Action, Mecha, Historical                                                                                                                                      - https://myanimelist.net/anime/8132
Choujin Gakuen Gowcaizer: The Voltage Fighters                                                       - 5.12  - 1996 - 3 episode(s)       - 30 min. per ep.       - Action, Sci-Fi, Ecchi, Martial Arts, Shounen                                                                                                                   - https://myanimelist.net/anime/1560
Choukou Tenshi Escalayer                                                                             - 6.65  - 2002 - 3 episode(s)       - 28 min. per ep.       - Demons, Hentai, Sci-Fi, Super Power                                                                                                                            - https://myanimelist.net/anime/1780
Chuuka Ichiban!                                                                                      - 7.70  - 1997 - 52 episode(s)      - 23 min. per ep.       - Action, Comedy, Drama, Shounen                                                                                                                                 - https://myanimelist.net/anime/110
Chuunibyou demo Koi ga Shitai! Lite                                                                  - 7.31  - 2012 - 6 episode(s)       - 6 min. per ep.        - Comedy, School                                                                                                                                                 - https://myanimelist.net/anime/15687
Clock Lock Works                                                                                     - 4.82  - 2009 - 1 episode(s)       - 4 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/36180
Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland                                             - 6.51  - 2012 - 1 episode(s)       - 28 min.               - Comedy, Parody, Fantasy                                                                                                                                        - https://myanimelist.net/anime/12685
Code Geass: Hangyaku no Lelouch Picture Drama                                                        - 7.05  - 2007 - 9 episode(s)       - 4 min. per ep.        - Comedy, School, Slice of Life                                                                                                                                  - https://myanimelist.net/anime/1953
Cofun Gal no Coffy Campus Life: Intro                                                                - 4.17  - 2009 - 1 episode(s)       - 4 min.                - Comedy, Parody                                                                                                                                                 - https://myanimelist.net/anime/34372
Court no Naka no Tenshi-tachi                                                                        - 5.95  - 2000 - 2 episode(s)       - 27 min. per ep.       - Hentai, School, Sports                                                                                                                                         - https://myanimelist.net/anime/1512
Daiakuji: The Xena Buster                                                                            - 6.77  - 2003 - 6 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/2352
Dakaretai Onna                                                                                       - 3.68  - 1990 - 2 episode(s)       - 45 min. per ep.       - Romance, Hentai                                                                                                                                                - https://myanimelist.net/anime/19747
Danball Senki Wars: All Star Battle                                                                  - 6.58  - 2014 - 1 episode(s)       - 9 min.                - Action, Kids, Mecha, School                                                                                                                                    - https://myanimelist.net/anime/33957
Dark Blue                                                                                            - 6.11  - 2012 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/12995
Darker than Black: Kuro no Keiyakusha Gaiden                                                         - 8.06  - 2010 - 4 episode(s)       - 24 min. per ep.       - Action, Sci-Fi, Mystery, Super Power                                                                                                                           - https://myanimelist.net/anime/7338
DinoZone                                                                                             - 5.80  - 1998 - 5 episode(s)       - 20 min. per ep.       - Adventure, Sci-Fi, Shounen                                                                                                                                     - https://myanimelist.net/anime/3499
Dochinpira                                                                                           - 5.03  - 1993 - 1 episode(s)       - 45 min.               - Action, Comedy, Hentai                                                                                                                                         - https://myanimelist.net/anime/4693
Dominion                                                                                             - 7.04  - 1988 - 4 episode(s)       - 36 min. per ep.       - Sci-Fi, Comedy, Police, Mecha                                                                                                                                  - https://myanimelist.net/anime/1151
Dousou Kai                                                                                           - 5.84  - 1998 - 4 episode(s)       - 30 min. per ep.       - Harem, Hentai, Romance                                                                                                                                         - https://myanimelist.net/anime/692
Downloader                                                                                           - 6.05  - 2011 - 1 episode(s)       - 3 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/10691
Dragon Knight 4                                                                                      - 5.87  - 1998 - 4 episode(s)       - 30 min. per ep.       - Adventure, Fantasy, Hentai, Magic                                                                                                                              - https://myanimelist.net/anime/1834
