Title                                                                                       - Score - Year - Num Eps      - Duration           - Genre(s)                                                                              - Link

** Kouhai                                                                                   - 7.26  - 2020 - 8 episodes   - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                     - https://myanimelist.net/anime/40658
2005-nen Uchuu no Tabi                                                                      - 4.45  - 2005 - 1 episode    - 1 min              - Avant Garde, Sci-Fi, Space                                                            - https://myanimelist.net/anime/28339
AOTU Shijie 2                                                                               - 6.25  - 2017 - 20 episodes  - 12 min per ep      - Action, Adventure, Fantasy, Sci-Fi                                                    - https://myanimelist.net/anime/36345
Afternoon Class                                                                             - None  - 2015 - 1 episode    - 3 min              - Comedy, School                                                                        - https://myanimelist.net/anime/53069
Ai Doll                                                                                     - 5.64  - 1997 - 4 episodes   - 31 min per ep      - Drama, Hentai                                                                         - https://myanimelist.net/anime/1791
Ai Yori Aoshi: Enishi - Miyuki                                                              - 6.90  - 2003 - 1 episode    - 15 min             - Comedy, Drama, Ecchi, Romance, Seinen                                                 - https://myanimelist.net/anime/3266
Akame ga Kill! Recap                                                                        - 6.74  - 2014 - 1 episode    - 42 min             - Action, Fantasy, Gore, Shounen, Super Power                                           - https://myanimelist.net/anime/26449
Ali Diu Dongxi de Wawa                                                                      - None  - 2012 - 2 episodes   - 7 min per ep       - Fantasy, Kids                                                                         - https://myanimelist.net/anime/44731
Ane Chijo♥Max Heart                                                                         - 6.65  - 2018 - 4 episodes   - 24 min per ep      - Harem, Hentai                                                                         - https://myanimelist.net/anime/38037
Animegataris: Yuku Toshi, Kuru Toshi                                                        - 5.82  - 2017 - 1 episode    - 3 min              - Comedy                                                                                - https://myanimelist.net/anime/37037
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie                              - 7.84  - 2013 - 1 episode    - 1 hr 39 min        - Drama, Supernatural                                                                   - https://myanimelist.net/anime/15039
Anokoro no Namida wa                                                                        - 5.61  - 1997 - 1 episode    - 2 min              - Kids, Music, Slice of Life                                                            - https://myanimelist.net/anime/8669
Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC                                              - 7.40  - 2015 - 1 episode    - 1 hr 45 min        - Action, Sci-Fi, Seinen                                                                - https://myanimelist.net/anime/24919
Around the World!                                                                           - None  - 2008 - 1 episode    - 1 min              - Avant Garde                                                                           - https://myanimelist.net/anime/43385
Astar-eul Hyanghae Chaguchagu                                                               - None  - 2014 - 27 episodes  - 20 min per ep      - Sports, Team Sports                                                                   - https://myanimelist.net/anime/35605
BT21 Universe Animation                                                                     - None  - 2019 - 8 episodes   - 2 min per ep       - Anthropomorphic, Fantasy, Slice of Life                                               - https://myanimelist.net/anime/55344
Bastard!! Ankoku no Hakaishin Season 2 (ONA)                                                - 7.25  - 2023 - 15 episodes  - 25 min per ep      - Action, Adventure, Comedy, Fantasy, Seinen                                            - https://myanimelist.net/anime/54141
Be Authentic                                                                                - 6.30  - 2022 - 1 episode    - 2 min              - Idols (Male), Music                                                                   - https://myanimelist.net/anime/54046
Benpiyaku Colace                                                                            - None  - 2014 - 7 episodes   - 24 sec per ep      - Slice of Life                                                                         - https://myanimelist.net/anime/34711
Berserk (Music)                                                                             - 6.62  - 2015 - 1 episode    - 3 min              - Music                                                                                 - https://myanimelist.net/anime/53253
Black Channel                                                                               - None  - 2020 - Ongoing      - 12 min             - Comedy, Mythology, Supernatural                                                       - https://myanimelist.net/anime/42812
Boy Meets Harem The Animation                                                               - 7.13  - 2014 - 1 episode    - 26 min             - Harem, Hentai                                                                         - https://myanimelist.net/anime/25667
Broadcast by Bibby                                                                          - None  - 2019 - Ongoing      - 24 sec             - Comedy                                                                                - https://myanimelist.net/anime/40029
Brotherhood: Final Fantasy XV                                                               - 6.91  - 2016 - 5 episodes   - 14 min per ep      - Action                                                                                - https://myanimelist.net/anime/33080
