Title                                                                           - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
.hack//Sign                                                                     - 7.09  - 2002 - 26 episode(s)      - 24 min. per ep.       - Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy                                                         - https://myanimelist.net/anime/48
12-sai.: Chicchana Mune no Tokimeki                                             - 6.57  - 2016 - 12 episode(s)      - 24 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/32601
2002-nen Halmeoni Ondo                                                          - 5.44  - 2002 - 1 episode(s)       - 2 min.                - Music, Kids                                                                                              - https://myanimelist.net/anime/31874
3D Kanojo: Real Girl                                                            - 6.93  - 2018 - 12 episode(s)      - 22 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/36793
6♥Princess                                                                      - 5.72  - 2013 - 1 episode(s)       - 3 min.                - Magic, Music                                                                                             - https://myanimelist.net/anime/20913
Abenobashi Mahou☆Shoutengai                                                     - 7.35  - 2002 - 13 episode(s)      - 24 min. per ep.       - Comedy, Parody, Ecchi, Fantasy                                                                           - https://myanimelist.net/anime/306
Absolute Duo                                                                    - 6.76  - 2015 - 12 episode(s)      - 24 min. per ep.       - Action, Harem, Supernatural, Romance, Ecchi, School                                                      - https://myanimelist.net/anime/25397
Afro Samurai                                                                    - 7.41  - 2007 - 5 episode(s)       - 27 min. per ep.       - Action, Adventure, Samurai                                                                               - https://myanimelist.net/anime/1292
Agatha Christie no Meitantei Poirot to Marple                                   - 6.94  - 2004 - 39 episode(s)      - 25 min. per ep.       - Historical, Mystery                                                                                      - https://myanimelist.net/anime/244
Aho Girl                                                                        - 7.26  - 2017 - 12 episode(s)      - 12 min. per ep.       - Comedy, Romance, School, Shounen                                                                         - https://myanimelist.net/anime/34881
Akai Jitensha                                                                   - 5.21  - 1999 - 1 episode(s)       - 2 min.                - Music, Kids                                                                                              - https://myanimelist.net/anime/24999
Akiba's Trip The Animation                                                      - 6.71  - 2017 - 13 episode(s)      - 23 min. per ep.       - Action, Comedy, Supernatural, Ecchi                                                                      - https://myanimelist.net/anime/34051
Akihabara Dennou-gumi                                                           - 6.66  - 1998 - 26 episode(s)      - 23 min. per ep.       - Adventure, Mecha, Sci-Fi, Shoujo                                                                         - https://myanimelist.net/anime/2288
Akikan!                                                                         - 6.33  - 2009 - 12 episode(s)      - 23 min. per ep.       - Comedy, Ecchi, Fantasy, Romance                                                                          - https://myanimelist.net/anime/5112
Akuma no Riddle                                                                 - 6.78  - 2014 - 12 episode(s)      - 23 min. per ep.       - Action, School, Shoujo Ai                                                                                - https://myanimelist.net/anime/19429
Aldnoah.Zero Extra Archives                                                     - 6.91  - 2015 - 1 episode(s)       - 48 min.               - Action, Sci-Fi, Mecha                                                                                    - https://myanimelist.net/anime/29223
Alice or Alice: Siscon Niisan to Futago no Imouto                               - 5.53  - 2018 - Unknown episode(s) - 3 min.                - Slice of Life, Seinen                                                                                    - https://myanimelist.net/anime/36001
