Title                                                                                                - Score - Year - Num Eps            - Duration             - Genre(s)                                                                          - Link
91 Days Special                                                                                      - 6.86  - 2017 - 1 episode(s)       - 24 min.              - Action, Historical, Drama                                                         - https://myanimelist.net/anime/34777
A-Size Classmate                                                                                     - 5.95  - 2016 - 2 episode(s)       - 17 min. per ep.      - Hentai                                                                            - https://myanimelist.net/anime/32484
A.LI.CE                                                                                              - 5.22  - 2000 - 1 episode(s)       - 1 hr. 25 min.        - Sci-Fi                                                                            - https://myanimelist.net/anime/3463
AIUEO Anime Sekai no Douwa: Aesop Monogatari Anime Series                                            - 6.71  - 1989 - 26 episode(s)      - 24 min. per ep.      - Adventure, Fantasy, Kids                                                          - https://myanimelist.net/anime/25717
Ace wo Nerae!                                                                                        - 7.06  - 1973 - 26 episode(s)      - 24 min. per ep.      - Sports, Drama, Romance, School, Shoujo                                            - https://myanimelist.net/anime/311
Aesop's World                                                                                        - 5.73  - 1999 - 26 episode(s)      - 11 min. per ep.      - Kids                                                                              - https://myanimelist.net/anime/4709
Africa no Salaryman                                                                                  - 5.23  - 2017 - 10 episode(s)      - 2 min. per ep.       - Comedy                                                                            - https://myanimelist.net/anime/35113
Agigongryong Doolie (1988)                                                                           - 5.43  - 1988 - 7 episode(s)       - 15 min. per ep.      - Kids                                                                              - https://myanimelist.net/anime/17086
Ai Shoujo Pollyanna Story                                                                            - 6.97  - 1986 - 51 episode(s)      - 26 min. per ep.      - Drama, Historical, Slice of Life                                                  - https://myanimelist.net/anime/2554
Ai Tenshi Densetsu Wedding Peach                                                                     - 6.77  - 1995 - 51 episode(s)      - 24 min. per ep.      - Adventure, Magic, Comedy, Romance, Shoujo                                         - https://myanimelist.net/anime/1533
Ai Uta: Since 2007                                                                                   - 5.44  - 2016 - 1 episode(s)       - 1 min.               - Music                                                                             - https://myanimelist.net/anime/34656
Air Gear                                                                                             - 7.65  - 2006 - 25 episode(s)      - 24 min. per ep.      - Action, Comedy, Ecchi, Shounen, Sports                                            - https://myanimelist.net/anime/857
Air Movie                                                                                            - 7.35  - 2005 - 1 episode(s)       - 1 hr. 31 min.        - Drama, Romance, Supernatural                                                      - https://myanimelist.net/anime/713
Akadou Suzunosuke                                                                                    - 5.93  - 1972 - 52 episode(s)      - 24 min. per ep.      - Adventure, Historical                                                             - https://myanimelist.net/anime/11275
Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page                                          - 7.78  - 2016 - 1 episode(s)       - 24 min.              - Drama, Fantasy, Romance, Shoujo                                                   - https://myanimelist.net/anime/31483
Akahori Gedou Hour Rabuge                                                                            - 6.25  - 2005 - 13 episode(s)      - 24 min. per ep.      - Comedy, Magic, Parody                                                             - https://myanimelist.net/anime/309
Alice Tantei Kyoku                                                                                   - 5.22  - 1995 - 56 episode(s)      - 12 min. per ep.      - Mystery, Kids, Fantasy                                                            - https://myanimelist.net/anime/18819
Amaama to Inazuma                                                                                    - 7.57  - 2016 - 12 episode(s)      - 24 min. per ep.      - Slice of Life, Comedy, Seinen                                                     - https://myanimelist.net/anime/32828
Amakage                                                                                              - N/A   - 2012 - 1 episode(s)       - 3 min.               - Fantasy, Music                                                                    - https://myanimelist.net/anime/37545
Amatsuki                                                                                             - 7.00  - 2008 - 13 episode(s)      - 23 min. per ep.      - Action, Historical, Demons, Supernatural, Fantasy, Josei                          - https://myanimelist.net/anime/3359
Ame-iro Cocoa                                                                                        - 4.78  - 2015 - 12 episode(s)      - 2 min. per ep.       - Comedy, Slice of Life                                                             - https://myanimelist.net/anime/28981
Anime Rakugo Kan                                                                                     - 5.79  - 1992 - 8 episode(s)       - 21 min. per ep.      - Comedy                                                                            - https://myanimelist.net/anime/8723
Anison Nippon                                                                                        - 5.10  - 2014 - 1 episode(s)       - 45 sec.              - Action, Sci-Fi                                                                    - https://myanimelist.net/anime/32289
Anitore! XX: Hitotsu Yane no Shita de                                                                - 5.71  - 2016 - 12 episode(s)      - 4 min. per ep.       - Comedy, Sports                                                                    - https://myanimelist.net/anime/33746
