Title                                                                              - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                      - Link
001                                                                                - 3.34  - 2013 - 1 episode(s)       - 37 sec.               - Comedy                                                                                                                        - https://myanimelist.net/anime/29978
07-Ghost                                                                           - 7.36  - 2009 - 25 episode(s)      - 23 min. per ep.       - Action, Demons, Fantasy, Josei, Magic, Military                                                                               - https://myanimelist.net/anime/5525
100%                                                                               - 5.55  - 1990 - 1 episode(s)       - 53 min.               - Drama                                                                                                                         - https://myanimelist.net/anime/7374
11eyes                                                                             - 6.40  - 2009 - 12 episode(s)      - 25 min. per ep.       - Action, Ecchi, Super Power, Supernatural                                                                                      - https://myanimelist.net/anime/6682
18if                                                                               - 6.35  - 2017 - 13 episode(s)      - 23 min. per ep.       - Mystery, Supernatural                                                                                                         - https://myanimelist.net/anime/35248
20-dai no Heya-hen                                                                 - 5.22  - 2015 - 1 episode(s)       - 15 sec.               - Slice of Life                                                                                                                 - https://myanimelist.net/anime/29347
21 Emon Uchuu ike! Hadashi no Princess                                             - 6.04  - 1992 - 1 episode(s)       - 40 min.               - Space, Comedy, Sci-Fi                                                                                                         - https://myanimelist.net/anime/6074
30-sai no Hoken Taiiku                                                             - 6.80  - 2011 - 12 episode(s)      - 10 min. per ep.       - Ecchi, Parody, Romance, Seinen                                                                                                - https://myanimelist.net/anime/9624
47 Todoufuken                                                                      - 5.16  - 2011 - 26 episode(s)      - 1 min. per ep.        - Kids, Comedy                                                                                                                  - https://myanimelist.net/anime/27589
Aa! Megami-sama! (TV)                                                              - 7.43  - 2005 - 24 episode(s)      - 24 min. per ep.       - Comedy, Supernatural, Magic, Romance, Seinen                                                                                  - https://myanimelist.net/anime/50
Accel World                                                                        - 7.54  - 2012 - 24 episode(s)      - 24 min. per ep.       - Action, Game, Sci-Fi, Romance, School                                                                                         - https://myanimelist.net/anime/11759
Action Heroine Cheer Fruits                                                        - 6.58  - 2017 - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, School                                                                                                 - https://myanimelist.net/anime/34800
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari                                 - 5.95  - 2016 - 12 episode(s)      - 24 min. per ep.       - Comedy, Mecha, Police, Sci-Fi                                                                                                 - https://myanimelist.net/anime/31790
Agigongryong Doolie                                                                - 6.05  - 1987 - 6 episode(s)       - 15 min. per ep.       - Adventure, Kids                                                                                                               - https://myanimelist.net/anime/17088
Aikatsu Stars!                                                                     - 7.36  - 2016 - 100 episode(s)     - 24 min. per ep.       - Music, Slice of Life, School, Shoujo                                                                                          - https://myanimelist.net/anime/32717
Air                                                                                - 7.43  - 2005 - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Supernatural, Drama, Romance                                                                                   - https://myanimelist.net/anime/101
Ajin 2nd Season OVA                                                                - N/A   - 2017 - 1 episode(s)       - 21 min.               - Action, Horror, Mystery, Seinen, Supernatural                                                                                 - https://myanimelist.net/anime/36625
Akagami no Shirayuki-hime                                                          - 7.92  - 2015 - 12 episode(s)      - 24 min. per ep.       - Fantasy, Romance, Drama, Shoujo                                                                                               - https://myanimelist.net/anime/30123
Akage no Anne                                                                      - 7.74  - 1979 - 50 episode(s)      - 25 min. per ep.       - Slice of Life, Historical, Drama                                                                                              - https://myanimelist.net/anime/283
Akame ga Kill!                                                                     - 7.80  - 2014 - 24 episode(s)      - 23 min. per ep.       - Action, Adventure, Drama, Fantasy, Shounen                                                                                    - https://myanimelist.net/anime/22199
Akatsuki no Yona                                                                   - 8.19  - 2014 - 24 episode(s)      - 24 min. per ep.       - Action, Adventure, Comedy, Fantasy, Romance, Shoujo                                                                           - https://myanimelist.net/anime/25013
Akazukin Chacha                                                                    - 7.46  - 1994 - 74 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Fantasy, Magic, Romance, Shoujo                                                                            - https://myanimelist.net/anime/103
Akuei to Gacchinpo: Tenkomori                                                      - 4.20  - 2005 - 12 episode(s)      - 25 min. per ep.       - Kids, Comedy                                                                                                                  - https://myanimelist.net/anime/29843
Alexander Senki Movie                                                              - 6.04  - 2000 - 1 episode(s)       - 1 hr. 40 min.         - Action, Adventure, Dementia, Historical, Military, Mystery, Shounen, Supernatural                                             - https://myanimelist.net/anime/5157
All Out!!                                                                          - 7.22  - 2016 - 25 episode(s)      - 24 min. per ep.       - Sports, School, Seinen                                                                                                        - https://myanimelist.net/anime/31588
Amagi Brilliant Park                                                               - 7.63  - 2014 - 13 episode(s)      - 24 min. per ep.       - Comedy, Magic, Fantasy                                                                                                        - https://myanimelist.net/anime/22147
Amanchu! Advance                                                                   - N/A   - 2018 - 12 episode(s)      - 23 min. per ep.       - Comedy, School, Shounen, Slice of Life                                                                                        - https://myanimelist.net/anime/36800
Amnesia                                                                            - 6.33  - 2013 - 12 episode(s)      - 23 min. per ep.       - Harem, Mystery, Romance, Fantasy, Josei                                                                                       - https://myanimelist.net/anime/15085
Ani ni Tsukeru Kusuri wa Nai!                                                      - 7.38  - 2017 - 12 episode(s)      - 3 min. per ep.        - Slice of Life, Comedy, School                                                                                                 - https://myanimelist.net/anime/35015
Ani*Kuri15                                                                         - 6.94  - 2007 - 15 episode(s)      - 1 min. per ep.        - Slice of Life, Adventure, Fantasy, Magic, Game, Martial Arts, Comedy, Mecha, Super Power, Supernatural, School, Drama, Sci-Fi - https://myanimelist.net/anime/2832
Animation Kikou: Marco Polo no Bouken                                              - 6.45  - 1979 - 43 episode(s)      - 20 min. per ep.       - Adventure, Historical                                                                                                         - https://myanimelist.net/anime/5935
