Title                                                              - Score - Year - Num Eps            - Duration             - Genre(s)                                                                 - Link
.hack//Tasogare no Udewa Densetsu                                  - 6.70  - 2003 - 12 episode(s)      - 23 min. per ep.      - Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen                        - https://myanimelist.net/anime/298
7-kakan.                                                           - 5.62  - 2015 - 1 episode(s)       - 3 min.               - Music                                                                    - https://myanimelist.net/anime/32853
91 Days                                                            - 7.90  - 2016 - 12 episode(s)      - 24 min. per ep.      - Action, Drama, Historical                                                - https://myanimelist.net/anime/32998
A.I.C.O.: Incarnation                                              - 7.08  - 2018 - 12 episode(s)      - 24 min. per ep.      - Action, Sci-Fi                                                           - https://myanimelist.net/anime/36039
Aa! Megami-sama!: Tatakau Tsubasa                                  - 7.68  - 2007 - 2 episode(s)       - 24 min. per ep.      - Comedy, Magic, Romance, Seinen, Supernatural                             - https://myanimelist.net/anime/3090
Alps Monogatari: Watashi no Annette                                - 6.73  - 1983 - 48 episode(s)      - 25 min. per ep.      - Slice of Life, Historical, Drama                                         - https://myanimelist.net/anime/2546
Angel Blade: Ultimate Edition - Tokuteneizou                       - 6.27  - 2004 - 1 episode(s)       - 6 min.               - Sci-Fi, Hentai                                                           - https://myanimelist.net/anime/4946
Animal Dance                                                       - 4.82  - 2009 - 1 episode(s)       - 5 min.               - Music, Dementia                                                          - https://myanimelist.net/anime/10436
Anime Mitai na                                                     - 5.33  - 2014 - 1 episode(s)       - 4 min.               -                                                                          - https://myanimelist.net/anime/35707
Anime Oyako Gekijou                                                - 5.93  - 1981 - 26 episode(s)      - 24 min. per ep.      - Kids, Adventure, Fantasy, Historical, Sci-Fi                             - https://myanimelist.net/anime/2882
Anime Sanjuushi                                                    - 7.22  - 1987 - 52 episode(s)      - 28 min. per ep.      - Adventure, Drama, Historical, Romance                                    - https://myanimelist.net/anime/2333
Ansatsu Kyoushitsu (TV): Deai no Jikan                             - 7.45  - 2014 - 1 episode(s)       - 10 min.              - Action, Comedy, School, Shounen                                          - https://myanimelist.net/anime/28405
Aquarion Evol                                                      - 7.27  - 2012 - 26 episode(s)      - 24 min. per ep.      - Action, Comedy, Drama, Fantasy, Mecha, Romance, Sci-Fi                   - https://myanimelist.net/anime/10447
Arata Kangatari                                                    - 6.63  - 2013 - 12 episode(s)      - 24 min. per ep.      - Adventure, Fantasy, Shounen                                              - https://myanimelist.net/anime/16518
Area 88 (TV)                                                       - 7.12  - 2004 - 12 episode(s)      - 25 min. per ep.      - Action, Drama, Military, Romance, Shounen                                - https://myanimelist.net/anime/284
Armed Blue Gunvolt                                                 - 5.92  - 2017 - 1 episode(s)       - 21 min.              - Action, Sci-Fi, Super Power                                              - https://myanimelist.net/anime/33564
Arslan Senki (TV) OVA                                              - 7.04  - 2016 - 2 episode(s)       - 24 min. per ep.      - Adventure, Historical, Fantasy, Shounen                                  - https://myanimelist.net/anime/33254
Asagao to Kase-san.                                                - N/A   - 2018 - 1 episode(s)       - Unknown              - Romance, School, Shoujo Ai                                               - https://myanimelist.net/anime/36214
Asu no Yoichi!                                                     - 6.96  - 2009 - 12 episode(s)      - 24 min. per ep.      - Harem, Comedy, Romance, Ecchi, Martial Arts, Shounen                     - https://myanimelist.net/anime/4999
Azumanga Daioh                                                     - 8.04  - 2002 - 26 episode(s)      - 24 min. per ep.      - Slice of Life, Comedy, School                                            - https://myanimelist.net/anime/66
Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao 2nd Season          - 4.73  - 2017 - 26 episode(s)      - 22 min. per ep.      - Comedy, Magic, Shoujo                                                    - https://myanimelist.net/anime/34669
Bakukyuu Hit! Crash B-Daman                                        - 6.38  - 2006 - 50 episode(s)      - 23 min. per ep.      - Game, Adventure, Kids                                                    - https://myanimelist.net/anime/4563
Ballroom e Youkoso                                                 - 8.35  - 2017 - 24 episode(s)      - 24 min. per ep.      - Comedy, Sports, Drama, Romance, School, Shounen                          - https://myanimelist.net/anime/34636
Basilisk: Ouka Ninpouchou                                          - 6.16  - 2018 - 24 episode(s)      - 23 min. per ep.      - Action, Martial Arts, Historical, Drama                                  - https://myanimelist.net/anime/35964
Batain Lai!! Minami no Shima no Mizu Monogatari                    - 6.18  - 2009 - 1 episode(s)       - 1 hr. 30 min.        - Historical, Slice of Life                                                - https://myanimelist.net/anime/6688
Battle Spirits: Sword Eyes                                         - 7.05  - 2012 - 29 episode(s)      - 25 min. per ep.      - Action, Game, Adventure, Fantasy, Shounen                                - https://myanimelist.net/anime/14913
Beelzebub                                                          - 8.03  - 2011 - 60 episode(s)      - 24 min. per ep.      - Action, Comedy, Demons, Supernatural, School, Shounen                    - https://myanimelist.net/anime/9513
Ben-To                                                             - 7.43  - 2011 - 12 episode(s)      - 24 min. per ep.      - Action, Comedy, Martial Arts                                             - https://myanimelist.net/anime/10396
Bijukubo                                                           - 6.47  - 2010 - 2 episode(s)       - 30 min. per ep.      - Hentai                                                                   - https://myanimelist.net/anime/8655
Bikini Warriors Special                                            - 5.48  - 2015 - 1 episode(s)       - 4 min.               - Comedy, Parody, Ecchi, Fantasy, Yuri                                     - https://myanimelist.net/anime/31283
Bikkuriman: Moen Zone no Himitsu                                   - 5.41  - 1988 - 1 episode(s)       - 45 min.              - Action, Adventure, Kids                                                  - https://myanimelist.net/anime/10200
Binan Koukou Chikyuu Bouei-bu Happy Kiss!                          - N/A   - 2018 - Unknown episode(s) - Unknown              - Slice of Life, Comedy, Parody, Magic, School                             - https://myanimelist.net/anime/37036
Bishoujo Senshi Sailor Moon: Sailor Stars                          - 7.99  - 1996 - 34 episode(s)      - 24 min. per ep.      - Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo                - https://myanimelist.net/anime/996
Black Lagoon                                                       - 8.14  - 2006 - 12 episode(s)      - 24 min. per ep.      - Action, Seinen                                                           - https://myanimelist.net/anime/889
BlazBlue: Alter Memory                                             - 6.25  - 2013 - 12 episode(s)      - 24 min. per ep.      - Action, Fantasy                                                          - https://myanimelist.net/anime/18767
Bobby ni Kubittake                                                 - 6.22  - 1985 - 1 episode(s)       - 44 min.              - Drama, Romance, Slice of Life                                            - https://myanimelist.net/anime/3120
Boku wa Mada 7-sai Datta                                           - 6.10  - 2016 - 1 episode(s)       - 3 min.               - Music                                                                    - https://myanimelist.net/anime/36716
Bokurano                                                           - 7.76  - 2007 - 24 episode(s)      - 23 min. per ep.      - Sci-Fi, Psychological, Drama, Mecha                                      - https://myanimelist.net/anime/1690
Bussouna Yoru                                                      - N/A   - 2016 - 1 episode(s)       - 4 min.               -                                                                          - https://myanimelist.net/anime/35735
