Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
.hack//Roots                                                                                         - 7.02  - 2006 - 26 episode(s)      - 24 min. per ep.       - Adventure, Fantasy, Game, Drama, Sci-Fi                                                                                                                        - https://myanimelist.net/anime/873
.hack//Sign                                                                                          - 7.10  - 2002 - 26 episode(s)      - 24 min. per ep.       - Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy                                                                                                               - https://myanimelist.net/anime/48
009-1: R&B                                                                                           - 6.40  - 2007 - 1 episode(s)       - 25 min.               - Action, Sci-Fi, Seinen                                                                                                                                         - https://myanimelist.net/anime/3234
07-Ghost                                                                                             - 7.36  - 2009 - 25 episode(s)      - 23 min. per ep.       - Action, Demons, Fantasy, Josei, Magic, Military                                                                                                                - https://myanimelist.net/anime/5525
100% Pascal-sensei (TV)                                                                              - 5.67  - 2017 - 36 episode(s)      - 12 min. per ep.       - Comedy                                                                                                                                                         - https://myanimelist.net/anime/34052
1001 Nights                                                                                          - 6.34  - 1999 - 1 episode(s)       - 24 min.               - Demons, Fantasy, Romance, Seinen                                                                                                                               - https://myanimelist.net/anime/3914
12-sai.                                                                                              - 6.46  - 2014 - 8 episode(s)       - 11 min. per ep.       - Romance, School, Shoujo                                                                                                                                        - https://myanimelist.net/anime/23579
2002-nen Harmoni Ondo                                                                                - 5.53  - 2002 - 1 episode(s)       - 2 min.                - Kids, Music                                                                                                                                                    - https://myanimelist.net/anime/31874
21-ji no Onna: Newscaster Katsuragi Miki                                                             - 5.92  - 2001 - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/2863
30-sai no Hoken Taiiku                                                                               - 6.80  - 2011 - 12 episode(s)      - 10 min. per ep.       - Ecchi, Parody, Romance, Seinen                                                                                                                                 - https://myanimelist.net/anime/9624
3D Kanojo: Real Girl                                                                                 - N/A   - 2018 - Unknown episode(s) - Unknown               - Romance, School, Shoujo                                                                                                                                        - https://myanimelist.net/anime/36793
3D Onara Gorou ga Dance Dance Dance!!                                                                - 3.55  - 2016 - 1 episode(s)       - 25 sec.               - Comedy, Music                                                                                                                                                  - https://myanimelist.net/anime/33696
47 Todoufuken                                                                                        - 5.16  - 2011 - 26 episode(s)      - 1 min. per ep.        - Kids, Comedy                                                                                                                                                   - https://myanimelist.net/anime/27589
A-Channel                                                                                            - 7.04  - 2011 - 12 episode(s)      - 24 min. per ep.       - Comedy, School, Seinen, Slice of Life                                                                                                                          - https://myanimelist.net/anime/9776
A.D. Police (TV)                                                                                     - 6.11  - 1999 - 12 episode(s)      - 24 min. per ep.       - Action, Mecha, Sci-Fi, Shounen                                                                                                                                 - https://myanimelist.net/anime/1349
AIKa R-16: Virgin Mission                                                                            - 6.06  - 2007 - 3 episode(s)       - 25 min. per ep.       - Action, Ecchi, Comedy                                                                                                                                          - https://myanimelist.net/anime/2163
AIKa                                                                                                 - 6.00  - 1997 - 7 episode(s)       - 30 min. per ep.       - Action, Ecchi, Adventure, Comedy, Sci-Fi                                                                                                                       - https://myanimelist.net/anime/366
Aa Harimanada                                                                                        - 6.17  - 1992 - 23 episode(s)      - 24 min. per ep.       - Sports, Martial Arts, Seinen                                                                                                                                   - https://myanimelist.net/anime/8216
Aa! Megami-sama! (TV) Specials                                                                       - 7.59  - 2005 - 3 episode(s)       - 24 min. per ep.       - Magic, Comedy, Romance, Supernatural, Seinen                                                                                                                   - https://myanimelist.net/anime/1003
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne                                                     - 7.01  - 1998 - 48 episode(s)      - 7 min. per ep.        - Comedy, Magic, Supernatural                                                                                                                                    - https://myanimelist.net/anime/303
Abenobashi Mahou☆Shoutengai                                                                          - 7.35  - 2002 - 13 episode(s)      - 24 min. per ep.       - Comedy, Parody, Ecchi, Fantasy                                                                                                                                 - https://myanimelist.net/anime/306
Accel World                                                                                          - 7.54  - 2012 - 24 episode(s)      - 24 min. per ep.       - Action, Game, Sci-Fi, Romance, School                                                                                                                          - https://myanimelist.net/anime/11759
Acchi Kocchi (TV)                                                                                    - 7.62  - 2012 - 12 episode(s)      - 25 min. per ep.       - Slice of Life, Comedy, Romance, School, Seinen                                                                                                                 - https://myanimelist.net/anime/12291
Aesop's World                                                                                        - 5.73  - 1999 - 26 episode(s)      - 11 min. per ep.       - Kids                                                                                                                                                           - https://myanimelist.net/anime/4709
Against                                                                                              - 4.53  - 2013 - 1 episode(s)       - 16 sec.               - Dementia, Fantasy                                                                                                                                              - https://myanimelist.net/anime/34887
Aggressive Retsuko (ONA)                                                                             - N/A   - 2018 - 10 episode(s)      - 15 min. per ep.       - Comedy                                                                                                                                                         - https://myanimelist.net/anime/36904
Aggressive Retsuko                                                                                   - 7.49  - 2016 - Unknown episode(s) - 1 min.                - Comedy, Music                                                                                                                                                  - https://myanimelist.net/anime/32977
Ahiru no Pekkle no Hihou wo Sagase                                                                   - 4.97  - 1993 - 1 episode(s)       - 20 min.               - Adventure, Fantasy, Kids                                                                                                                                       - https://myanimelist.net/anime/22621
Ai Monogatari: 9 Love Stories                                                                        - 6.76  - 1993 - 1 episode(s)       - 1 hr. 32 min.         - Drama, Romance                                                                                                                                                 - https://myanimelist.net/anime/2387
Ai Shimai: Futari no Kajitsu                                                                         - 6.59  - 2001 - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/1634
Ai Tenshi Densetsu Wedding Peach                                                                     - 6.77  - 1995 - 51 episode(s)      - 24 min. per ep.       - Adventure, Magic, Comedy, Romance, Shoujo                                                                                                                      - https://myanimelist.net/anime/1533
Ai Yori Aoshi: Yumegatari                                                                            - 6.88  - 2002 - 1 episode(s)       - 4 min.                - Comedy, Harem, Romance, Slice of Life                                                                                                                          - https://myanimelist.net/anime/6709
Ai Yori Aoshi                                                                                        - 7.21  - 2002 - 24 episode(s)      - 23 min. per ep.       - Comedy, Drama, Harem, Romance, Slice of Life                                                                                                                   - https://myanimelist.net/anime/53
