Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                            - Link
"Eiji"                                                                                               - 5.96  - 1990 - 1 episode(s)       - 48 min.               - Comedy, Drama, Sports                                                               - https://myanimelist.net/anime/6076
15 Bishoujo Hyouryuuki                                                                               - 6.94  - 2009 - 3 episode(s)       - 26 min. per ep.       - Comedy, Harem, Hentai                                                               - https://myanimelist.net/anime/5762
21 Emon Uchuu e Irasshai!                                                                            - 5.59  - 1981 - 1 episode(s)       - 1 hr. 32 min.         - Space, Comedy, Sci-Fi                                                               - https://myanimelist.net/anime/6073
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!                                                   - 6.08  - 1993 - 1 episode(s)       - 43 min.               - Adventure, Kids                                                                     - https://myanimelist.net/anime/12589
3-tsu no Kumo                                                                                        - 4.98  - 2005 - 3 episode(s)       - 4 min. per ep.        - Dementia                                                                            - https://myanimelist.net/anime/7809
30th Gundam Perfect Mission                                                                          - 7.02  - 2009 - 1 episode(s)       - 2 min.                - Mecha, Sci-Fi                                                                       - https://myanimelist.net/anime/7113
8-gatsu no Symphony: Shibuya 2002-2003                                                               - 6.73  - 2009 - 1 episode(s)       - 1 hr. 52 min.         - Music                                                                               - https://myanimelist.net/anime/6670
84 Taekwon V                                                                                         - 5.34  - 1984 - 1 episode(s)       - 1 hr. 18 min.         - Action, Mecha, Sci-Fi                                                               - https://myanimelist.net/anime/16564
91 Days Recap                                                                                        - 6.37  - 2016 - 1 episode(s)       - 24 min.               - Action, Historical, Drama                                                           - https://myanimelist.net/anime/33964
AAA de Ikou!!: Yuuna & Akiko                                                                         - 5.96  - 2007 - 1 episode(s)       - 11 min.               - Comedy                                                                              - https://myanimelist.net/anime/29750
AIKa Zero Picture Drama                                                                              - 5.70  - 2009 - 3 episode(s)       - 5 min. per ep.        - Ecchi                                                                               - https://myanimelist.net/anime/7453
Abstract feat. Alkama                                                                                - 5.39  - 2017 - 1 episode(s)       - 2 min.                - Dementia                                                                            - https://myanimelist.net/anime/36182
Advancer Tina                                                                                        - 5.07  - 1996 - 1 episode(s)       - 45 min.               - Space, Hentai, Sci-Fi                                                               - https://myanimelist.net/anime/3635
After... The Animation                                                                               - 5.83  - 2007 - 2 episode(s)       - 26 min. per ep.       - Hentai, School                                                                      - https://myanimelist.net/anime/3711
Ai (ONA)                                                                                             - 2.60  - 2012 - 1 episode(s)       - 7 sec.                - Romance                                                                             - https://myanimelist.net/anime/32294
Ai Sky Tree 21                                                                                       - 4.47  - 2012 - 1 episode(s)       - 15 sec.               - Action                                                                              - https://myanimelist.net/anime/32295
Ai no Kusabi                                                                                         - 7.31  - 1992 - 2 episode(s)       - 54 min. per ep.       - Drama, Romance, Sci-Fi, Yaoi                                                        - https://myanimelist.net/anime/719
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken                                                 - 5.87  - 1990 - 1 episode(s)       - 45 min.               - Adventure, Fantasy, Comedy                                                          - https://myanimelist.net/anime/5931
Aikatsu Stars! Movie                                                                                 - 7.41  - 2016 - 1 episode(s)       - 59 min.               - Music, School, Shoujo, Slice of Life                                                - https://myanimelist.net/anime/31485
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!                                              - 7.13  - 2015 - 1 episode(s)       - 56 min.               - Music, Shoujo                                                                       - https://myanimelist.net/anime/30845
Aikatsu!: Nerawareta Mahou no Aikatsu! Card                                                          - 7.34  - 2016 - 1 episode(s)       - 27 min.               - Music, Slice of Life, School, Shoujo                                                - https://myanimelist.net/anime/32806
Aikodesho                                                                                            - 3.79  - 1988 - 1 episode(s)       - 2 min.                - Kids, Music                                                                         - https://myanimelist.net/anime/32421
Ail Maniax: Inma Seifukugari & Majogari no Yoru ni                                                   - 5.45  - 2001 - 3 episode(s)       - 30 min. per ep.       - Hentai, Demons                                                                      - https://myanimelist.net/anime/2350
Air in Summer                                                                                        - 7.43  - 2005 - 2 episode(s)       - 24 min. per ep.       - Romance, Supernatural, Comedy, Historical, Drama                                    - https://myanimelist.net/anime/656
Ajisai no Uta                                                                                        - 5.43  - 2004 - 3 episode(s)       - 30 min. per ep.       - Comedy, Historical, Drama                                                           - https://myanimelist.net/anime/27557
Akai Shouzou: Char, Soshite Frontal e                                                                - 6.24  - 2010 - 1 episode(s)       - 1 hr. 45 min.         - Drama, Mecha, Military, Sci-Fi, Shounen, Space                                      - https://myanimelist.net/anime/14007
Akame ga Kill! Recap                                                                                 - 6.90  - 2014 - 1 episode(s)       - 42 min.               - Action, Adventure, Fantasy                                                          - https://myanimelist.net/anime/26449
Akihabara Dennou-gumi: 2011-nen no Natsuyasumi                                                       - 6.83  - 1999 - 1 episode(s)       - 1 hr.                 - Adventure, Comedy, Mecha, Sci-Fi                                                    - https://myanimelist.net/anime/2289
Akuma Tou no Prince: Mitsume ga Tooru                                                                - 5.03  - 1985 - 1 episode(s)       - 1 hr. 19 min.         - Adventure, Comedy, Demons, Supernatural                                             - https://myanimelist.net/anime/19773
Alps no Shoujo Heidi: Alm no Yama-hen                                                                - 6.59  - 1996 - 1 episode(s)       - 1 hr. 28 min.         - Slice of Life, Historical, Drama                                                    - https://myanimelist.net/anime/9548
Alps no Shoujo Heidi: Heidi to Clara-hen                                                             - 6.63  - 1996 - 1 episode(s)       - 1 hr. 29 min.         - Slice of Life, Historical, Drama                                                    - https://myanimelist.net/anime/9549
Amada Anime Series: Super Mario Brothers                                                             - 5.09  - 1989 - 3 episode(s)       - 11 min. per ep.       - Adventure, Comedy, Shounen                                                          - https://myanimelist.net/anime/4389
Andromeda Stories                                                                                    - 6.00  - 1982 - 1 episode(s)       - 1 hr. 25 min.         - Action, Drama, Fantasy, Sci-Fi, Space                                               - https://myanimelist.net/anime/3675
Ane Kyun!: Joshi ga Ie ni Kita!                                                                      - 6.68  - 2014 - 1 episode(s)       - 25 min.               - Hentai                                                                              - https://myanimelist.net/anime/24967
Aneimo                                                                                               - 7.08  - 2008 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/5194
Ane☆Haramix                                                                                          - 6.93  - 2006 - 4 episode(s)       - 26 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/2866
Aniki no Yome-san nara, Ore ni Hamerarete Hiihii Itteru Tokoro Da yo                                 - 6.14  - 2015 - 1 episode(s)       - 26 min.               - Hentai                                                                              - https://myanimelist.net/anime/31101
Animation de Tsutaeru: Hibakusha kara no Tegami                                                      - 6.30  - 2017 - 2 episode(s)       - 5 min. per ep.        - Drama, Historical                                                                   - https://myanimelist.net/anime/36127
Animax Taisou                                                                                        - 4.82  - 2014 - Unknown episode(s) - Unknown               - Sports, Kids                                                                        - https://myanimelist.net/anime/30914
Anime Tenchou                                                                                        - 6.09  - 2002 - 1 episode(s)       - 2 min.                - Action, Parody                                                                      - https://myanimelist.net/anime/3080
Anime-ban Toukaidou Yotsuya Kaidan                                                                   - 4.13  - 1981 - 1 episode(s)       - 46 min.               - Historical, Horror, Supernatural                                                    - https://myanimelist.net/anime/34236
Anisama                                                                                              - 6.12  - 2017 - 1 episode(s)       - 4 min.                - Adventure, Comedy, Fantasy                                                          - https://myanimelist.net/anime/36228
Anne no Nikki                                                                                        - 7.02  - 1995 - 1 episode(s)       - 1 hr. 28 min.         - Drama, Historical                                                                   - https://myanimelist.net/anime/3829
Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku                                                  - 6.77  - 2015 - 1 episode(s)       - 22 min.               - Historical                                                                          - https://myanimelist.net/anime/31563
Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.    - 7.28  - 2014 - 1 episode(s)       - 26 min.               - Comedy, Drama, Romance, Sci-Fi, Slice of Life                                       - https://myanimelist.net/anime/23447
Antinotice                                                                                           - 5.92  - 2011 - 1 episode(s)       - 3 min.                - Music                                                                               - https://myanimelist.net/anime/15423
Aoi Hitomi no Onnanoko no Ohanashi                                                                   - 6.28  - 2009 - 1 episode(s)       - 55 min.               - Drama, Historical                                                                   - https://myanimelist.net/anime/10901
Aoki Ryuusei SPT Layzner OVA                                                                         - 6.89  - 1986 - 3 episode(s)       - 55 min. per ep.       - Action, Space, Mecha, Military, Sci-Fi, Shounen                                     - https://myanimelist.net/anime/5755
Arslan Senki                                                                                         - 7.01  - 1991 - 6 episode(s)       - 37 min. per ep.       - Action, Adventure, Drama, Fantasy, Historical                                       - https://myanimelist.net/anime/1762
Attack No.1: Namida no Kaiten Receive                                                                - 6.29  - 1970 - 1 episode(s)       - 1 hr.                 - Sports, Drama, Shoujo                                                               - https://myanimelist.net/anime/9165
Ayatsuri Haramase DreamNote                                                                          - 6.20  - 2009 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/6635
Ayatsuri Ningyou                                                                                     - 4.86  - 1999 - 2 episode(s)       - 28 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/5611
Azusa, Otetsudai Shimasu!                                                                            - 6.27  - 2004 - 1 episode(s)       - 44 min.               - Comedy, Sci-Fi, Slice of Life, Sports                                               - https://myanimelist.net/anime/2309
B'T X Neo                                                                                            - 7.28  - 1997 - 14 episode(s)      - 24 min. per ep.       - Action, Adventure, Shounen                                                          - https://myanimelist.net/anime/1736
Bakemonogatari Recap                                                                                 - 7.38  - 2009 - 1 episode(s)       - 24 min.               - Mystery, Romance, Supernatural                                                      - https://myanimelist.net/anime/6948
Baku Ane: Otouto Shibocchau zo! The Animation                                                        - 7.49  - 2014 - 1 episode(s)       - 33 min.               - Hentai                                                                              - https://myanimelist.net/anime/24641
Bakuon!! no Kobeya                                                                                   - 6.09  - 2016 - 4 episode(s)       - 2 min. per ep.        - Comedy, Seinen, Slice of Life                                                       - https://myanimelist.net/anime/34623
Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi                                         - 6.67  - 2002 - 1 episode(s)       - 1 hr. 10 min.         - Action, Adventure, Comedy, Sci-Fi, Shounen, Sports                                  - https://myanimelist.net/anime/1670
Banana Mura ni Ame ga Furu                                                                           - 4.67  - 1987 - 1 episode(s)       - 2 min.                - Music, Kids                                                                         - https://myanimelist.net/anime/29107
Bannou Bunka Neko-Musume Specials                                                                    - 6.63  - 1999 - 2 episode(s)       - 23 min. per ep.       - Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen                                    - https://myanimelist.net/anime/3232
Barnacle Lou                                                                                         - 5.38  - 2009 - 52 episode(s)      - 7 min. per ep.        - Kids                                                                                - https://myanimelist.net/anime/24875
Bastard!!: Ankoku no Hakaishin                                                                       - 6.87  - 1992 - 6 episode(s)       - 26 min. per ep.       - Action, Adventure, Comedy, Ecchi, Fantasy, Seinen                                   - https://myanimelist.net/anime/404
Beat in Love                                                                                         - 4.32  - 2008 - 1 episode(s)       - 3 min.                - Music                                                                               - https://myanimelist.net/anime/36078
Bibury                                                                                               - 5.83  - 2017 - 1 episode(s)       - 1 min.                - Slice of Life                                                                       - https://myanimelist.net/anime/36155
Bic Contact X Mameshiba Collab CM                                                                    - 5.23  - 2013 - 1 episode(s)       - 30 sec.               - Comedy                                                                              - https://myanimelist.net/anime/33550
Biju Tune!                                                                                           - 3.67  - 2013 - Unknown episode(s) - 1 min.                - Music                                                                               - https://myanimelist.net/anime/36613
Bikkuriman Kids: Theme Fighter Nyander                                                               - 4.67  - 2008 - 4 episode(s)       - 2 min. per ep.        - Kids, Parody                                                                        - https://myanimelist.net/anime/34700
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE! LOVE!                                                      - 6.84  - 2017 - 1 episode(s)       - 56 min.               - Comedy, Magic, Parody, School, Slice of Life                                        - https://myanimelist.net/anime/35182
Bishoujo Senshi Sailor Moon Memorial                                                                 - 7.44  - 1998 - 5 episode(s)       - 1 hr. 30 min. per ep. - Demons, Magic, Romance, Shoujo                                                      - https://myanimelist.net/anime/8756
Bishoujo Yuugekitai Battle Skipper                                                                   - 5.30  - 1995 - 3 episode(s)       - 27 min. per ep.       - Sci-Fi, Comedy, Mecha                                                               - https://myanimelist.net/anime/1528
Blood Royale                                                                                         - 5.74  - 2002 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/1386
Blue Remains                                                                                         - 4.63  - 2001 - 1 episode(s)       - 1 hr. 17 min.         - Adventure, Sci-Fi                                                                   - https://myanimelist.net/anime/4733
Boin                                                                                                 - 6.72  - 2005 - 2 episode(s)       - 28 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/2413
Boku dake no Hentai Kanojo The Animation                                                             - 6.21  - 2017 - 1 episode(s)       - 17 min.               - Hentai                                                                              - https://myanimelist.net/anime/35781
Boku no Boukuugou                                                                                    - 6.54  - 2005 - 1 episode(s)       - 50 min.               - Kids, Historical, Drama                                                             - https://myanimelist.net/anime/20207
Boku no Hero Academia Movie                                                                          - N/A   - 2018 - 1 episode(s)       - Unknown               - Action, Comedy, Super Power, School, Shounen                                        - https://myanimelist.net/anime/36896
Boku wa Sonzai Shiteinakatta                                                                         - 5.77  - 2017 - 1 episode(s)       - 5 min.                - Music                                                                               - https://myanimelist.net/anime/36191
Bokura no Live Kimi to no Life                                                                       - 7.20  - 2010 - 1 episode(s)       - 5 min.                - Music                                                                               - https://myanimelist.net/anime/9907
Bokusatsu Tenshi Dokuro-chan 2                                                                       - 6.85  - 2007 - 2 episode(s)       - 26 min. per ep.       - Magic, Ecchi, Comedy                                                                - https://myanimelist.net/anime/2131
Bondage Game: Shinsou no Reijoutachi - Shinsou no Doreitachi                                         - 5.44  - 2003 - 1 episode(s)       - 26 min.               - Hentai, Psychological                                                               - https://myanimelist.net/anime/6328
Bonobono: Kumomo no Ki no Koto                                                                       - 6.18  - 2002 - 1 episode(s)       - 1 hr. 1 min.          - Drama                                                                               - https://myanimelist.net/anime/8403
Boruto: Naruto the Movie                                                                             - 7.88  - 2015 - 1 episode(s)       - 1 hr. 35 min.         - Action, Comedy, Super Power, Martial Arts, Shounen                                  - https://myanimelist.net/anime/28755
Break Blade: Virgins War                                                                             - 6.62  - 2014 - 1 episode(s)       - 5 min.                - Action                                                                              - https://myanimelist.net/anime/30573
Bremen 4: Jigoku no Naka no Tenshi-tachi                                                             - 6.17  - 1981 - 1 episode(s)       - 1 hr. 30 min.         - Kids, Adventure                                                                     - https://myanimelist.net/anime/9991
Bucket no Ana                                                                                        - 3.73  - 1968 - 1 episode(s)       - 2 min.                - Music                                                                               - https://myanimelist.net/anime/30202
Bulg-eunmae                                                                                          - 5.61  - 1995 - 1 episode(s)       - 1 hr. 26 min.         - Super Power, Martial Arts                                                           - https://myanimelist.net/anime/1776
Burenai Ai de                                                                                        - 6.65  - 2014 - 1 episode(s)       - 4 min.                - Music                                                                               - https://myanimelist.net/anime/31048
Buta Himesama                                                                                        - 5.66  - 2011 - 1 episode(s)       - 30 min.               - Hentai, Supernatural, Fantasy                                                       - https://myanimelist.net/anime/10764
Calbee Hitokuchi Gekijou                                                                             - 4.00  - 2014 - 18 episode(s)      - 30 sec. per ep.       - Comedy, Slice of Life                                                               - https://myanimelist.net/anime/32738
Car Radio                                                                                            - 4.81  - 2013 - 1 episode(s)       - 1 min.                - Music                                                                               - https://myanimelist.net/anime/36093
Cardcaptor Sakura Movie 1                                                                            - 7.72  - 1999 - 1 episode(s)       - 1 hr. 21 min.         - Comedy, Drama, Fantasy, Magic, Shoujo                                               - https://myanimelist.net/anime/371
Carnival Phantasm                                                                                    - 7.97  - 2011 - 12 episode(s)      - 14 min. per ep.       - Comedy, Parody, Supernatural                                                        - https://myanimelist.net/anime/10012
Casshern: Robot Hunter                                                                               - 6.47  - 1993 - 4 episode(s)       - 27 min. per ep.       - Adventure, Mecha, Sci-Fi                                                            - https://myanimelist.net/anime/1598
Cell no Koi                                                                                          - 4.83  - 2005 - 1 episode(s)       - 4 min.                - Music                                                                               - https://myanimelist.net/anime/35785
Chamebou Kuukijuu no Maki                                                                            - 7.78  - 1917 - 1 episode(s)       - Unknown               - Comedy                                                                              - https://myanimelist.net/anime/23185
Chameleon                                                                                            - 4.20  - 1984 - 1 episode(s)       - 2 min.                - Music                                                                               - https://myanimelist.net/anime/35666
