Title                                                                                               - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                           - Link
"Bungaku Shoujo" Kyou no Oyatsu: Hatsukoi                                                           - 7.01  - 2009 - 1 episode(s)       - 15 min.               - Comedy, Fantasy, School                                                                            - https://myanimelist.net/anime/7669
123                                                                                                 - 3.87  - 2004 - 1 episode(s)       - 2 min.                - Kids, Music                                                                                        - https://myanimelist.net/anime/37065
2005-nen Uchuu no Tabi                                                                              - 4.55  - 2005 - 1 episode(s)       - 1 min.                - Space, Dementia, Sci-Fi                                                                            - https://myanimelist.net/anime/28339
3-gatsu no Lion Recap                                                                               - 6.74  - 2016 - 1 episode(s)       - 25 min.               - Drama                                                                                              - https://myanimelist.net/anime/34647
3-gatsu no Lion meets Bump of Chicken                                                               - 7.01  - 2014 - 1 episode(s)       - 5 min.                - Music, Drama, Seinen                                                                               - https://myanimelist.net/anime/28789
4-Day Weekend                                                                                       - 5.81  - 1998 - 1 episode(s)       - 4 min.                - Music                                                                                              - https://myanimelist.net/anime/3685
6HP (Six Hearts Princess)                                                                           - 6.24  - 2016 - 3 episode(s)       - 22 min. per ep.       - Magic                                                                                              - https://myanimelist.net/anime/29643
9                                                                                                   - 5.36  - 2013 - 1 episode(s)       - 4 min.                - Music                                                                                              - https://myanimelist.net/anime/36089
Aa! Megami-sama!: Tatakau Tsubasa                                                                   - 7.67  - 2007 - 2 episode(s)       - 24 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                       - https://myanimelist.net/anime/3090
Age Man to Fuku Chin                                                                                - 5.18  - 1991 - 1 episode(s)       - 29 min.               - Hentai                                                                                             - https://myanimelist.net/anime/5564
Ahiru no Pekkle no Minikui Ahiru no Ko                                                              - 5.43  - 2001 - 1 episode(s)       - 10 min.               - Kids, Fantasy                                                                                      - https://myanimelist.net/anime/22575
Ai Tenshi Densetsu Wedding Peach DX                                                                 - 6.76  - 1996 - 4 episode(s)       - 30 min. per ep.       - Adventure, Magic, Comedy, Romance, Shoujo                                                          - https://myanimelist.net/anime/1957
Ai Uta: Since 2007                                                                                  - 5.46  - 2016 - 1 episode(s)       - 1 min.                - Music                                                                                              - https://myanimelist.net/anime/34656
Ai Yori Aoshi: Enishi - Miyuki                                                                      - 7.02  - 2003 - 1 episode(s)       - 15 min.               - Comedy, Drama, Romance                                                                             - https://myanimelist.net/anime/3266
Ai no Kiseki: Doctor Norman Monogatari                                                              - 6.42  - 1982 - 1 episode(s)       - 1 hr. 25 min.         - Drama, Slice of Life                                                                               - https://myanimelist.net/anime/23861
Aikatsu! Movie                                                                                      - 7.42  - 2014 - 1 episode(s)       - 1 hr. 28 min.         - Slice of Life, Music, School, Shoujo                                                               - https://myanimelist.net/anime/22819
Aimai Elegy                                                                                         - 6.71  - 2010 - 1 episode(s)       - 3 min.                - Music                                                                                              - https://myanimelist.net/anime/13053
Ainone                                                                                              - 4.55  - 2015 - 1 episode(s)       - 1 min.                - Music, Drama                                                                                       - https://myanimelist.net/anime/32804
Aisai Nikki                                                                                         - 6.54  - 2010 - 1 episode(s)       - 22 min.               - Hentai                                                                                             - https://myanimelist.net/anime/9721
Aishen Qiaokeli-ing... 2nd Season                                                                   - 7.46  - 2017 - 15 episode(s)      - 19 min. per ep.       - Harem, Comedy, Romance, School                                                                     - https://myanimelist.net/anime/36848
Aishen Qiaokeli-ing...                                                                              - 7.22  - 2015 - 15 episode(s)      - 13 min. per ep.       - Comedy, Harem, Romance, School                                                                     - https://myanimelist.net/anime/32323
Akaoni to Aooni no Tango                                                                            - 5.13  - 1977 - 1 episode(s)       - 2 min.                - Music, Kids                                                                                        - https://myanimelist.net/anime/24861
Akazukin Chacha OVA                                                                                 - 7.17  - 1995 - 3 episode(s)       - 24 min. per ep.       - Comedy, Fantasy, Magic                                                                             - https://myanimelist.net/anime/367
Aki-Sora                                                                                            - 6.23  - 2009 - 1 episode(s)       - 21 min.               - Ecchi, Romance, Seinen                                                                             - https://myanimelist.net/anime/6987
Akichi Asobi: Playground                                                                            - 6.14  - 2013 - 1 episode(s)       - 5 min.                -                                                                                                    - https://myanimelist.net/anime/35706
Aku no Onna Kanbu: Full Moon Night                                                                  - 6.86  - 2012 - 1 episode(s)       - 28 min.               - Hentai, Supernatural                                                                               - https://myanimelist.net/anime/16059
Alice in Cyberland                                                                                  - 5.44  - 1996 - 1 episode(s)       - 25 min.               - Action, Sci-Fi                                                                                     - https://myanimelist.net/anime/5330
Amaenaide yo!!: Yasumanaide yo!!                                                                    - 6.77  - 2005 - 1 episode(s)       - 23 min.               - Ecchi, Comedy, Romance, Supernatural                                                               - https://myanimelist.net/anime/1749
Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage                                    - 6.64  - 2014 - 7 episode(s)       - 4 min. per ep.        - Comedy                                                                                             - https://myanimelist.net/anime/30056
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!                                                 - 6.99  - 2013 - 1 episode(s)       - 25 min.               - Hentai                                                                                             - https://myanimelist.net/anime/21069
Amazing Nuts!                                                                                       - 6.67  - 2006 - 4 episode(s)       - 10 min. per ep.       - Adventure, Police, Romance, Music, Sci-Fi                                                          - https://myanimelist.net/anime/1998
Amefuri Kozou                                                                                       - 6.32  - 1983 - 1 episode(s)       - 24 min.               - Supernatural, Fantasy                                                                              - https://myanimelist.net/anime/6462
Ana no Oku no Ii Tokoro                                                                             - 6.31  - 2014 - 2 episode(s)       - 20 min. per ep.       - Hentai                                                                                             - https://myanimelist.net/anime/27881
Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase                                              - 7.13  - 2006 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                             - https://myanimelist.net/anime/2867
Ane to Boin                                                                                         - 6.79  - 2005 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                             - https://myanimelist.net/anime/2411
Angel Beats! Specials                                                                               - 7.74  - 2010 - 2 episode(s)       - 27 min. per ep.       - Action, Comedy, Supernatural, School                                                               - https://myanimelist.net/anime/9062
Angel Beats!: Another Epilogue                                                                      - 7.59  - 2010 - 1 episode(s)       - 2 min.                - Supernatural, Drama, School                                                                        - https://myanimelist.net/anime/10067
Angel Blade Punish!                                                                                 - 6.52  - 2004 - 3 episode(s)       - 30 min. per ep.       - Adventure, Hentai, Magic, Sci-Fi                                                                   - https://myanimelist.net/anime/2325
Angel Blade                                                                                         - 6.41  - 2001 - 3 episode(s)       - 28 min. per ep.       - Action, Demons, Hentai                                                                             - https://myanimelist.net/anime/2324
Angel Densetsu                                                                                      - 7.50  - 1996 - 2 episode(s)       - 24 min. per ep.       - Action, Comedy, School                                                                             - https://myanimelist.net/anime/5251
Anime Mitai na                                                                                      - 5.30  - 2014 - 1 episode(s)       - 4 min.                - Music                                                                                              - https://myanimelist.net/anime/35707
Animegataris:Yuku-toshi, Kuru-toshi                                                                 - N/A   - 2017 - 1 episode(s)       - 3 min.                - Comedy, Slice of Life                                                                              - https://myanimelist.net/anime/37037
Ankoku Cat                                                                                          - 5.91  - 2006 - 6 episode(s)       - 6 min. per ep.        - Action, Comedy                                                                                     - https://myanimelist.net/anime/6721
Answer (2016)                                                                                       - 7.42  - 2016 - 1 episode(s)       - 5 min.                - Music, Drama, Seinen                                                                               - https://myanimelist.net/anime/34611
Anzen Kakunin: Kenta to Nyanta no Koutsuu Anzen                                                     - 2.75  - 2007 - 1 episode(s)       - 13 min.               - Kids                                                                                               - https://myanimelist.net/anime/35164
Ao no Exorcist Movie                                                                                - 7.82  - 2012 - 1 episode(s)       - 1 hr. 28 min.         - Action, Demons, Fantasy, Shounen, Supernatural                                                     - https://myanimelist.net/anime/11737
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!                                                    - 7.33  - 2015 - 1 episode(s)       - 24 min.               - Action, Comedy, Shounen                                                                            - https://myanimelist.net/anime/31754
Aoi Kioku: Manmou Kaitaku to Shounen-tachi                                                          - 5.92  - 1993 - 1 episode(s)       - 1 hr. 30 min.         - Drama, Historical, Military                                                                        - https://myanimelist.net/anime/17117
Aoi Yousei                                                                                          - 4.96  - 2001 - 1 episode(s)       - 23 min.               - Hentai                                                                                             - https://myanimelist.net/anime/5586
Aoki Densetsu Shoot! (Movie)                                                                        - 6.88  - 1994 - 1 episode(s)       - 25 min.               - Action, Sports, Shounen                                                                            - https://myanimelist.net/anime/2682
Aotenjou no Clown                                                                                   - 3.03  - 1998 - 1 episode(s)       - 2 min.                - Music, Kids                                                                                        - https://myanimelist.net/anime/35537
Apfelland Monogatari                                                                                - 6.07  - 1992 - 1 episode(s)       - 1 hr. 30 min.         - Adventure, Historical, Drama                                                                       - https://myanimelist.net/anime/5673
Araiguma Rascal Specials                                                                            - 5.61  - 2000 - 2 episode(s)       - 45 min. per ep.       - Slice of Life, Drama                                                                               - https://myanimelist.net/anime/25089
