Title                                                                                     - Score - Year - Num Eps            - Duration              - Genre(s)                                                                          - Link
001                                                                                       - 3.34  - 2013 - 1 episode(s)       - 37 sec.               - Comedy                                                                            - https://myanimelist.net/anime/29978
1+2=Paradise                                                                              - 5.14  - 1990 - 2 episode(s)       - 28 min. per ep.       - Comedy, Ecchi, Harem, Romance, Seinen                                             - https://myanimelist.net/anime/2730
2x1                                                                                       - 5.35  - 1998 - 2 episode(s)       - 24 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/2864
69 Pink Riders 2                                                                          - 4.87  - 2002 - 1 episode(s)       - 53 min.               - Hentai                                                                            - https://myanimelist.net/anime/5773
A Kite                                                                                    - 6.67  - 1998 - 2 episode(s)       - 26 min. per ep.       - Action, Hentai, Police, Drama                                                     - https://myanimelist.net/anime/320
A-Size Classmate                                                                          - 5.95  - 2016 - 2 episode(s)       - 17 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/32484
A.LI.CE                                                                                   - 5.22  - 2000 - 1 episode(s)       - 1 hr. 25 min.         - Sci-Fi                                                                            - https://myanimelist.net/anime/3463
Aa! Megami-sama! (2011)                                                                   - 7.42  - 2011 - 3 episode(s)       - 28 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                      - https://myanimelist.net/anime/9611
Aa! Megami-sama!: Sorezore no Tsubasa Specials                                            - 7.61  - 2007 - 2 episode(s)       - 24 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                      - https://myanimelist.net/anime/2198
Aa! Megami-sama!                                                                          - 7.39  - 1993 - 5 episode(s)       - 30 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                      - https://myanimelist.net/anime/49
Ai Shimai 2: Futari no Kajitsu                                                            - 6.60  - 2003 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/1635
Ai no Katachi: Ecchi na Onnanoko wa Kirai... Desu ka?                                     - 6.32  - 2008 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/3680
Air Movie                                                                                 - 7.35  - 2005 - 1 episode(s)       - 1 hr. 31 min.         - Drama, Romance, Supernatural                                                      - https://myanimelist.net/anime/713
Al Caral no Isan                                                                          - 5.71  - 1993 - 1 episode(s)       - 1 hr. 10 min.         - Sci-Fi, Space, Seinen                                                             - https://myanimelist.net/anime/6078
Amakano                                                                                   - 6.93  - 2016 - 4 episode(s)       - 14 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/31810
Amaryllis                                                                                 - 3.29  - 1968 - 1 episode(s)       - 2 min.                - Music                                                                             - https://myanimelist.net/anime/36056
Ame to Shoujo to Watashi no Tegami                                                        - 5.88  - 2005 - 1 episode(s)       - 6 min.                - Shoujo                                                                            - https://myanimelist.net/anime/1223
Ane Koi: Suki Kirai Daisuki.                                                              - 7.02  - 2013 - 2 episode(s)       - 26 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/16642
Aneki no Kounai Kaikinbi                                                                  - 5.57  - 2012 - 1 episode(s)       - 17 min.               - Hentai                                                                            - https://myanimelist.net/anime/13019
