Title                                                                                                        - Score - Year - Num Eps       - Duration           - Genre(s)                                                                                    - Link

** Kouhai                                                                                                    - 7.26  - 2020 - 8 episodes    - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                           - https://myanimelist.net/anime/40658
.hack//G.U. Returner                                                                                         - 6.67  - 2007 - 1 episode     - 24 min             - Adventure, Drama, Fantasy, Video Game                                                       - https://myanimelist.net/anime/2928
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!                                                        - 6.32  - 2011 - 3 episodes    - 3 min per ep       - Comedy, Video Game                                                                          - https://myanimelist.net/anime/10390
.hack//Quantum                                                                                               - 7.12  - 2011 - 3 episodes    - 26 min per ep      - Action, Adventure, Fantasy, Video Game                                                      - https://myanimelist.net/anime/9332
.hack//Tasogare no Udewa Densetsu                                                                            - 6.56  - 2003 - 12 episodes   - 23 min per ep      - Adventure, Comedy, Fantasy, Shounen, Video Game                                             - https://myanimelist.net/anime/298
.hack//The Movie: Sekai no Mukou ni                                                                          - 7.06  - 2012 - 1 episode     - 1 hr 50 min        - Action, Adventure, Fantasy, Mystery, Sci-Fi, Video Game                                     - https://myanimelist.net/anime/11375
0-sen Hayato                                                                                                 - 5.94  - 1964 - 38 episodes   - 15 min per ep      - Historical, Military                                                                        - https://myanimelist.net/anime/12763
1-ri Botchi no Ookami to 7-hiki no Ko Yagi                                                                   - None  - 1994 - 1 episode     - 18 min             - Fantasy, Kids                                                                               - https://myanimelist.net/anime/34190
19 Tian                                                                                                      - 6.25  - 2019 - 60 episodes   - 1 min per ep       - Boys Love, Comedy                                                                           - https://myanimelist.net/anime/51915
2.43 Mini Anime: Fukui-ben Kouza                                                                             - 5.21  - 2021 - 8 episodes    - 1 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/46003
2.43 Mini Anime: Inside Story                                                                                - 5.23  - 2021 - 10 episodes   - 1 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/46004
2.43: Seiin Koukou Danshi Volley-bu                                                                          - 6.14  - 2021 - 12 episodes   - 23 min per ep      - School, Sports, Team Sports                                                                 - https://myanimelist.net/anime/40679
20-dai no Heya-hen                                                                                           - 5.05  - 2015 - 1 episode     - 15 sec             - Slice of Life                                                                               - https://myanimelist.net/anime/29347
22/7                                                                                                         - 6.79  - 2020 - 12 episodes   - 24 min per ep      - Idols (Female), Music                                                                       - https://myanimelist.net/anime/40148
25-sai no Joshikousei                                                                                        - 5.58  - 2018 - 12 episodes   - 5 min per ep       - Hentai, Josei, Romance, School                                                              - https://myanimelist.net/anime/36840
27th                                                                                                         - 5.79  - 2020 - 1 episode     - 3 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/49005
3-gatsu no Lion: Ugoku! Nya Shogi                                                                            - 6.07  - 2017 - 10 episodes   - 4 min per ep       - Strategy Game                                                                               - https://myanimelist.net/anime/38154
3-tsu no Hanashi                                                                                             - 4.79  - 1960 - 1 episode     - 29 min             - Fantasy, Kids                                                                               - https://myanimelist.net/anime/8774
