Title                                                                                         - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
"Kinako" x Mameshiba Movie                                                                    - 5.14  - 2010 - 1 episode(s)       - 15 sec.               - Comedy, Parody                                                                                           - https://myanimelist.net/anime/35632
1/100 Train Station                                                                           - 5.53  - 2017 - 1 episode(s)       - 2 min.                - Slice of Life                                                                                            - https://myanimelist.net/anime/36747
12-sai. 2nd Season                                                                            - 6.40  - 2015 - 4 episode(s)       - 13 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/31319
18if                                                                                          - 6.35  - 2017 - 13 episode(s)      - 23 min. per ep.       - Mystery, Supernatural                                                                                    - https://myanimelist.net/anime/35248
3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no VR                                     - 4.17  - 2017 - 1 episode(s)       - Unknown               - Comedy, Parody, School                                                                                   - https://myanimelist.net/anime/35070
3x3 Eyes Seima Densetsu                                                                       - 7.08  - 1995 - 3 episode(s)       - 45 min. per ep.       - Action, Adventure, Demons, Fantasy, Horror, Romance                                                      - https://myanimelist.net/anime/1225
3x3 Eyes                                                                                      - 6.91  - 1991 - 4 episode(s)       - 30 min. per ep.       - Action, Demons, Fantasy, Horror, Romance                                                                 - https://myanimelist.net/anime/300
40-shuunen da yo! Coro Coro All-Star Shougakkou                                               - N/A   - 2017 - Unknown episode(s) - 12 min.               - Comedy, School                                                                                           - https://myanimelist.net/anime/35745
7-kakan.                                                                                      - 5.62  - 2015 - 1 episode(s)       - 3 min.                - Music                                                                                                    - https://myanimelist.net/anime/32853
91 Days Special                                                                               - 6.86  - 2017 - 1 episode(s)       - 24 min.               - Action, Historical, Drama                                                                                - https://myanimelist.net/anime/34777
A Tang Qi Yu                                                                                  - 5.00  - 2017 - 1 episode(s)       - 1 hr. 38 min.         - Adventure, Comedy, Kids                                                                                  - https://myanimelist.net/anime/37180
A-Ko The Versus                                                                               - 6.42  - 1990 - 2 episode(s)       - 51 min. per ep.       - Action, Adventure, Comedy, Romance, Sci-Fi, Super Power                                                  - https://myanimelist.net/anime/1295
AIKa Zero                                                                                     - 6.01  - 2009 - 3 episode(s)       - 26 min. per ep.       - Action, Ecchi, Adventure, Comedy                                                                         - https://myanimelist.net/anime/6443
Accel World: Infinite∞Burst                                                                   - 6.79  - 2016 - 1 episode(s)       - 1 hr. 22 min.         - Action, Game, Sci-Fi, Romance, School                                                                    - https://myanimelist.net/anime/31763
Ace wo Nerae! 2                                                                               - 6.80  - 1988 - 13 episode(s)      - 24 min. per ep.       - Drama, Shoujo, Sports                                                                                    - https://myanimelist.net/anime/314
Acerola-chan                                                                                  - 4.58  - 2009 - 3 episode(s)       - 3 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/33500
Action Heroine Cheer Fruits                                                                   - 6.58  - 2017 - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, School                                                                            - https://myanimelist.net/anime/34800
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd                                        - 6.50  - 2016 - 12 episode(s)      - 24 min. per ep.       - Sci-Fi, Comedy, Police, Mecha                                                                            - https://myanimelist.net/anime/32301
Agatha Christie no Meitantei Poirot to Marple                                                 - 6.93  - 2004 - 39 episode(s)      - 25 min. per ep.       - Historical, Mystery                                                                                      - https://myanimelist.net/anime/244
Aho Girl                                                                                      - 7.27  - 2017 - 12 episode(s)      - 12 min. per ep.       - Comedy, Romance, School, Shounen                                                                         - https://myanimelist.net/anime/34881
Akachan to Boku                                                                               - 7.99  - 1996 - 35 episode(s)      - 25 min. per ep.       - Comedy, Drama, Shoujo                                                                                    - https://myanimelist.net/anime/1485
Akagami no Shirayuki-hime                                                                     - 7.92  - 2015 - 12 episode(s)      - 24 min. per ep.       - Fantasy, Romance, Drama, Shoujo                                                                          - https://myanimelist.net/anime/30123
Akage no Anne: Green Gables e no Michi                                                        - 6.69  - 2010 - 1 episode(s)       - 1 hr. 39 min.         - Adventure, Slice of Life, Historical, Shoujo                                                             - https://myanimelist.net/anime/8950
Akahori Gedou Hour Rabuge                                                                     - 6.25  - 2005 - 13 episode(s)      - 24 min. per ep.       - Comedy, Magic, Parody                                                                                    - https://myanimelist.net/anime/309
Akai Kiba: Blue Sonnet                                                                        - 6.11  - 1989 - 5 episode(s)       - 29 min. per ep.       - Action, Drama, Sci-Fi, Shoujo, Super Power                                                               - https://myanimelist.net/anime/2051
Akai Koudan Zillion Specials                                                                  - 6.16  - 1987 - 3 episode(s)       - 42 min. per ep.       - Adventure, Sci-Fi, Shounen                                                                               - https://myanimelist.net/anime/17167
Akame ga Kill! Theater                                                                        - 6.70  - 2014 - 24 episode(s)      - 1 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/25241
Akame ga Kill!                                                                                - 7.80  - 2014 - 24 episode(s)      - 23 min. per ep.       - Action, Adventure, Drama, Fantasy, Shounen                                                               - https://myanimelist.net/anime/22199
Aki-Sora: Yume no Naka                                                                        - 6.33  - 2010 - 2 episode(s)       - 25 min. per ep.       - Ecchi, Romance, Seinen, Yuri                                                                             - https://myanimelist.net/anime/8577
Akiba-chan                                                                                    - 5.32  - 2008 - 10 episode(s)      - 5 min. per ep.        - Comedy, Kids, Slice of Life                                                                              - https://myanimelist.net/anime/5304
Akira                                                                                         - 8.16  - 1988 - 1 episode(s)       - 2 hr. 4 min.          - Action, Military, Sci-Fi, Adventure, Horror, Supernatural                                                - https://myanimelist.net/anime/47
Akuei to Gacchinpo Tenkomori: Maboroshi no Omake Episode                                      - 4.12  - 2005 - 1 episode(s)       - 1 min.                - Comedy                                                                                                   - https://myanimelist.net/anime/29889
