Title                                                                                                - Score - Year - Num Eps            - Duration             - Genre(s)                                                                                                                                                       - Link
"Aesop" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu                                               - 5.06  - 1970 - 1 episode(s)       - 12 min.              - Kids                                                                                                                                                           - https://myanimelist.net/anime/25627
.hack//G.U. Trilogy: Parody Mode                                                                     - 6.58  - 2008 - 1 episode(s)       - 6 min.               - Fantasy, Game, Comedy, Sci-Fi, Parody                                                                                                                          - https://myanimelist.net/anime/4469
.hack//G.U. Trilogy                                                                                  - 7.27  - 2008 - 1 episode(s)       - 1 hr. 33 min.        - Action, Fantasy, Game, Sci-Fi                                                                                                                                  - https://myanimelist.net/anime/3269
.hack//Intermezzo                                                                                    - 6.65  - 2003 - 1 episode(s)       - 24 min.              - Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi                                                                                                               - https://myanimelist.net/anime/1143
21 Emon Uchuu ike! Hadashi no Princess                                                               - 6.04  - 1992 - 1 episode(s)       - 40 min.              - Space, Comedy, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/6074
21 Seiki Manga Hajimete Monogatari                                                                   - 6.39  - 2001 - 1 episode(s)       - 30 min.              - Adventure, Comedy, Kids, Sci-Fi                                                                                                                                - https://myanimelist.net/anime/10139
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku                                                     - 5.44  - 2013 - 1 episode(s)       - 3 min.               - Music, School                                                                                                                                                  - https://myanimelist.net/anime/24181
A.I.C.O.: Incarnation                                                                                - 7.08  - 2018 - 12 episode(s)      - 24 min. per ep.      - Action, Sci-Fi                                                                                                                                                 - https://myanimelist.net/anime/36039
Adauchi Karasu                                                                                       - 4.00  - 1934 - 1 episode(s)       - 12 min.              -                                                                                                                                                                - https://myanimelist.net/anime/35212
Adesugata Mahou no Sannin Musume                                                                     - 5.42  - 1986 - 1 episode(s)       - 29 min.              - Magic, Comedy, Shoujo                                                                                                                                          - https://myanimelist.net/anime/5246
Agukaru: Play with Ibaraki-hen Episode 0                                                             - 4.66  - 2015 - 1 episode(s)       - 14 min.              - Magic, Slice of Life, Supernatural                                                                                                                             - https://myanimelist.net/anime/30732
Ahiru no Pekkle no Suieitaikai wa Oosawagi                                                           - 5.89  - 1993 - 1 episode(s)       - 20 min.              - Fantasy, Kids                                                                                                                                                  - https://myanimelist.net/anime/22607
Ai to Shi                                                                                            - 5.78  - 2013 - 1 episode(s)       - 1 min.               - Action                                                                                                                                                         - https://myanimelist.net/anime/32150
Air Gear Special                                                                                     - 7.40  - 2007 - 1 episode(s)       - 24 min.              - Sports, Shounen                                                                                                                                                - https://myanimelist.net/anime/3791
Aishite Knight                                                                                       - 6.76  - 1983 - 42 episode(s)      - 25 min. per ep.      - Comedy, Romance, Shoujo                                                                                                                                        - https://myanimelist.net/anime/2221
Aki no Kanade                                                                                        - 7.14  - 2015 - 1 episode(s)       - 25 min.              - Slice of Life, Music, School                                                                                                                                   - https://myanimelist.net/anime/29513
Akiko                                                                                                - 5.41  - 1996 - 2 episode(s)       - 30 min. per ep.      - Hentai                                                                                                                                                         - https://myanimelist.net/anime/2979
Akita Kenritsu Iburi Gakkou Chuutou-bu: Web-ban Omake                                                - 2.17  - 2017 - Unknown episode(s) - 1 min.               - Comedy                                                                                                                                                         - https://myanimelist.net/anime/35227
Akita Kenritsu Iburi Gakkou Chuutou-bu                                                               - 3.18  - 2017 - Unknown episode(s) - 2 min.               - Comedy                                                                                                                                                         - https://myanimelist.net/anime/35226
Akuma to Himegimi                                                                                    - 4.48  - 1981 - 1 episode(s)       - 31 min.              - Comedy, Shoujo                                                                                                                                                 - https://myanimelist.net/anime/23779
Akuma-kun: Youkoso Akuma Land e!!                                                                    - 5.16  - 1991 - 1 episode(s)       - 25 min.              - Adventure, Fantasy, Horror, Magic, Supernatural                                                                                                                - https://myanimelist.net/anime/8227
All Alone With You                                                                                   - 7.29  - 2013 - 1 episode(s)       - 5 min.               - Fantasy, Music                                                                                                                                                 - https://myanimelist.net/anime/17901
Alps no Shoujo Heidi (1979)                                                                          - 6.94  - 1979 - 1 episode(s)       - 1 hr. 47 min.        - Drama, Historical, Slice of Life                                                                                                                               - https://myanimelist.net/anime/9547
Amanatsu                                                                                             - 6.18  - 2010 - 1 episode(s)       - 14 min.              - Sci-Fi                                                                                                                                                         - https://myanimelist.net/anime/9595
Amanchu! OVA                                                                                         - 7.38  - 2017 - 1 episode(s)       - 23 min.              - Slice of Life, Comedy, School, Shounen                                                                                                                         - https://myanimelist.net/anime/33818
An Ling Yu Shi Di Qi                                                                                 - 6.73  - 2017 - 13 episode(s)      - 22 min. per ep.      - Adventure, Kids, Sci-Fi                                                                                                                                        - https://myanimelist.net/anime/36666
Anata ga Furikaeru Toki                                                                              - 5.36  - 1993 - 1 episode(s)       - 31 min.              - Romance, School, Shoujo                                                                                                                                        - https://myanimelist.net/anime/19923
Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji                                                     - 6.20  - 2009 - 2 episode(s)       - 25 min. per ep.      - Hentai, Yuri                                                                                                                                                   - https://myanimelist.net/anime/6286
Ancien to Mahou no Tablet: Mou Hitotsu no Hirune Hime                                                - 6.28  - 2017 - 2 episode(s)       - 12 min. per ep.      - Drama, Fantasy                                                                                                                                                 - https://myanimelist.net/anime/34893
Andersen Douwa: Ningyohime                                                                           - 7.20  - 1975 - 1 episode(s)       - 1 hr. 8 min.         - Fantasy, Romance, Shoujo                                                                                                                                       - https://myanimelist.net/anime/3043
Andersen Monogatari                                                                                  - 6.17  - 1968 - 1 episode(s)       - 1 hr. 20 min.        - Kids, Fantasy, Drama                                                                                                                                           - https://myanimelist.net/anime/5098
Angelique: Shiroi Tsubasa no Memoire                                                                 - 6.08  - 2000 - 2 episode(s)       - 30 min. per ep.      - Sci-Fi, Harem, Drama, Magic, Romance, Fantasy, Shoujo                                                                                                          - https://myanimelist.net/anime/2536
Angelique: Twin Collection                                                                           - 6.21  - 2002 - 8 episode(s)       - 30 min. per ep.      - Fantasy, Sci-Fi, Shoujo                                                                                                                                        - https://myanimelist.net/anime/2537
Angelique                                                                                            - 6.47  - 2004 - 3 episode(s)       - 30 min. per ep.      - Sci-Fi, Harem, Drama, Romance, Fantasy, Shoujo                                                                                                                 - https://myanimelist.net/anime/2534
Animation Seisaku Shinkou Kuromi-chan                                                                - 7.00  - 2001 - 1 episode(s)       - 38 min.              - Comedy, Parody, Drama                                                                                                                                          - https://myanimelist.net/anime/1797
Anime Sanjuushi: Aramis no Bouken                                                                    - 6.71  - 1989 - 1 episode(s)       - 45 min.              - Adventure, Historical, Romance                                                                                                                                 - https://myanimelist.net/anime/2334
