Title                                                                            - Score - Year - Num Eps            - Duration              - Genre(s)                                                                     - Link
"Bungaku Shoujo" Movie                                                           - 7.54  - 2010 - 1 episode(s)       - 1 hr. 40 min.         - Mystery, Drama, Romance, School                                              - https://myanimelist.net/anime/6408
"Parade" de Satie                                                                - 3.77  - 2016 - 1 episode(s)       - 14 min.               - Music, Dementia                                                              - https://myanimelist.net/anime/34595
21 Emon                                                                          - 6.10  - 1991 - 39 episode(s)      - 25 min. per ep.       - Space, Comedy, Sci-Fi                                                        - https://myanimelist.net/anime/5628
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation                       - 7.06  - 2015 - 1 episode(s)       - 31 min.               - Hentai                                                                       - https://myanimelist.net/anime/29809
A-Channel: +A-Channel                                                            - 7.02  - 2011 - 11 episode(s)      - 2 min. per ep.        - Comedy, School, Slice of Life, Seinen                                        - https://myanimelist.net/anime/10737
AD Police                                                                        - 6.40  - 1990 - 3 episode(s)       - 24 min. per ep.       - Sci-Fi, Adventure, Mystery, Dementia, Police, Psychological, Thriller, Mecha - https://myanimelist.net/anime/1346
AIKa: Special Trial                                                              - 5.74  - 1998 - 1 episode(s)       - 10 min.               - Ecchi                                                                        - https://myanimelist.net/anime/4718
Abashiri Ikka                                                                    - 5.56  - 1991 - 4 episode(s)       - 18 min. per ep.       - Action, Comedy, Shounen                                                      - https://myanimelist.net/anime/305
Abe George Kattobi Seishun Ki: Shibuya Honky Tonk                                - 4.76  - 1988 - 4 episode(s)       - 35 min. per ep.       - Ecchi, Drama                                                                 - https://myanimelist.net/anime/17501
Aftermath                                                                        - 6.12  - 2016 - 1 episode(s)       - 5 min.                - Military, Music, Drama                                                       - https://myanimelist.net/anime/33326
Agigongryong Doolie (1988)                                                       - 5.88  - 1988 - 7 episode(s)       - 15 min. per ep.       - Kids                                                                         - https://myanimelist.net/anime/17086
Ai Mai! Moe Can Change!                                                          - 5.62  - 2012 - 1 episode(s)       - 24 min.               - Comedy, Sci-Fi                                                               - https://myanimelist.net/anime/12501
Ai wa Kagi no Kazu dake... Fuuzoku Mansion                                       - 6.33  - 2002 - 1 episode(s)       - 30 min.               - Hentai                                                                       - https://myanimelist.net/anime/1895
Ajin OVA                                                                         - 7.41  - 2016 - 3 episode(s)       - 21 min. per ep.       - Action, Mystery, Horror, Supernatural, Seinen                                - https://myanimelist.net/anime/32015
Ajin Part 2: Shoutotsu                                                           - 7.46  - 2016 - 1 episode(s)       - 1 hr. 45 min.         - Action, Horror, Mystery, Seinen, Supernatural                                - https://myanimelist.net/anime/30869
Akai Hayate                                                                      - 5.59  - 1991 - 4 episode(s)       - 27 min. per ep.       - Action, Martial Arts, Super Power                                            - https://myanimelist.net/anime/4923
Akane-chan no Wasuremono                                                         - 3.83  - 2012 - 1 episode(s)       - 4 min.                -                                                                              - https://myanimelist.net/anime/36977
Allargando The Animation                                                         - 6.49  - 2015 - 1 episode(s)       - 27 min.               - Hentai                                                                       - https://myanimelist.net/anime/30128
Amon: Devilman Mokushiroku                                                       - 6.56  - 2000 - 1 episode(s)       - 45 min.               - Demons, Horror, Psychological, Supernatural                                  - https://myanimelist.net/anime/2356
Anime Yasei no Sakebi                                                            - 6.24  - 1982 - 22 episode(s)      - 40 min. per ep.       - Adventure, Drama                                                             - https://myanimelist.net/anime/8239
Another: The Other - Inga                                                        - 7.45  - 2012 - 1 episode(s)       - 24 min.               - Horror, Mystery, Thriller                                                    - https://myanimelist.net/anime/11701
Aozora Under Girls!                                                              - 5.68  - 2017 - 1 episode(s)       - 2 min.                - Music                                                                        - https://myanimelist.net/anime/35651
Ape                                                                              - 5.71  - 2014 - 1 episode(s)       - 3 min.                - Music                                                                        - https://myanimelist.net/anime/35553
Aria The Natural: Sono Futatabi Deaeru Kiseki ni...                              - 7.50  - 2006 - 1 episode(s)       - 5 min.                - Fantasy, Sci-Fi, Shounen, Slice of Life                                      - https://myanimelist.net/anime/5244
Arslan Senki (TV) OVA                                                            - 7.04  - 2016 - 2 episode(s)       - 24 min. per ep.       - Adventure, Historical, Fantasy, Shounen                                      - https://myanimelist.net/anime/33254
Astareul Hyanghae Chaguchagu                                                     - 6.50  - 2014 - 27 episode(s)      - 20 min. per ep.       -                                                                              - https://myanimelist.net/anime/35605
Aware! Meisaku-kun: DVD Hatsubai Kettei!                                         - 3.46  - 2017 - Unknown episode(s) - 1 min.                - Comedy, Parody                                                               - https://myanimelist.net/anime/35590
Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao 2nd Season                        - 5.00  - 2017 - 26 episode(s)      - 22 min. per ep.       - Comedy, Magic, Shoujo                                                        - https://myanimelist.net/anime/34669
Baka Misérables                                                                  - 5.57  - 2013 - 3 episode(s)       - 3 min. per ep.        - Music, Parody                                                                - https://myanimelist.net/anime/20705
Baka Mukashibanashi Movie: Jijii Wars                                            - 5.25  - 2013 - 1 episode(s)       - 1 hr. 7 min.          - Fantasy, Comedy, Historical                                                  - https://myanimelist.net/anime/20383
Bakuen Campus Guardress                                                          - 6.20  - 1994 - 4 episode(s)       - 30 min. per ep.       - Action, Comedy, Supernatural, School, Shounen                                - https://myanimelist.net/anime/2023
Bakugan Battle Brawlers: Gundalian Invaders                                      - 6.31  - 2010 - 39 episode(s)      - 24 min. per ep.       - Action, Adventure, Fantasy, Game, Shounen                                    - https://myanimelist.net/anime/7334
Balthus: Tia no Kagayaki                                                         - 5.20  - 1988 - 1 episode(s)       - 30 min.               - Action, Hentai, Romance                                                      - https://myanimelist.net/anime/5107
Bari Bari Densetsu                                                               - 6.55  - 1986 - 2 episode(s)       - 50 min. per ep.       - Action, Drama, Shounen, Sports                                               - https://myanimelist.net/anime/5002
Battle Athletess Daiundoukai                                                     - 6.60  - 1997 - 6 episode(s)       - 32 min. per ep.       - Action, Comedy, Ecchi, Sci-Fi, Shounen, Space, Sports                        - https://myanimelist.net/anime/1185
Battle Can²                                                                      - 4.41  - 1987 - 1 episode(s)       - 30 min.               - Action, Hentai, Sci-Fi                                                       - https://myanimelist.net/anime/6025
Beat Shot!!                                                                      - 5.55  - 1989 - 1 episode(s)       - 27 min.               - Sports                                                                       - https://myanimelist.net/anime/7155
Bemubemu Hunter Kotengu Tenmaru                                                  - 5.80  - 1983 - 19 episode(s)      - 25 min. per ep.       - Adventure, Fantasy                                                           - https://myanimelist.net/anime/17687
Bi-chiku Beach: Nangoku Nyuujoku Satsueikai                                      - 6.46  - 2011 - 1 episode(s)       - 23 min.               - Hentai                                                                       - https://myanimelist.net/anime/10421
Bible Black Gaiden                                                               - 6.86  - 2002 - 2 episode(s)       - 30 min. per ep.       - Hentai, Supernatural                                                         - https://myanimelist.net/anime/972
Binetsu: Yakusoku no Toki                                                        - 5.06  - 2000 - 1 episode(s)       - 30 min.               - Hentai                                                                       - https://myanimelist.net/anime/9507
Biohazard: Vendetta                                                              - 7.24  - 2017 - 1 episode(s)       - 1 hr. 36 min.         - Action, Horror, Sci-Fi                                                       - https://myanimelist.net/anime/31853
Bishoujo Animerama: Gokkun Doll - Choujigen Pico-chan Toujou!!                   - 4.80  - 1990 - 1 episode(s)       - 30 min.               - Hentai, School, Sci-Fi                                                       - https://myanimelist.net/anime/18481
Blame! Movie                                                                     - 7.34  - 2017 - 1 episode(s)       - 1 hr. 45 min.         - Action, Sci-Fi, Psychological, Drama, Mecha, Seinen                          - https://myanimelist.net/anime/32086
Blood-C: Special Edition                                                         - 6.86  - 2012 - 2 episode(s)       - 25 min. per ep.       - Action, Horror, School, Supernatural, Vampire                                - https://myanimelist.net/anime/14117
Bloody Night                                                                     - 3.99  - 2006 - 1 episode(s)       - 5 min.                - Horror, Psychological, Supernatural, Thriller                                - https://myanimelist.net/anime/11869
Boku wa Imouto ni Koi wo Suru                                                    - 6.50  - 2005 - 1 episode(s)       - 49 min.               - Romance, Shoujo                                                              - https://myanimelist.net/anime/819
Boku wa Mada 7-sai Datta                                                         - 6.08  - 2016 - 1 episode(s)       - 3 min.                - Music                                                                        - https://myanimelist.net/anime/36716
Bokura no Saibanin Monogatari                                                    - 5.54  - 2009 - 1 episode(s)       - 22 min.               - School                                                                       - https://myanimelist.net/anime/6568
Bounty Hunter: The Hard                                                          - 5.86  - 1996 - 1 episode(s)       - 48 min.               - Action, Police                                                               - https://myanimelist.net/anime/4522
