Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                      - Link
"0"                                                                                                  - 4.83  - 2013 - 1 episode(s)       - 2 min.                - Music                                                                                         - https://myanimelist.net/anime/20707
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou                                               - 6.26  - 2003 - 1 episode(s)       - 20 min.               - Adventure, Comedy, Fantasy, Game, Sci-Fi                                                      - https://myanimelist.net/anime/1994
.hack//Unison                                                                                        - 6.79  - 2003 - 1 episode(s)       - 24 min.               - Adventure, Comedy, Fantasy, Game, Magic, Sci-Fi                                               - https://myanimelist.net/anime/1487
009 Re:Cyborg x Zip                                                                                  - 5.31  - 2012 - 10 episode(s)      - 10 sec. per ep.       - Comedy, Super Power                                                                           - https://myanimelist.net/anime/32737
009 Re:Cyborg                                                                                        - 6.69  - 2012 - 1 episode(s)       - 1 hr. 43 min.         - Action, Adventure, Mecha, Sci-Fi                                                              - https://myanimelist.net/anime/11755
009-1                                                                                                - 6.34  - 2006 - 12 episode(s)      - 25 min. per ep.       - Action, Mecha, Sci-Fi, Seinen                                                                 - https://myanimelist.net/anime/1583
100% Pascal-sensei                                                                                   - 5.67  - 2016 - 6 episode(s)       - 4 min. per ep.        - Comedy                                                                                        - https://myanimelist.net/anime/35447
11eyes                                                                                               - 6.39  - 2009 - 12 episode(s)      - 25 min. per ep.       - Action, Ecchi, Super Power, Supernatural                                                      - https://myanimelist.net/anime/6682
12-sai.: Chicchana Mune no Tokimeki 2nd Season                                                       - 6.80  - 2016 - 12 episode(s)      - 24 min. per ep.       - Romance, School, Shoujo                                                                       - https://myanimelist.net/anime/33419
3-D Heaven                                                                                           - 4.70  - 1988 - 1 episode(s)       - 2 min.                - Music, Kids                                                                                   - https://myanimelist.net/anime/24783
3-Nen D-Gumi Glass no Kamen                                                                          - 4.98  - 2016 - 13 episode(s)      - 4 min. per ep.        - Comedy, Parody, School                                                                        - https://myanimelist.net/anime/33975
3-gatsu no Lion 2nd Season                                                                           - 9.10  - 2017 - 22 episode(s)      - 25 min. per ep.       - Drama, Game, Seinen, Slice of Life                                                            - https://myanimelist.net/anime/35180
3-gatsu no Lion                                                                                      - 8.43  - 2016 - 22 episode(s)      - 25 min. per ep.       - Game, Slice of Life, Drama, Seinen                                                            - https://myanimelist.net/anime/31646
4 Shuunen Monst? Shiru ka yo!                                                                        - N/A   - 2017 - 1 episode(s)       - 15 sec.               - Comedy, Game                                                                                  - https://myanimelist.net/anime/36624
6♥Princess                                                                                           - 5.72  - 2013 - 1 episode(s)       - 3 min.                - Magic, Music                                                                                  - https://myanimelist.net/anime/20913
AKB48 Stage Fighter                                                                                  - 5.30  - 2011 - 1 episode(s)       - 14 sec.               - Action                                                                                        - https://myanimelist.net/anime/29850
AOTU Shijie 2                                                                                        - 5.71  - 2017 - 20 episode(s)      - 12 min. per ep.       - Action, Sci-Fi, Adventure, Fantasy                                                            - https://myanimelist.net/anime/36345
Aa! Megami-sama! Movie                                                                               - 7.63  - 2000 - 1 episode(s)       - 1 hr. 46 min.         - Comedy, Magic, Romance, Seinen, Supernatural                                                  - https://myanimelist.net/anime/304
Ace wo Nerae!: Final Stage                                                                           - 6.52  - 1989 - 12 episode(s)      - 24 min. per ep.       - Action, Drama, Sports                                                                         - https://myanimelist.net/anime/312
