Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                        - Link
100%                                                                                                 - 5.52  - 1990 - 1 episode(s)       - 53 min.               - Drama                                                                           - https://myanimelist.net/anime/7374
2010                                                                                                 - 4.82  - 2010 - 1 episode(s)       - 4 min.                - Music                                                                           - https://myanimelist.net/anime/32813
300 En no Otsukiai Anime Edition                                                                     - 6.42  - 2016 - 1 episode(s)       - 16 min.               - Hentai                                                                          - https://myanimelist.net/anime/33993
663114                                                                                               - 5.44  - 2011 - 1 episode(s)       - 7 min.                - Fantasy                                                                         - https://myanimelist.net/anime/13971
A-Channel: Nabe wo Tabeyou                                                                           - 6.97  - 2017 - 1 episode(s)       - 23 min.               - Comedy, School, Seinen, Slice of Life                                           - https://myanimelist.net/anime/35285
A-Girl                                                                                               - 5.48  - 1993 - 1 episode(s)       - 25 min.               - Music, Romance, School, Shoujo                                                  - https://myanimelist.net/anime/5447
A.F                                                                                                  - 4.53  - 2002 - 1 episode(s)       - 15 min.               - Action, Sci-Fi, Space, Mecha                                                    - https://myanimelist.net/anime/4934
Accel World EX                                                                                       - 7.26  - 2012 - 2 episode(s)       - 24 min. per ep.       - Action, Game, Sci-Fi, Romance, School                                           - https://myanimelist.net/anime/13939
Ace wo Nerae! (1979)                                                                                 - 6.88  - 1979 - 1 episode(s)       - 1 hr. 30 min.         - Sports, Drama, Romance, School, Shoujo                                          - https://myanimelist.net/anime/313
Agukaru                                                                                              - 5.14  - 2010 - 5 episode(s)       - 12 min. per ep.       - Magic, Supernatural, Slice of Life                                              - https://myanimelist.net/anime/9689
Ahiru no Pekkle no Aladdin to Mahou no Lamp                                                          - 5.94  - 1993 - 1 episode(s)       - 30 min.               - Fantasy, Kids                                                                   - https://myanimelist.net/anime/22611
Ai think so,                                                                                         - 5.48  - 2009 - 1 episode(s)       - 4 min.                - Music                                                                           - https://myanimelist.net/anime/31908
Ai to Yuuki no Pig Girl Tonde Buurin                                                                 - 6.68  - 1994 - 51 episode(s)      - 25 min. per ep.       - Parody, Adventure, Fantasy, Magic, Comedy, Romance, School, Shoujo              - https://myanimelist.net/anime/2041
Ajin Part 3: Shougeki                                                                                - 7.46  - 2016 - 1 episode(s)       - 2 hr.                 - Action, Horror, Mystery, Seinen, Supernatural                                   - https://myanimelist.net/anime/30870
Akatsuki no Yona OVA                                                                                 - 8.15  - 2015 - 3 episode(s)       - 23 min. per ep.       - Action, Comedy, Fantasy, Shoujo                                                 - https://myanimelist.net/anime/30370
Alexander Senki                                                                                      - 5.80  - 1999 - 13 episode(s)      - 20 min. per ep.       - Action, Adventure, Fantasy, Historical, Sci-Fi, Supernatural                    - https://myanimelist.net/anime/1442
Ame no Bus Stop-hen                                                                                  - 4.73  - 2009 - 1 episode(s)       - 5 min.                - Music                                                                           - https://myanimelist.net/anime/32778
Amnesia OVA                                                                                          - 6.57  - 2013 - 1 episode(s)       - 25 min.               - Harem, Fantasy, Shoujo                                                          - https://myanimelist.net/anime/20655
Ane Log: Moyako Neesan no Tomaranai Monologue                                                        - 6.29  - 2014 - 3 episode(s)       - 23 min. per ep.       - Comedy, Ecchi, School, Shounen                                                  - https://myanimelist.net/anime/24531
Aneki... My Sweet Elder Sister The Animation                                                         - 6.96  - 2007 - 4 episode(s)       - 30 min. per ep.       - Hentai                                                                          - https://myanimelist.net/anime/4600
Angel Cop                                                                                            - 5.99  - 1989 - 6 episode(s)       - 30 min. per ep.       - Action, Sci-Fi, Police                                                          - https://myanimelist.net/anime/1351
Angelium                                                                                             - 5.99  - 2004 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                          - https://myanimelist.net/anime/2436
Anne no Nikki: Anne Frank Monogatari                                                                 - 6.60  - 1979 - 1 episode(s)       - 1 hr. 25 min.         - Drama, Historical                                                               - https://myanimelist.net/anime/12027
Anygedybudybombom                                                                                    - 4.49  - 2009 - 1 episode(s)       - 3 min.                - Music                                                                           - https://myanimelist.net/anime/32779
Aquarion Movie: Ippatsu Gyakuten-hen                                                                 - 6.87  - 2007 - 1 episode(s)       - 1 hr. 56 min.         - Fantasy, Mecha, Drama                                                           - https://myanimelist.net/anime/6032
Ari to Hato (1959)                                                                                   - 4.51  - 1959 - 1 episode(s)       - 8 min.                - Kids                                                                            - https://myanimelist.net/anime/21765
Ari to Kaeru                                                                                         - 3.29  - 1935 - 1 episode(s)       - 9 min.                -                                                                                 - https://myanimelist.net/anime/36701
Aria The Avvenire                                                                                    - 8.09  - 2015 - 3 episode(s)       - 21 min. per ep.       - Fantasy, Sci-Fi, Shounen, Slice of Life                                         - https://myanimelist.net/anime/29893
Aria The OVA: Arietta                                                                                - 8.09  - 2007 - 1 episode(s)       - 30 min.               - Fantasy, Sci-Fi, Shounen, Slice of Life                                         - https://myanimelist.net/anime/2563
Arrow Emblem Grand Prix no Taka                                                                      - 6.58  - 1977 - 44 episode(s)      - 24 min. per ep.       - Cars, Sports, Drama                                                             - https://myanimelist.net/anime/3800
Arslan Senki (TV): Fuujin Ranbu - 4-koma Gekijou                                                     - 6.44  - 2016 - 4 episode(s)       - 1 min. per ep.        - Comedy                                                                          - https://myanimelist.net/anime/36498
Aru Hi Inu no Kuni kara Tegami ga Kite                                                               - 6.63  - 2015 - 1 episode(s)       - 11 min.               - Drama, Shoujo                                                                   - https://myanimelist.net/anime/31387
Ashita no Yukinojou                                                                                  - 5.64  - 2002 - 4 episode(s)       - 30 min. per ep.       - Hentai, Romance, School, Sports                                                 - https://myanimelist.net/anime/5674
Asobo Toy-chan                                                                                       - 5.36  - 1994 - 53 episode(s)      - 25 min. per ep.       - Kids                                                                            - https://myanimelist.net/anime/21553
Astarotte no Omocha! EX                                                                              - 6.78  - 2011 - 1 episode(s)       - 21 min.               - Comedy, Demons, Ecchi, Fantasy, Romance, Seinen                                 - https://myanimelist.net/anime/10582
Asura                                                                                                - 7.18  - 2012 - 1 episode(s)       - 1 hr. 15 min.         - Drama, Historical                                                               - https://myanimelist.net/anime/8475
Atama wa Tsukaiyou. Card mo Tsukaiyou.                                                               - 5.31  - 2014 - 1 episode(s)       - 16 sec.               - Comedy                                                                          - https://myanimelist.net/anime/29141
Attakai, Fuyu Canada                                                                                 - 6.43  - 2017 - 1 episode(s)       - 31 sec.               - Slice of Life                                                                   - https://myanimelist.net/anime/36404
Bad Badtz-Maru no Ari to Kirigirisu                                                                  - 5.40  - 2001 - 1 episode(s)       - 10 min.               - Kids, Fantasy                                                                   - https://myanimelist.net/anime/22565
Bad Boys                                                                                             - 6.28  - 1993 - 5 episode(s)       - 30 min. per ep.       - Action, Comedy, Seinen                                                          - https://myanimelist.net/anime/6096
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou                                      - 7.36  - 2011 - 6 episode(s)       - 5 min. per ep.        - Comedy, Romance, School, Super Power                                            - https://myanimelist.net/anime/10834
Bakuman. 2nd Season Special                                                                          - 6.88  - 2012 - 1 episode(s)       - 4 min.                - Comedy                                                                          - https://myanimelist.net/anime/23369
Bakuman.: Deraman.                                                                                   - 7.30  - 2012 - 2 episode(s)       - 25 min. per ep.       - Comedy, School, Shounen                                                         - https://myanimelist.net/anime/15711
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!                                                      - 6.12  - 2014 - 1 episode(s)       - 23 min.               - Music, Mystery                                                                  - https://myanimelist.net/anime/25077
Bakumatsu no Spasibo                                                                                 - 6.83  - 1997 - 1 episode(s)       - 1 hr. 25 min.         - Historical                                                                      - https://myanimelist.net/anime/8092
Ball yo Doko e Yuku                                                                                  - 4.63  - 2014 - 1 episode(s)       - 1 min.                - Comedy                                                                          - https://myanimelist.net/anime/30093
Bannou Bunka Neko-Musume DASH!                                                                       - 6.48  - 1998 - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Ecchi, Romance, Sci-Fi                                          - https://myanimelist.net/anime/374
Baoh Raihousha                                                                                       - 6.15  - 1989 - 1 episode(s)       - 48 min.               - Action, Sci-Fi, Super Power, Martial Arts, Shounen                              - https://myanimelist.net/anime/1468
Bary-san x Gospe Rats: Tonde Bary Bary Monogatari                                                    - 4.28  - 2015 - 1 episode(s)       - 2 min.                - Music                                                                           - https://myanimelist.net/anime/31662
Battle Spirits: Brave                                                                                - 7.17  - 2010 - 50 episode(s)      - 24 min. per ep.       - Game, Military, Sci-Fi, Adventure, Demons                                       - https://myanimelist.net/anime/9346
Battle Spirits: Heroes                                                                               - 6.57  - 2011 - 50 episode(s)      - 24 min. per ep.       - Game, Sci-Fi                                                                    - https://myanimelist.net/anime/11017
Battle Spirits: Shounen Gekiha Dan                                                                   - 7.27  - 2009 - 50 episode(s)      - 23 min. per ep.       - Game, Military, Adventure, Magic                                                - https://myanimelist.net/anime/6901
Battle Spirits: Shounen Toppa Bashin                                                                 - 6.68  - 2008 - 50 episode(s)      - 24 min. per ep.       - Game, Shounen                                                                   - https://myanimelist.net/anime/5082
Battle Spirits: Sword Eyes                                                                           - 6.99  - 2012 - 29 episode(s)      - 25 min. per ep.       - Game, Adventure, Fantasy                                                        - https://myanimelist.net/anime/14913
Beachside Lover                                                                                      - N/A   - 2016 - 1 episode(s)       - 3 min.                - Music                                                                           - https://myanimelist.net/anime/36489
Beet the Vandel Buster                                                                               - 7.03  - 2004 - 52 episode(s)      - 23 min. per ep.       - Adventure, Fantasy, Shounen, Supernatural                                       - https://myanimelist.net/anime/8
Best Care Group                                                                                      - 5.47  - 2012 - 3 episode(s)       - 3 min. per ep.        - Slice of Life, Drama                                                            - https://myanimelist.net/anime/33940
Big Wars: Kami Utsu Akaki Kouya ni                                                                   - 5.57  - 1993 - 1 episode(s)       - 1 hr. 11 min.         - Action, Military, Sci-Fi, Space                                                 - https://myanimelist.net/anime/2622
Biohazard 4: Incubate                                                                                - 6.36  - 2006 - 1 episode(s)       - 1 hr. 22 min.         - Action, Demons, Horror, Military, Mystery, Police, Supernatural, Thriller       - https://myanimelist.net/anime/8278
Biohazard: Damnation                                                                                 - 7.35  - 2012 - 1 episode(s)       - 1 hr. 37 min.         - Action, Sci-Fi, Horror                                                          - https://myanimelist.net/anime/9544
Black Blood Brothers                                                                                 - 7.24  - 2006 - 12 episode(s)      - 25 min. per ep.       - Action, Comedy, Fantasy, Shounen, Supernatural, Vampire                         - https://myanimelist.net/anime/1498
Blade Runner: Black Out 2022                                                                         - 7.08  - 2017 - 1 episode(s)       - 15 min.               - Sci-Fi, Thriller                                                                - https://myanimelist.net/anime/36308
