Title                                                                                              - Score - Year    - Num Eps      - Duration           - Genre(s)                                                                                   - Link

#Compass 2.0: Sentou Setsuri Kaiseki System                                                        - None  - 2025    - Ongoing      - Unknown            -                                                                                            - https://myanimelist.net/anime/53762
#Compass                                                                                           - None  - 2018    - 10 episodes  - 4 min per ep       - Strategy Game                                                                              - https://myanimelist.net/anime/38603
.hack//G.U. Returner                                                                               - 6.67  - 2007    - 1 episode    - 24 min             - Adventure, Drama, Fantasy, Video Game                                                      - https://myanimelist.net/anime/2928
.hack//G.U. Trilogy: Parody Mode                                                                   - 6.36  - 2008    - 1 episode    - 6 min              - Comedy, Fantasy, Parody, Sci-Fi, Video Game                                                - https://myanimelist.net/anime/4469
.hack//G.U. Trilogy                                                                                - 7.08  - 2007    - 1 episode    - 1 hr 33 min        - Action, Fantasy, Video Game                                                                - https://myanimelist.net/anime/3269
.hack//The Movie: Sekai no Mukou ni                                                                - 7.06  - 2012    - 1 episode    - 1 hr 50 min        - Action, Adventure, Fantasy, Mystery, Sci-Fi, Video Game                                    - https://myanimelist.net/anime/11375
.hack//Versus: The Thanatos Report                                                                 - 6.28  - 2012    - 1 episode    - 21 min             - Action, Sci-Fi, Video Game                                                                 - https://myanimelist.net/anime/15219
15-fun de Wakaru Inazuma Eleven: Ares no Tenbin                                                    - 6.11  - 2018    - 1 episode    - 15 min             - Sports, Team Sports                                                                        - https://myanimelist.net/anime/51221
4-shuunen Monst? Shiru ka yo!                                                                      - 4.74  - 2017    - 1 episode    - 15 sec             - Comedy, Strategy Game                                                                      - https://myanimelist.net/anime/36624
A Flash | Honkai: Star Rail                                                                        - None  - 2023    - 1 episode    - 4 min              - Shounen                                                                                    - https://myanimelist.net/anime/55399
A New Journey                                                                                      - 6.08  - 2019    - 1 episode    - 1 min              - Action, Video Game                                                                         - https://myanimelist.net/anime/39057
A Ripple in Time                                                                                   - 6.16  - 2022    - 1 episode    - 6 min              - Adventure, Kids, Strategy Game                                                             - https://myanimelist.net/anime/51013
A3! Season Autumn & Winter                                                                         - 7.28  - 2020    - 12 episodes  - 23 min per ep      - Drama, Performing Arts                                                                     - https://myanimelist.net/anime/40272
A3! Season Spring & Summer                                                                         - 7.12  - 2020    - 12 episodes  - 23 min per ep      - Drama, Performing Arts                                                                     - https://myanimelist.net/anime/39184
AKB48 Stage Fighter                                                                                - 5.13  - 2011    - 1 episode    - 14 sec             - Action                                                                                     - https://myanimelist.net/anime/29850
Ai Mai! Moe Can Change!                                                                            - 5.49  - 2012    - 1 episode    - 24 min             - Comedy, Sci-Fi                                                                             - https://myanimelist.net/anime/12501
Aikatsu Friends!: Kagayaki no Jewel                                                                - 7.20  - 2019    - 26 episodes  - 24 min per ep      - Idols (Female), Music, School, Shoujo, Slice of Life                                       - https://myanimelist.net/anime/39078
Aikatsu Friends!                                                                                   - 7.22  - 2018    - 50 episodes  - 24 min per ep      - Idols (Female), Music, School, Shoujo, Slice of Life                                       - https://myanimelist.net/anime/37204
Aikatsu Planet! Movie                                                                              - 6.29  - 2022    - 1 episode    - 21 min             - Idols (Female), Music, School, Slice of Life                                               - https://myanimelist.net/anime/52992
Aikatsu Planet!                                                                                    - 6.48  - 2021    - 24 episodes  - 10 min per ep      - Idols (Female), Music, School, Slice of Life                                               - https://myanimelist.net/anime/42653
Aikatsu on Parade! (ONA)                                                                           - 6.73  - 2020    - 6 episodes   - 12 min per ep      - Idols (Female), Music, School, Shoujo, Slice of Life                                       - https://myanimelist.net/anime/41555
Aikatsu on Parade!                                                                                 - 7.05  - 2019    - 25 episodes  - 24 min per ep      - Idols (Female), Music, School, Shoujo, Slice of Life                                       - https://myanimelist.net/anime/40266
Ain't Seen Nothing Like This                                                                       - None  - 2022    - 1 episode    - 2 min              - Action, Music                                                                              - https://myanimelist.net/anime/55364
Akashic Re:cords                                                                                   - 6.46  - 2016    - 1 episode    - 1 min              - Fantasy, Strategy Game                                                                     - https://myanimelist.net/anime/36637
Akiba's Trip The Animation                                                                         - 6.50  - 2017    - 13 episodes  - 23 min per ep      - Action, Comedy, Ecchi, Otaku Culture, Supernatural                                         - https://myanimelist.net/anime/34051
Akindo Sei no Little Peso                                                                          - None  - 2017    - 12 episodes  - 3 min per ep       - Comedy, Sci-Fi                                                                             - https://myanimelist.net/anime/34928
Alice Gear Aegis Expansion                                                                         - 5.80  - 2023    - 12 episodes  - 23 min per ep      - Action, Mecha, Sci-Fi                                                                      - https://myanimelist.net/anime/50871
Alice Gear Aegis: Doki! Actress Darake no Mermaid Grand Prix♥                                      - 5.54  - 2021    - 1 episode    - 18 min             - Action, Mecha                                                                              - https://myanimelist.net/anime/43506
Alice in Cyberland                                                                                 - 4.65  - 1996    - 2 episodes   - 23 min per ep      - Sci-Fi                                                                                     - https://myanimelist.net/anime/5330
Aloha! Youkai Watch: Rakuen Hawaii de Geragerapou!!                                                - 5.84  - 2015    - 1 episode    - 2 min              - Kids, Slice of Life, Supernatural                                                          - https://myanimelist.net/anime/31164
Amada Anime Series: Super Mario Brothers                                                           - 4.77  - 1989    - 3 episodes   - 11 min per ep      - Adventure, Comedy                                                                          - https://myanimelist.net/anime/4389
Angelique                                                                                          - 6.29  - 2004    - 3 episodes   - 30 min per ep      - Drama, Fantasy, Reverse Harem, Romance, Sci-Fi, Shoujo                                     - https://myanimelist.net/anime/2534
Anime Tenchou x Touhou Project                                                                     - 6.65  - 2010    - 1 episode    - 10 min             - Fantasy                                                                                    - https://myanimelist.net/anime/9875
Ao Oni The Animation (Movie)                                                                       - 4.07  - 2017    - 1 episode    - 1 hr               - Horror, Mystery                                                                            - https://myanimelist.net/anime/33820
Ao Oni The Animation                                                                               - 5.08  - 2016    - 13 episodes  - 3 min per ep       - Comedy, Gore, Horror                                                                       - https://myanimelist.net/anime/33814
Aozora Under Girls!                                                                                - 5.55  - 2017    - 2 episodes   - 2 min per ep       - Idols (Female), Music                                                                      - https://myanimelist.net/anime/35651
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo                                               - 6.11  - 2006    - 1 episode    - 24 min             - Action, Adventure, Fantasy, Sci-Fi                                                         - https://myanimelist.net/anime/1202
Ar:pieL - 6-seosgae-ui Unmyeong                                                                    - None  - 2014    - 3 episodes   - 1 min per ep       - Action, Fantasy                                                                            - https://myanimelist.net/anime/34779
Arad Senki: Slap Up Party                                                                          - 6.70  - 2009    - 26 episodes  - 25 min per ep      - Action, Adventure, Comedy, Fantasy                                                         - https://myanimelist.net/anime/4657
Arad: Gyakuten no Wa                                                                               - 5.96  - 2020    - 13 episodes  - 24 min per ep      - Action, Adventure, Comedy, Fantasy                                                         - https://myanimelist.net/anime/38416
Arad: Suming Zhi Men                                                                               - 6.05  - 2017    - 20 episodes  - 14 min per ep      - Action, Adventure, Fantasy                                                                 - https://myanimelist.net/anime/38413
Arc the Lad                                                                                        - 6.51  - 1999    - 26 episodes  - 22 min per ep      - Action, Adventure, Fantasy, Horror, Sci-Fi                                                 - https://myanimelist.net/anime/55
Arknights: Fuyukomori Kaerimichi                                                                   - None  - Unknown - Ongoing      - Unknown            - Action, Fantasy                                                                            - https://myanimelist.net/anime/53881
Arknights: Reimei Zensou                                                                           - 7.11  - 2022    - 8 episodes   - 23 min per ep      - Action, Fantasy                                                                            - https://myanimelist.net/anime/50205
Arknights                                                                                          - 7.13  - 2019    - Ongoing      - 30 sec             - Action, Fantasy, Video Game                                                                - https://myanimelist.net/anime/42163
Armed Blue Gunvolt                                                                                 - 5.60  - 2017    - 1 episode    - 21 min             - Action, Sci-Fi, Super Power                                                                - https://myanimelist.net/anime/33564
Armored Core: Fort Tower Song                                                                      - 4.55  - 2006    - 1 episode    - 1 min              - Action, Mecha, Sci-Fi                                                                      - https://myanimelist.net/anime/3960
Astar-eul Hyanghae Chaguchagu                                                                      - None  - 2014    - 27 episodes  - 20 min per ep      - Sports, Team Sports                                                                        - https://myanimelist.net/anime/35605
Aura Xing: Jinji Sheng Dian                                                                        - None  - 2015    - 1 episode    - 1 hr 28 min        - Adventure, Fantasy, Kids                                                                   - https://myanimelist.net/anime/44889
Azur Lane Recap                                                                                    - 5.98  - 2019    - 1 episode    - 23 min             - Action, Military, Sci-Fi                                                                   - https://myanimelist.net/anime/40712
Azur Lane Valentine Special Mission                                                                - 6.11  - 2023    - 1 episode    - 1 min              - Gourmet, Slice of Life                                                                     - https://myanimelist.net/anime/55365
Azur Lane                                                                                          - 6.29  - 2019    - 12 episodes  - 23 min per ep      - Action, Military, Sci-Fi                                                                   - https://myanimelist.net/anime/38328
Azur Lane                                                                                          - None  - 2020    - Ongoing      - 30 sec             - Action, Slice of Life                                                                      - https://myanimelist.net/anime/55351
BOY's LOVE Nitro+CHiRAL                                                                            - 4.87  - 2017    - 5 episodes   - 4 min per ep       - Comedy, Parody                                                                             - https://myanimelist.net/anime/35328
Bai Gui Youeryuan 2nd Season                                                                       - None  - 2019    - 12 episodes  - 5 min per ep       - Comedy                                                                                     - https://myanimelist.net/anime/42444
Bakumatsu Crisis                                                                                   - 5.70  - 2019    - 12 episodes  - 24 min per ep      - Action, Historical, Samurai                                                                - https://myanimelist.net/anime/38860
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!                                                    - 6.00  - 2014    - 1 episode    - 23 min             - Music, Mystery, Performing Arts                                                            - https://myanimelist.net/anime/25077
Bakumatsu Rock                                                                                     - 6.02  - 2014    - 12 episodes  - 23 min per ep      - Action, Comedy, Historical, Music, Performing Arts                                         - https://myanimelist.net/anime/23037
Bakumatsu                                                                                          - 5.70  - 2018    - 12 episodes  - 24 min per ep      - Action, Historical, Samurai                                                                - https://myanimelist.net/anime/37584
Bang!Bang!Bang!                                                                                    - 6.87  - 2019    - 1 episode    - 3 min              - Idols (Male), Music                                                                        - https://myanimelist.net/anime/40967
Bao Dan Jing Ying                                                                                  - None  - 2015    - 12 episodes  - 12 min per ep      - Comedy, Parody, Sci-Fi                                                                     - https://myanimelist.net/anime/47068
Bao Ji Qiangshou: AK Xiyou                                                                         - None  - 2017    - 12 episodes  - 6 min per ep       - Comedy, Parody                                                                             - https://myanimelist.net/anime/47246
Bao Ji Qiangshou: T de Richang                                                                     - None  - 2016    - 6 episodes   - 9 min per ep       - Comedy, Parody                                                                             - https://myanimelist.net/anime/47247
Bao Ji Qiangshou                                                                                   - None  - 2016    - 13 episodes  - 10 min per ep      - Comedy, Parody                                                                             - https://myanimelist.net/anime/47245
Baozou LOL 2nd Season                                                                              - None  - 2015    - 12 episodes  - 3 min per ep       - Comedy, Fantasy, Parody                                                                    - https://myanimelist.net/anime/44558
Baozou LOL 3rd Season                                                                              - None  - 2016    - 13 episodes  - 10 min per ep      - Comedy                                                                                     - https://myanimelist.net/anime/44559
Baozou LOL                                                                                         - None  - 2015    - 12 episodes  - 3 min per ep       - Comedy, Fantasy, Parody                                                                    - https://myanimelist.net/anime/44557
Battle Girl High School                                                                            - 5.80  - 2017    - 12 episodes  - 23 min per ep      - Action, School, Sci-Fi                                                                     - https://myanimelist.net/anime/33184
Battle Spirits: Ryuuko no Ken                                                                      - 4.80  - 1993    - 1 episode    - 48 min             - Action, Comedy, Martial Arts                                                               - https://myanimelist.net/anime/1009
Bayonetta: Bloody Fate                                                                             - 6.63  - 2013    - 1 episode    - 1 hr 30 min        - Action, Fantasy, Mythology, Super Power                                                    - https://myanimelist.net/anime/20543
