Title                                                                                                - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
"Eiji"                                                                                               - 5.96  - 1990    - 1 episode(s)       - 48 min.               - Comedy, Drama, Sports                                                                                    - https://myanimelist.net/anime/6076
"Eikou Naki Tensai-tachi" Kara no Monogatari                                                         - 5.50  - 2017    - 2 episode(s)       - 49 min. per ep.       - Sports                                                                                                   - https://myanimelist.net/anime/35025
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou                                               - 6.26  - 2003    - 1 episode(s)       - 20 min.               - Adventure, Comedy, Fantasy, Game, Sci-Fi                                                                 - https://myanimelist.net/anime/1994
.hack//Tasogare no Udewa Densetsu                                                                    - 6.70  - 2003    - 12 episode(s)      - 23 min. per ep.       - Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen                                                        - https://myanimelist.net/anime/298
0-sen Hayato Pilot                                                                                   - 5.33  - 1985    - 1 episode(s)       - 23 min.               - Military, Historical                                                                                     - https://myanimelist.net/anime/33978
0-sen Hayato                                                                                         - 6.53  - 1964    - 38 episode(s)      - 15 min. per ep.       - Historical, Military                                                                                     - https://myanimelist.net/anime/12763
009 Re:Cyborg x Zip                                                                                  - 5.31  - 2012    - 10 episode(s)      - 10 sec. per ep.       - Comedy, Super Power                                                                                      - https://myanimelist.net/anime/32737
009-1: R&B                                                                                           - 6.38  - 2007    - 1 episode(s)       - 25 min.               - Action, Sci-Fi, Seinen                                                                                   - https://myanimelist.net/anime/3234
009-1                                                                                                - 6.34  - 2006    - 12 episode(s)      - 25 min. per ep.       - Action, Mecha, Sci-Fi, Seinen                                                                            - https://myanimelist.net/anime/1583
07-Ghost                                                                                             - 7.36  - 2009    - 25 episode(s)      - 23 min. per ep.       - Action, Demons, Fantasy, Josei, Magic, Military                                                          - https://myanimelist.net/anime/5525
1+2=Paradise                                                                                         - 5.15  - 1990    - 2 episode(s)       - 28 min. per ep.       - Comedy, Ecchi, Harem, Romance, Seinen                                                                    - https://myanimelist.net/anime/2730
100% Pascal-sensei (TV)                                                                              - 5.61  - 2017    - 36 episode(s)      - 12 min. per ep.       - Comedy                                                                                                   - https://myanimelist.net/anime/34052
100% Pascal-sensei                                                                                   - 5.67  - 2016    - 6 episode(s)       - 4 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/35447
1000-nen Joou: Queen Millennia                                                                       - 6.94  - 1982    - 1 episode(s)       - 2 hr. 1 min.          - Adventure, Fantasy, Drama, Sci-Fi                                                                        - https://myanimelist.net/anime/1549
11-nin Iru!                                                                                          - 7.23  - 1986    - 1 episode(s)       - 1 hr. 31 min.         - Action, Adventure, Drama, Mystery, Romance, Sci-Fi, Shoujo, Space                                        - https://myanimelist.net/anime/1901
12-sai. 2nd Season                                                                                   - 6.39  - 2015    - 4 episode(s)       - 13 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/31319
12-sai.: Chicchana Mune no Tokimeki 2nd Season                                                       - 6.80  - 2016    - 12 episode(s)      - 24 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/33419
12-sai.: Chicchana Mune no Tokimeki                                                                  - 6.57  - 2016    - 12 episode(s)      - 24 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/32601
12-sai.                                                                                              - 6.45  - 2014    - 8 episode(s)       - 11 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/23579
21-ji no Onna: Newscaster Katsuragi Miki                                                             - 5.90  - 2001    - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/2863
3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road                                  - 4.50  - 2017    - 1 episode(s)       - Unknown               - Comedy, Parody, School                                                                                   - https://myanimelist.net/anime/35070
3-Nen D-Gumi Glass no Kamen                                                                          - 4.98  - 2016    - 13 episode(s)      - 4 min. per ep.        - Comedy, Parody, School                                                                                   - https://myanimelist.net/anime/33975
3-gatsu no Lion 2nd Season                                                                           - 9.10  - 2017    - 22 episode(s)      - 25 min. per ep.       - Drama, Game, Seinen, Slice of Life                                                                       - https://myanimelist.net/anime/35180
3-gatsu no Lion Recap                                                                                - 6.74  - 2016    - 1 episode(s)       - 25 min.               - Drama                                                                                                    - https://myanimelist.net/anime/34647
3-gatsu no Lion                                                                                      - 8.43  - 2016    - 22 episode(s)      - 25 min. per ep.       - Game, Slice of Life, Drama, Seinen                                                                       - https://myanimelist.net/anime/31646
300 En no Otsukiai Anime Edition                                                                     - 6.42  - 2016    - 1 episode(s)       - 16 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/33993
3D Kanojo: Real Girl                                                                                 - 6.93  - 2018    - 12 episode(s)      - 22 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/36793
3x3 Eyes Seima Densetsu                                                                              - 7.08  - 1995    - 3 episode(s)       - 45 min. per ep.       - Action, Adventure, Demons, Fantasy, Horror, Romance                                                      - https://myanimelist.net/anime/1225
3x3 Eyes                                                                                             - 6.91  - 1991    - 4 episode(s)       - 30 min. per ep.       - Action, Demons, Fantasy, Horror, Romance                                                                 - https://myanimelist.net/anime/300
6 Lovers                                                                                             - N/A   - 2018    - Unknown episode(s) - 22 min.               - Comedy, Drama, Romance, School, Shounen Ai, Slice of Life, Supernatural, Yaoi                            - https://myanimelist.net/anime/35746
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation                                              - 6.59  - 2016    - Unknown episode(s) - 15 min.               - Hentai, Supernatural                                                                                     - https://myanimelist.net/anime/33865
A-Girl                                                                                               - 5.48  - 1993    - 1 episode(s)       - 25 min.               - Music, Romance, School, Shoujo                                                                           - https://myanimelist.net/anime/5447
A-Size Classmate                                                                                     - 5.97  - 2016    - 2 episode(s)       - 17 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/32484
ACCA: 13-ku Kansatsu-ka Specials                                                                     - 6.85  - 2017    - 6 episode(s)       - 4 min. per ep.        - Slice of Life, Seinen                                                                                    - https://myanimelist.net/anime/35720
ACCA: 13-ku Kansatsu-ka                                                                              - 7.73  - 2017    - 12 episode(s)      - 24 min. per ep.       - Mystery, Police, Drama, Fantasy, Seinen                                                                  - https://myanimelist.net/anime/33337
Aa Harimanada                                                                                        - 6.19  - 1992    - 23 episode(s)      - 24 min. per ep.       - Sports, Martial Arts, Seinen                                                                             - https://myanimelist.net/anime/8216
Aa! Megami-sama! (2011)                                                                              - 7.42  - 2011    - 3 episode(s)       - 28 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/9611
Aa! Megami-sama! (TV) Specials                                                                       - 7.59  - 2005    - 3 episode(s)       - 24 min. per ep.       - Magic, Comedy, Romance, Supernatural, Seinen                                                             - https://myanimelist.net/anime/1003
Aa! Megami-sama! (TV)                                                                                - 7.43  - 2005    - 24 episode(s)      - 24 min. per ep.       - Comedy, Supernatural, Magic, Romance, Seinen                                                             - https://myanimelist.net/anime/50
Aa! Megami-sama!: Sorezore no Tsubasa Specials                                                       - 7.61  - 2007    - 2 episode(s)       - 24 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/2198
Aa! Megami-sama!: Sorezore no Tsubasa                                                                - 7.66  - 2006    - 22 episode(s)      - 24 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/880
Aa! Megami-sama!: Tatakau Tsubasa                                                                    - 7.67  - 2007    - 2 episode(s)       - 24 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/3090
Aa! Megami-sama!                                                                                     - 7.38  - 1993    - 5 episode(s)       - 30 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/49
Abashiri Ikka                                                                                        - 5.56  - 1991    - 4 episode(s)       - 18 min. per ep.       - Action, Comedy, Shounen                                                                                  - https://myanimelist.net/anime/305
Accelerando: Datenshi-tachi no Sasayaki                                                              - 6.98  - 2007    - 4 episode(s)       - 28 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/2852
Ace wo Nerae! 2                                                                                      - 6.76  - 1988    - 13 episode(s)      - 24 min. per ep.       - Drama, Shoujo, Sports                                                                                    - https://myanimelist.net/anime/314
Ace wo Nerae!                                                                                        - 7.04  - 1973    - 26 episode(s)      - 24 min. per ep.       - Sports, Drama, Romance, School, Shoujo                                                                   - https://myanimelist.net/anime/311
Adachi-ga Hara                                                                                       - 6.05  - 1991    - 1 episode(s)       - 30 min.               - Sci-Fi                                                                                                   - https://myanimelist.net/anime/8181
Ahiru no Sora                                                                                        - N/A   - Unknown - Unknown episode(s) - Unknown               - Drama, School, Shounen, Sports                                                                           - https://myanimelist.net/anime/37403
Ai Tenshi Densetsu Wedding Peach                                                                     - 6.77  - 1995    - 51 episode(s)      - 24 min. per ep.       - Adventure, Magic, Comedy, Romance, Shoujo                                                                - https://myanimelist.net/anime/1533
Ai Yori Aoshi: Enishi - Miyuki                                                                       - 7.02  - 2003    - 1 episode(s)       - 15 min.               - Comedy, Drama, Romance                                                                                   - https://myanimelist.net/anime/3266
Ai Yori Aoshi: Enishi                                                                                - 7.23  - 2003    - 12 episode(s)      - 23 min. per ep.       - Comedy, Drama, Harem, Romance, Slice of Life                                                             - https://myanimelist.net/anime/394
