Title                                                                  - Score - Year    - Num Eps      - Duration           - Genre(s)                                                       - Link

!NVADE SHOW!                                                           - 6.10  - 2020    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/51478
18if                                                                   - 6.13  - 2017    - 13 episodes  - 23 min per ep      - Mystery, Supernatural                                          - https://myanimelist.net/anime/35248
A lot of life                                                          - 6.50  - 2020    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/51449
AU: Baoxiao Xiaoyuan                                                   - None  - 2013    - 60 episodes  - 6 min per ep       - Comedy, Kids                                                   - https://myanimelist.net/anime/45386
AU: De Fannao 2nd Season                                               - None  - 2019    - 26 episodes  - 12 min per ep      - Comedy, Kids                                                   - https://myanimelist.net/anime/45400
AU: De Fannao                                                          - None  - 2018    - 26 episodes  - 12 min per ep      - Comedy, Kids                                                   - https://myanimelist.net/anime/45394
AU: De Richang                                                         - None  - 2020    - 5 episodes   - 4 min per ep       - Comedy, Kids                                                   - https://myanimelist.net/anime/45399
AU: Kaixin Tongnian                                                    - None  - 2013    - 60 episodes  - 6 min per ep       - Comedy, Kids                                                   - https://myanimelist.net/anime/45385
AU: Mengxiang Xilie                                                    - None  - 2015    - 40 episodes  - 1 min per ep       - Comedy, Kids                                                   - https://myanimelist.net/anime/45396
AU: Shen Qihuan Jing                                                   - None  - 2017    - 26 episodes  - 7 min per ep       - Anthropomorphic, Comedy, Kids                                  - https://myanimelist.net/anime/45393
AU: Shenqi Luobo 2nd Season                                            - None  - 2015    - 26 episodes  - 12 min per ep      - Comedy, Kids                                                   - https://myanimelist.net/anime/45389
AU: Shenqi Luobo 3rd Season                                            - None  - 2016    - 26 episodes  - 12 min per ep      - Comedy, Kids                                                   - https://myanimelist.net/anime/45390
AU: Shenqi Luobo                                                       - None  - 2015    - 52 episodes  - 12 min per ep      - Comedy, Kids                                                   - https://myanimelist.net/anime/45388
AU: Tong Qu Xilie                                                      - None  - 2018    - 100 episodes - 1 min per ep       - Comedy, Kids                                                   - https://myanimelist.net/anime/45395
AU: Tu Zhi Lai Le 2nd Season                                           - None  - 2016    - 26 episodes  - 12 min per ep      - Comedy, Kids                                                   - https://myanimelist.net/anime/45392
AU: Tu Zhi Lai Le                                                      - None  - 2016    - 26 episodes  - 12 min per ep      - Comedy, Kids                                                   - https://myanimelist.net/anime/45391
AU: Wei Cengzhang Jia You                                              - None  - 2013    - 60 episodes  - 6 min per ep       - Comedy, Kids                                                   - https://myanimelist.net/anime/45387
AU: Xue Kexue 2nd Season                                               - None  - 2018    - 30 episodes  - 3 min per ep       - Comedy, Kids                                                   - https://myanimelist.net/anime/45398
AU: Xue Kexue                                                          - None  - 2016    - 32 episodes  - 3 min per ep       - Comedy, Kids                                                   - https://myanimelist.net/anime/45397
AU                                                                     - None  - 2013    - 60 episodes  - 6 min per ep       - Comedy, Kids                                                   - https://myanimelist.net/anime/45384
Akai Koudan Zillion Recaps                                             - 5.92  - 1987    - 3 episodes   - 42 min per ep      - Action, Adventure, Sci-Fi                                      - https://myanimelist.net/anime/17167
Akai Koudan Zillion: Utahime Yakyoku                                   - 5.70  - 1988    - 1 episode    - 47 min             - Action, Adventure, Sci-Fi                                      - https://myanimelist.net/anime/2689
Akai Koudan Zillion                                                    - 6.61  - 1987    - 31 episodes  - 24 min per ep      - Action, Adventure, Military, Sci-Fi                            - https://myanimelist.net/anime/2688
Alche Miss Katrina                                                     - None  - 2022    - 1 episode    - 3 min              - Music                                                          - https://myanimelist.net/anime/54212
Argonavis Movie: Axia                                                  - None  - 2023    - 1 episode    - 1 hr 4 min         - Drama, Music                                                   - https://myanimelist.net/anime/45731
Argonavis Movie: Ryuusei no Obligato                                   - None  - 2021    - 1 episode    - 1 hr 29 min        - Drama, Music                                                   - https://myanimelist.net/anime/49471
