Title                                                 - Score - Year    - Num Eps            - Duration        - Genre(s)                                                    - Link
2002-nen Harmoni Ondo                                 - 5.53  - 2002    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/31874
2010                                                  - 4.89  - 2010    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32813
3-D Tengoku                                           - 4.72  - 1988    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/24783
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku      - 5.44  - 2013    - 1 episode(s)       - 3 min.          - Music, School                                               - https://myanimelist.net/anime/24181
44-hiki no Neko                                       - 4.71  - 1969    - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/8646
7-kakan.                                              - 5.62  - 2015    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32853
Ai Uta: Since 2007                                    - 5.44  - 2016    - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/34656
Ai think so,                                          - 5.47  - 2009    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/31908
Aikodesho                                             - 3.79  - 1988    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32421
Ainone                                                - 4.54  - 2015    - 1 episode(s)       - 1 min.          - Music, Drama                                                - https://myanimelist.net/anime/32804
All Alone With You                                    - 7.29  - 2013    - 1 episode(s)       - 5 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/17901
Ame no Bus Stop-hen                                   - 4.76  - 2009    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32778
Anime Douyou                                          - 4.50  - 1988    - 30 episode(s)      - 5 min. per ep.  - Music, Kids                                                 - https://myanimelist.net/anime/33108
Anime Mitai na                                        - 5.33  - 2014    - 1 episode(s)       - 4 min.          -                                                             - https://myanimelist.net/anime/35707
Ano Hi no Kanojo-tachi                                - N/A   - 2018    - Unknown episode(s) - 1 min.          - Slice of Life                                               - https://myanimelist.net/anime/37589
Answer                                                - 5.25  - 2012    - 1 episode(s)       - 2 min.          - Music, Supernatural, Vampire                                - https://myanimelist.net/anime/32789
Anygedybudybombom                                     - 4.50  - 2009    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32779
Arigatou (2010)                                       - 3.57  - 2010    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/37195
Aruite Mikka!                                         - 4.53  - 1999    - 1 episode(s)       - 2 min.          - Music, Comedy, Kids                                         - https://myanimelist.net/anime/29105
Ashita e Mukau Hito                                   - 5.67  - 2015    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32750
Avignon no Hashi de                                   - 5.02  - 1970    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/8778
B Who I Want 2 B                                      - 5.53  - 2015    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/31880
B-Project: Kodou*Ambitious 2                          - N/A   - Unknown - Unknown episode(s) - Unknown         - Music, Shoujo                                               - https://myanimelist.net/anime/36483
B-Project: Kodou*Ambitious                            - 6.76  - 2016    - 12 episode(s)      - 24 min. per ep. - Music, Shoujo                                               - https://myanimelist.net/anime/33046
Bacterial Contamination                               - 6.08  - 2012    - 1 episode(s)       - 4 min.          - Dementia, Music, Horror                                     - https://myanimelist.net/anime/20855
Balloon (Music)                                       - 5.48  - 2012    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/34432
Banana Mura ni Ame ga Furu                            - 4.67  - 1987    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29107
Beachside Lover                                       - N/A   - 2016    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36489
Beat in Love                                          - 4.32  - 2008    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36078
Black Ocean                                           - 4.92  - 2013    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32811
Boku wa Kimi no Namida                                - N/A   - 1998    - 1 episode(s)       - 4 min.          - Kids, Music                                                 - https://myanimelist.net/anime/35587
Boku wa Kimi wo Warawanai                             - 5.53  - 2013    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32859
Boku wa Koko de Ikiteiku                              - 5.41  - 2015    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/33523
Boku wa Mada 7-sai Datta                              - 6.10  - 2016    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36716
Boku wa Sonzai Shiteinakatta                          - 5.77  - 2017    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36191
Bokura Machi Bouzu!                                   - 3.44  - 1998    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/31882
Bokura no Live Kimi to no Life                        - 7.20  - 2010    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/9907
Bucket no Ana                                         - 3.73  - 1968    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/30202
Bungaku Shounen no Yuuutsu                            - 5.59  - 2011    - 1 episode(s)       - 6 min.          - Drama, Music                                                - https://myanimelist.net/anime/32760
Cabbage UFO                                           - 5.15  - 1984    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29455
Candle                                                - 5.41  - 2013    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/35294
Car Radio                                             - 4.81  - 2013    - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/36093
Cherry Blossom (Music)                                - 4.63  - 2013    - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/32765
Chiisana Kinomi                                       - 5.26  - 1995    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30164
Chimuchimucheri ChimChimCheree                        - 4.72  - 1966    - 1 episode(s)       - 2 min.          - Kids, Music, Slice of Life                                  - https://myanimelist.net/anime/8661
Choco to Watashi                                      - 4.74  - 2014    - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/33526
Christmas Morgue                                      - 4.44  - 2010    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36181
Circles                                               - 5.30  - 2012    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32762
Clarinet Kowashichatta                                - 4.91  - 1963    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/24843
Clock Lock Works                                      - 4.82  - 2009    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36180
Cluster A                                             - 5.69  - 2016    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/34856
Cobalt World                                          - 6.56  - 2016    - 1 episode(s)       - 4 min.          - Music, Slice of Life                                        - https://myanimelist.net/anime/34802
Committed RED                                         - 5.72  - 2016    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/33236
Cook no Polka                                         - 4.64  - 1964    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/24901
Crystal Clear                                         - 6.54  - 2017    - 1 episode(s)       - 4 min.          - Music, Space                                                - https://myanimelist.net/anime/36136
Dareka no Santa Claus                                 - 5.55  - 2014    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32858
Decadence: Remix                                      - N/A   - 2012    - 1 episode(s)       - 4 min.          - Military, Music                                             - https://myanimelist.net/anime/37528
Dracula no Uta                                        - 4.94  - 1975    - 1 episode(s)       - 2 min.          - Kids, Music, Vampire                                        - https://myanimelist.net/anime/21831
Dreaming Pupa: Yumemiru Bokura                        - 4.88  - 2010    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32803
Echolocation                                          - 4.66  - 2014    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36069
Endless Summer                                        - 5.42  - 2013    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36074
