Title                                                                                          - Score - Year    - Num Eps            - Duration             - Genre(s)                                                                 - Link
Agatha Christie no Meitantei Poirot to Marple                                                  - 6.94  - 2004    - 39 episode(s)      - 25 min. per ep.      - Historical, Mystery                                                      - https://myanimelist.net/anime/244
Ai Shoujo Pollyanna Story                                                                      - 6.97  - 1986    - 51 episode(s)      - 26 min. per ep.      - Drama, Historical, Slice of Life                                         - https://myanimelist.net/anime/2554
Ai no Gakkou Cuore Monogatari                                                                  - 6.79  - 1981    - 26 episode(s)      - 25 min. per ep.      - Slice of Life, Historical, Drama, School                                 - https://myanimelist.net/anime/3835
Ai no Wakakusa Monogatari                                                                      - 7.60  - 1987    - 48 episode(s)      - 24 min. per ep.      - Drama, Historical, Slice of Life                                         - https://myanimelist.net/anime/2548
Akage no Anne                                                                                  - 7.75  - 1979    - 50 episode(s)      - 25 min. per ep.      - Slice of Life, Historical, Drama                                         - https://myanimelist.net/anime/283
Anime 80-nichikan Sekai Isshuu                                                                 - 6.85  - 1984    - 26 episode(s)      - 25 min. per ep.      - Adventure, Historical, Kids, Romance                                     - https://myanimelist.net/anime/2579
Anime Sanjuushi: Aramis no Bouken                                                              - 6.68  - 1989    - 1 episode(s)       - 45 min.              - Adventure, Historical, Romance                                           - https://myanimelist.net/anime/2334
Anime Sanjuushi                                                                                - 7.22  - 1987    - 52 episode(s)      - 28 min. per ep.      - Adventure, Drama, Historical, Romance                                    - https://myanimelist.net/anime/2333
Another: Misaki Mei - Shizukani                                                                - 6.26  - 2013    - 1 episode(s)       - 4 min.               - Music                                                                    - https://myanimelist.net/anime/20365
Another: The Other - Inga                                                                      - 7.45  - 2012    - 1 episode(s)       - 24 min.              - Horror, Mystery, Thriller                                                - https://myanimelist.net/anime/11701
Another                                                                                        - 7.77  - 2012    - 12 episode(s)      - 24 min. per ep.      - Mystery, Horror, Supernatural, Thriller, School                          - https://myanimelist.net/anime/11111
Aoi Bungaku Series                                                                             - 7.84  - 2009    - 12 episode(s)      - 22 min. per ep.      - Psychological, Historical, Thriller, Drama, Seinen                       - https://myanimelist.net/anime/7193
Apfelland Monogatari                                                                           - 6.07  - 1992    - 1 episode(s)       - 1 hr. 30 min.        - Adventure, Historical, Drama                                             - https://myanimelist.net/anime/5673
Arano no Sakebi Koe: Hoero, Buck                                                               - 6.81  - 1981    - 1 episode(s)       - 1 hr. 6 min.         - Adventure, Drama                                                         - https://myanimelist.net/anime/4074
Arete Hime                                                                                     - 7.03  - 2001    - 1 episode(s)       - 1 hr. 45 min.        - Fantasy, Magic                                                           - https://myanimelist.net/anime/1028
Ark IX                                                                                         - 5.27  - 2013    - 1 episode(s)       - 11 min.              - Action                                                                   - https://myanimelist.net/anime/17395
Ashita Genki ni Nare!: Hanbun no Satsumaimo                                                    - 6.50  - 2005    - 1 episode(s)       - 1 hr. 29 min.        - Drama                                                                    - https://myanimelist.net/anime/17493
Baito-saki wa "Aku no Soshiki"!?                                                               - 5.36  - 2017    - 10 episode(s)      - 2 min. per ep.       - Action, Comedy, Romance                                                  - https://myanimelist.net/anime/36771
Basilisk: Ouka Ninpouchou                                                                      - 5.92  - 2018    - 24 episode(s)      - 23 min. per ep.      - Action, Martial Arts, Historical, Drama                                  - https://myanimelist.net/anime/35964
Battery                                                                                        - 5.78  - 2016    - 11 episode(s)      - 23 min. per ep.      - Slice of Life, Sports, Drama                                             - https://myanimelist.net/anime/32947
Bavi Stock                                                                                     - 5.27  - 1985    - 2 episode(s)       - 45 min. per ep.      - Action, Sci-Fi, Adventure, Fantasy                                       - https://myanimelist.net/anime/10105
Beatless Intermission                                                                          - 5.46  - 2018    - Unknown episode(s) - 24 min.              - Action, Sci-Fi, Drama, Romance                                           - https://myanimelist.net/anime/37277
Beatless                                                                                       - 6.15  - 2018    - 24 episode(s)      - 24 min. per ep.      - Action, Drama, Romance, Sci-Fi                                           - https://myanimelist.net/anime/36516
Big Wars: Kami Utsu Akaki Kouya ni                                                             - 5.57  - 1993    - 1 episode(s)       - 1 hr. 11 min.        - Action, Military, Sci-Fi, Space                                          - https://myanimelist.net/anime/2622
Bobby ni Kubittake                                                                             - 6.19  - 1985    - 1 episode(s)       - 44 min.              - Drama, Romance, Slice of Life                                            - https://myanimelist.net/anime/3120
Boku no Sexual Harassment                                                                      - 5.90  - 1994    - 3 episode(s)       - 36 min. per ep.      - Hentai, Yaoi                                                             - https://myanimelist.net/anime/755
Boku wa Robot-goshi no Kimi ni Koi wo Suru                                                     - 6.47  - 2017    - 1 episode(s)       - 1 min.               - Sci-Fi, Romance                                                          - https://myanimelist.net/anime/36542
Bouken-tachi Gamba to Nanbiki no Nakama                                                        - 6.54  - 1984    - 1 episode(s)       - 1 hr. 35 min.        - Adventure, Kids                                                          - https://myanimelist.net/anime/28983
Brave Story                                                                                    - 7.54  - 2006    - 1 episode(s)       - 1 hr. 52 min.        - Action, Adventure, Fantasy, Kids, Magic, Supernatural                    - https://myanimelist.net/anime/1681
Brothers Conflict OVA                                                                          - 6.96  - 2014    - 2 episode(s)       - 22 min. per ep.      - Harem, Romance, Shoujo                                                   - https://myanimelist.net/anime/25437
Brothers Conflict Special                                                                      - 6.76  - 2014    - 1 episode(s)       - 14 min.              - Harem, Romance, Shoujo                                                   - https://myanimelist.net/anime/22745
Brothers Conflict                                                                              - 6.52  - 2013    - 12 episode(s)      - 24 min. per ep.      - Harem, Romance, Shoujo                                                   - https://myanimelist.net/anime/15605
Captain Future                                                                                 - 7.14  - 1978    - 52 episode(s)      - 23 min. per ep.      - Action, Adventure, Sci-Fi, Shounen                                       - https://myanimelist.net/anime/2561
Carol                                                                                          - 5.25  - 1990    - 1 episode(s)       - 1 hr.                - Fantasy, Magic, Shoujo                                                   - https://myanimelist.net/anime/2054
Cello Hiki no Gauche                                                                           - 5.00  - 1963    - 1 episode(s)       - 18 min.              - Music, Kids, Fantasy                                                     - https://myanimelist.net/anime/33344
Cheating Craft                                                                                 - 5.56  - 2016    - 12 episode(s)      - 12 min. per ep.      - Action, Comedy, School                                                   - https://myanimelist.net/anime/33771
Cheer Danshi!! Recap                                                                           - 5.95  - 2016    - 1 episode(s)       - 24 min.              - Sports, School                                                           - https://myanimelist.net/anime/33798
Cheer Danshi!! Specials                                                                        - 6.23  - 2016    - 2 episode(s)       - Unknown              - Sports, School                                                           - https://myanimelist.net/anime/34548
Cheer Danshi!!                                                                                 - 6.84  - 2016    - 12 episode(s)      - 24 min. per ep.      - Sports, Drama, School                                                    - https://myanimelist.net/anime/32483
Chikatetsu ni Noru                                                                             - 3.25  - 2017    - 1 episode(s)       - 12 min.              - Slice of Life                                                            - https://myanimelist.net/anime/36888
Chimera                                                                                        - N/A   - Unknown - 1 episode(s)       - Unknown              - Action, Demons, Horror, Super Power, Supernatural                        - https://myanimelist.net/anime/37437
Chironup no Kitsune                                                                            - 6.70  - 1987    - 1 episode(s)       - 1 hr. 12 min.        - Drama                                                                    - https://myanimelist.net/anime/17689
Chocolate Underground                                                                          - 6.24  - 2008    - 13 episode(s)      - 5 min. per ep.       - Comedy, Kids                                                             - https://myanimelist.net/anime/3962
Chou Shounen Tanteidan Neo                                                                     - 5.19  - 2017    - 13 episode(s)      - 4 min. per ep.       - Mystery                                                                  - https://myanimelist.net/anime/32830
Clione no Akari                                                                                - 5.43  - 2017    - 12 episode(s)      - 9 min. per ep.       - Drama, School                                                            - https://myanimelist.net/anime/35114
Colorful (Movie)                                                                               - 8.00  - 2010    - 1 episode(s)       - 2 hr. 7 min.         - Slice of Life, Supernatural, Drama                                       - https://myanimelist.net/anime/8142
Coo: Tooi Umi kara Kita Coo                                                                    - 6.91  - 1993    - 1 episode(s)       - 1 hr. 56 min.        - Adventure, Slice of Life, Mystery, Drama                                 - https://myanimelist.net/anime/2055
Da Nao Tiangong                                                                                - 6.74  - 1964    - 1 episode(s)       - 1 hr. 54 min.        - Adventure                                                                - https://myanimelist.net/anime/6855
Dive!!                                                                                         - 6.17  - 2017    - 12 episode(s)      - 22 min. per ep.      - Comedy, Sports                                                           - https://myanimelist.net/anime/34543
Doubutsu Takarajima                                                                            - 6.60  - 1971    - 1 episode(s)       - 1 hr. 15 min.        - Adventure                                                                - https://myanimelist.net/anime/3842
Douluo Dalu                                                                                    - 7.69  - 2018    - 26 episode(s)      - 20 min. per ep.      - Action, Adventure, Historical, Romance, Martial Arts, Fantasy            - https://myanimelist.net/anime/37150
Doupo Cangqiong 2nd Season                                                                     - 7.95  - 2018    - Unknown episode(s) - 20 min.              - Action, Adventure, Historical, Demons, Romance, Martial Arts, Fantasy    - https://myanimelist.net/anime/37176
Doupo Cangqiong Specials                                                                       - 6.87  - 2017    - 2 episode(s)       - 25 min. per ep.      - Action, Adventure, Demons, Fantasy                                       - https://myanimelist.net/anime/36561
Doupo Cangqiong                                                                                - 7.40  - 2017    - 12 episode(s)      - 20 min. per ep.      - Action, Adventure, Comedy, Supernatural, Romance                         - https://myanimelist.net/anime/36491
Ecchan no Sensou                                                                               - 6.38  - 2002    - 1 episode(s)       - 1 hr. 20 min.        - Historical, Drama                                                        - https://myanimelist.net/anime/19907
Fate/Zero 2nd Season                                                                           - 8.66  - 2012    - 12 episode(s)      - 24 min. per ep.      - Action, Supernatural, Magic, Fantasy                                     - https://myanimelist.net/anime/11741
Fate/Zero                                                                                      - 8.44  - 2011    - 13 episode(s)      - 28 min. per ep.      - Action, Supernatural, Magic, Fantasy                                     - https://myanimelist.net/anime/10087
Fengshen Bang                                                                                  - 4.22  - 1976    - 1 episode(s)       - 1 hr. 18 min.        - Action, Fantasy, Martial Arts                                            - https://myanimelist.net/anime/35379
Final Fantasy VII: On the Way to a Smile - Episode: Denzel                                     - 7.20  - 2009    - 1 episode(s)       - 28 min.              - Action, Fantasy, Super Power                                             - https://myanimelist.net/anime/6151
Flanders no Inu (Movie)                                                                        - 8.01  - 1997    - 1 episode(s)       - 1 hr. 42 min.        - Drama, Historical                                                        - https://myanimelist.net/anime/2623
Flanders no Inu, Boku no Patrasche                                                             - 7.26  - 1992    - 26 episode(s)      - 25 min. per ep.      - Drama, Historical                                                        - https://myanimelist.net/anime/2624
Flanders no Inu                                                                                - 7.46  - 1975    - 52 episode(s)      - 26 min. per ep.      - Drama, Historical, Slice of Life                                         - https://myanimelist.net/anime/2553
Fortune Quest L                                                                                - 6.57  - 1997    - 26 episode(s)      - 23 min. per ep.      - Adventure, Comedy, Fantasy, Magic                                        - https://myanimelist.net/anime/3185
