Title                                                                                                - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                                      - Link
"Parade" de Satie                                                                                    - 3.77  - 2016    - 1 episode(s)       - 14 min.               - Music, Dementia                                                                                                               - https://myanimelist.net/anime/34595
(a long day of) Mr. Calpaccio                                                                        - 2.64  - 2005    - 1 episode(s)       - 12 min.               - Dementia                                                                                                                      - https://myanimelist.net/anime/36734
.hack//Gift                                                                                          - 6.30  - 2003    - 1 episode(s)       - 26 min.               - Comedy, Fantasy, Game                                                                                                         - https://myanimelist.net/anime/454
.hack//Intermezzo                                                                                    - 6.65  - 2003    - 1 episode(s)       - 24 min.               - Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi                                                                              - https://myanimelist.net/anime/1143
.hack//Liminality                                                                                    - 6.69  - 2002    - 4 episode(s)       - 33 min. per ep.       - Game, Mystery, Sci-Fi                                                                                                         - https://myanimelist.net/anime/299
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!                                                - 6.62  - 2011    - 3 episode(s)       - 3 min. per ep.        - Game, Comedy                                                                                                                  - https://myanimelist.net/anime/10390
.hack//Quantum                                                                                       - 7.29  - 2011    - 3 episode(s)       - 26 min. per ep.       - Action, Adventure, Fantasy, Game, Sci-Fi                                                                                      - https://myanimelist.net/anime/9332
.hack//Roots                                                                                         - 7.02  - 2006    - 26 episode(s)      - 24 min. per ep.       - Adventure, Fantasy, Game, Drama, Sci-Fi                                                                                       - https://myanimelist.net/anime/873
.hack//Sign                                                                                          - 7.09  - 2002    - 26 episode(s)      - 24 min. per ep.       - Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy                                                                              - https://myanimelist.net/anime/48
.hack//Unison                                                                                        - 6.79  - 2003    - 1 episode(s)       - 24 min.               - Adventure, Comedy, Fantasy, Game, Magic, Sci-Fi                                                                               - https://myanimelist.net/anime/1487
1/100 Rice Planting                                                                                  - 5.03  - 2016    - 1 episode(s)       - 9 min.                - Slice of Life                                                                                                                 - https://myanimelist.net/anime/36745
1/100 Shibuya Crossing                                                                               - 5.27  - 2015    - 1 episode(s)       - 2 min.                - Slice of Life                                                                                                                 - https://myanimelist.net/anime/36746
