Title                                                                                               - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
&quot;0&quot;                                                                                       - 4.84  - 2013    - 1 episode(s)       - 2 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/20707
&quot;Aesop&quot; no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu                                    - 5.06  - 1970    - 1 episode(s)       - 12 min.               - Kids                                                                                                                                                           - https://myanimelist.net/anime/25627
.hack//The Movie: Sekai no Mukou ni                                                                 - 7.25  - 2012    - 1 episode(s)       - 1 hr. 50 min.         - Action, Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi                                                                                                       - https://myanimelist.net/anime/11375
.hack//Versus: The Thanatos Report                                                                  - 6.45  - 2012    - 1 episode(s)       - 21 min.               - Action, Game, Sci-Fi                                                                                                                                           - https://myanimelist.net/anime/15219
001                                                                                                 - 3.34  - 2013    - 1 episode(s)       - 37 sec.               - Comedy                                                                                                                                                         - https://myanimelist.net/anime/29978
009 Re:Cyborg                                                                                       - 6.69  - 2012    - 1 episode(s)       - 1 hr. 43 min.         - Action, Adventure, Mecha, Sci-Fi                                                                                                                               - https://myanimelist.net/anime/11755
00:08                                                                                               - 5.02  - 2014    - 1 episode(s)       - 5 min.                - Dementia                                                                                                                                                       - https://myanimelist.net/anime/28761
100%                                                                                                - 5.55  - 1990    - 1 episode(s)       - 53 min.               - Drama                                                                                                                                                          - https://myanimelist.net/anime/7374
1001 Nights                                                                                         - 6.34  - 1999    - 1 episode(s)       - 24 min.               - Demons, Fantasy, Romance, Seinen                                                                                                                               - https://myanimelist.net/anime/3914
12-gatsu no Uta                                                                                     - 4.79  - 1971    - 1 episode(s)       - 1 min.                - Music, Kids                                                                                                                                                    - https://myanimelist.net/anime/29411
15 Sonyeon Uju Pyoryugi                                                                             - 5.47  - 1980    - 1 episode(s)       - 1 hr. 10 min.         - Action, Sci-Fi, Shounen, Space                                                                                                                                 - https://myanimelist.net/anime/18305
1989                                                                                                - 5.67  - 2009    - 1 episode(s)       - 7 min.                - Space, Music                                                                                                                                                   - https://myanimelist.net/anime/30234
20-dai no Heya-hen                                                                                  - 5.22  - 2015    - 1 episode(s)       - 15 sec.               - Slice of Life                                                                                                                                                  - https://myanimelist.net/anime/29347
2020 Nyeon Ujuui Wonder Kiddy                                                                       - 5.92  - 1989    - 13 episode(s)      - 24 min. per ep.       - Sci-Fi, Space                                                                                                                                                  - https://myanimelist.net/anime/16696
21 Emon Uchuu e Irasshai!                                                                           - 5.59  - 1981    - 1 episode(s)       - 1 hr. 32 min.         - Space, Comedy, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/6073
21 Emon Uchuu ike! Hadashi no Princess                                                              - 6.04  - 1992    - 1 episode(s)       - 40 min.               - Space, Comedy, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/6074
21 Emon                                                                                             - 6.10  - 1991    - 39 episode(s)      - 25 min. per ep.       - Space, Comedy, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/5628
21 Seiki Manga Hajimete Monogatari                                                                  - 6.39  - 2001    - 1 episode(s)       - 30 min.               - Adventure, Comedy, Kids, Sci-Fi                                                                                                                                - https://myanimelist.net/anime/10139
2x1                                                                                                 - 5.35  - 1998    - 2 episode(s)       - 24 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/2864
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!                                                  - 6.08  - 1993    - 1 episode(s)       - 43 min.               - Adventure, Kids                                                                                                                                                - https://myanimelist.net/anime/12589
3 Choume no Tama: Uchi no Tama Shirimasenka?                                                        - 6.69  - 1988    - 36 episode(s)      - 23 min. per ep.       - Adventure                                                                                                                                                      - https://myanimelist.net/anime/2467
30th Gundam Perfect Mission                                                                         - 7.02  - 2009    - 1 episode(s)       - 2 min.                - Mecha, Sci-Fi                                                                                                                                                  - https://myanimelist.net/anime/7113
4-Day Weekend                                                                                       - 5.81  - 1998    - 1 episode(s)       - 4 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/3685
47 Todoufuken R                                                                                     - 5.64  - 2014    - 12 episode(s)      - 5 min. per ep.        - Comedy, Kids                                                                                                                                                   - https://myanimelist.net/anime/23149
47 Todoufuken Specials                                                                              - 5.50  - 2012    - 2 episode(s)       - 4 min. per ep.        - Kids, Comedy, Romance                                                                                                                                          - https://myanimelist.net/anime/29835
