Title                                                                                                - Score - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou                                               - 6.27  - 1 episode(s)       - 20 min.               - Adventure, Comedy, Fantasy, Game, Sci-Fi                                                                 - https://myanimelist.net/anime/1994
.hack//Tasogare no Udewa Densetsu                                                                    - 6.71  - 12 episode(s)      - 23 min. per ep.       - Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen                                                        - https://myanimelist.net/anime/298
0-sen Hayato Pilot                                                                                   - 5.00  - 1 episode(s)       - 23 min.               - Military, Historical                                                                                     - https://myanimelist.net/anime/33978
009 Re:Cyborg x Zip                                                                                  - 5.38  - 10 episode(s)      - 10 sec. per ep.       - Comedy, Super Power                                                                                      - https://myanimelist.net/anime/32737
009-1: R&B                                                                                           - 6.40  - 1 episode(s)       - 25 min.               - Action, Sci-Fi, Seinen                                                                                   - https://myanimelist.net/anime/3234
009-1                                                                                                - 6.34  - 12 episode(s)      - 25 min. per ep.       - Action, Mecha, Sci-Fi, Seinen                                                                            - https://myanimelist.net/anime/1583
07-Ghost                                                                                             - 7.37  - 25 episode(s)      - 23 min. per ep.       - Action, Demons, Fantasy, Josei, Magic, Military                                                          - https://myanimelist.net/anime/5525
1+2=Paradise                                                                                         - 5.14  - 2 episode(s)       - 28 min. per ep.       - Comedy, Ecchi, Harem, Romance, Seinen                                                                    - https://myanimelist.net/anime/2730
100% Pascal-sensei (TV)                                                                              - 5.66  - 36 episode(s)      - 12 min. per ep.       - Comedy                                                                                                   - https://myanimelist.net/anime/34052
100% Pascal-sensei                                                                                   - 4.96  - 6 episode(s)       - 4 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/35447
1000-nen Joou: Queen Millennia                                                                       - 6.95  - 1 episode(s)       - 2 hr. 1 min.          - Adventure, Fantasy, Drama, Sci-Fi                                                                        - https://myanimelist.net/anime/1549
11-nin Iru!                                                                                          - 7.24  - 1 episode(s)       - 1 hr. 31 min.         - Action, Adventure, Drama, Mystery, Romance, Sci-Fi, Shoujo, Space                                        - https://myanimelist.net/anime/1901
12-sai. 2nd Season                                                                                   - 6.36  - 4 episode(s)       - 13 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/31319
12-sai.: Chicchana Mune no Tokimeki 2nd Season                                                       - 6.81  - 12 episode(s)      - 24 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/33419
12-sai.: Chicchana Mune no Tokimeki                                                                  - 6.58  - 12 episode(s)      - 24 min. per ep.       - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/32601
21-ji no Onna: Newscaster Katsuragi Miki                                                             - 5.91  - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/2863
3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no VR                                            - 4.13  - 1 episode(s)       - Unknown               - Comedy, Parody, School                                                                                   - https://myanimelist.net/anime/35070
3-Nen D-Gumi Glass no Kamen                                                                          - 5.05  - 13 episode(s)      - 4 min. per ep.        - Comedy, Parody, School                                                                                   - https://myanimelist.net/anime/33975
3-gatsu no Lion 2nd Season                                                                           - 8.89  - 22 episode(s)      - 25 min. per ep.       - Drama, Game, Seinen, Slice of Life                                                                       - https://myanimelist.net/anime/35180
3-gatsu no Lion Recap                                                                                - 6.73  - 1 episode(s)       - 25 min.               - Drama                                                                                                    - https://myanimelist.net/anime/34647
3-gatsu no Lion                                                                                      - 8.39  - 22 episode(s)      - 25 min. per ep.       - Game, Slice of Life, Drama, Seinen                                                                       - https://myanimelist.net/anime/31646
300 En no Otsukiai Anime Edition                                                                     - 6.39  - 1 episode(s)       - 16 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/33993
3x3 Eyes Seima Densetsu                                                                              - 7.09  - 3 episode(s)       - 45 min. per ep.       - Action, Adventure, Demons, Fantasy, Horror, Romance                                                      - https://myanimelist.net/anime/1225
3x3 Eyes                                                                                             - 6.92  - 4 episode(s)       - 30 min. per ep.       - Action, Demons, Fantasy, Horror, Romance                                                                 - https://myanimelist.net/anime/300
6 Lovers                                                                                             - N/A   - Unknown episode(s) - 22 min.               - Comedy, Drama, Romance, School, Shounen Ai, Slice of Life, Supernatural, Yaoi                            - https://myanimelist.net/anime/35746
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation                                              - 6.66  - Unknown episode(s) - 30 min.               - Hentai, Supernatural                                                                                     - https://myanimelist.net/anime/33865
A-Girl                                                                                               - 5.48  - 1 episode(s)       - 25 min.               - Music, Romance, School, Shoujo                                                                           - https://myanimelist.net/anime/5447
A-Size Classmate                                                                                     - 5.95  - 2 episode(s)       - 17 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/32484
Aa! Megami-sama! (2011)                                                                              - 7.43  - 3 episode(s)       - 28 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/9611
Aa! Megami-sama! (TV) Specials                                                                       - 7.59  - 3 episode(s)       - 24 min. per ep.       - Magic, Comedy, Romance, Supernatural, Seinen                                                             - https://myanimelist.net/anime/1003
Aa! Megami-sama! (TV)                                                                                - 7.43  - 24 episode(s)      - 24 min. per ep.       - Comedy, Supernatural, Magic, Romance, Seinen                                                             - https://myanimelist.net/anime/50
Aa! Megami-sama!: Sorezore no Tsubasa Specials                                                       - 7.61  - 2 episode(s)       - 24 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/2198
Aa! Megami-sama!: Sorezore no Tsubasa                                                                - 7.66  - 22 episode(s)      - 24 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/880
Aa! Megami-sama!: Tatakau Tsubasa                                                                    - 7.68  - 2 episode(s)       - 24 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/3090
Aa! Megami-sama!                                                                                     - 7.39  - 5 episode(s)       - 30 min. per ep.       - Comedy, Magic, Romance, Seinen, Supernatural                                                             - https://myanimelist.net/anime/49
Abashiri Ikka                                                                                        - 5.59  - 4 episode(s)       - 18 min. per ep.       - Action, Comedy, Shounen                                                                                  - https://myanimelist.net/anime/305
Ace wo Nerae! 2                                                                                      - 6.80  - 13 episode(s)      - 24 min. per ep.       - Drama, Shoujo, Sports                                                                                    - https://myanimelist.net/anime/314
Ace wo Nerae!                                                                                        - 7.05  - 26 episode(s)      - 24 min. per ep.       - Sports, Drama, Romance, School, Shoujo                                                                   - https://myanimelist.net/anime/311
Ai Tenshi Densetsu Wedding Peach                                                                     - 6.77  - 51 episode(s)      - 24 min. per ep.       - Adventure, Magic, Comedy, Romance, Shoujo                                                                - https://myanimelist.net/anime/1533
Ai Yori Aoshi: Enishi - Miyuki                                                                       - 7.02  - 1 episode(s)       - 15 min.               - Comedy, Drama, Romance                                                                                   - https://myanimelist.net/anime/3266
Ai Yori Aoshi: Enishi                                                                                - 7.23  - 12 episode(s)      - 23 min. per ep.       - Comedy, Drama, Harem, Romance, Slice of Life                                                             - https://myanimelist.net/anime/394
Ai Yori Aoshi: Yumegatari                                                                            - 6.88  - 1 episode(s)       - 4 min.                - Comedy, Harem, Romance, Slice of Life                                                                    - https://myanimelist.net/anime/6709
Ai Yori Aoshi                                                                                        - 7.21  - 24 episode(s)      - 23 min. per ep.       - Comedy, Drama, Harem, Romance, Slice of Life                                                             - https://myanimelist.net/anime/53
Ai no Wakakusa Yama Monogatari                                                                       - 6.39  - 12 episode(s)      - 4 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/6075
Ai to Yuuki no Pig Girl Tonde Buurin                                                                 - 6.67  - 51 episode(s)      - 25 min. per ep.       - Parody, Adventure, Fantasy, Magic, Comedy, Romance, School, Shoujo                                       - https://myanimelist.net/anime/2041
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky                                          - 7.74  - 3 episode(s)       - 28 min. per ep.       - Action, Comedy, Ecchi, Shounen, Sports                                                                   - https://myanimelist.net/anime/9201
Air Master                                                                                           - 7.11  - 27 episode(s)      - 24 min. per ep.       - Action, Comedy, Martial Arts, Seinen                                                                     - https://myanimelist.net/anime/230
Aishite Knight                                                                                       - 6.76  - 42 episode(s)      - 25 min. per ep.       - Comedy, Romance, Shoujo                                                                                  - https://myanimelist.net/anime/2221
Aishiteruze Baby★★                                                                                   - 7.55  - 26 episode(s)      - 25 min. per ep.       - Comedy, Drama, Romance, Shoujo                                                                           - https://myanimelist.net/anime/102
Aitsu to Lullaby: Suiyobi no Cinderella                                                              - 5.92  - 1 episode(s)       - 50 min.               - Romance, Drama, Shounen                                                                                  - https://myanimelist.net/anime/14183
Ajin 2nd Season                                                                                      - 7.94  - 13 episode(s)      - 24 min. per ep.       - Action, Mystery, Horror, Supernatural, Seinen                                                            - https://myanimelist.net/anime/33253
Ajin OVA                                                                                             - 7.42  - 3 episode(s)       - 21 min. per ep.       - Action, Mystery, Horror, Supernatural, Seinen                                                            - https://myanimelist.net/anime/32015
Ajin Part 2: Shoutotsu                                                                               - 7.47  - 1 episode(s)       - 1 hr. 45 min.         - Action, Horror, Mystery, Seinen, Supernatural                                                            - https://myanimelist.net/anime/30869
Ajin Part 3: Shougeki                                                                                - 7.46  - 1 episode(s)       - 2 hr.                 - Action, Horror, Mystery, Seinen, Supernatural                                                            - https://myanimelist.net/anime/30870
Akachan to Boku                                                                                      - 7.99  - 35 episode(s)      - 25 min. per ep.       - Comedy, Drama, Shoujo                                                                                    - https://myanimelist.net/anime/1485
Akagami no Shirayuki-hime 2nd Season                                                                 - 8.13  - 12 episode(s)      - 24 min. per ep.       - Drama, Romance, Fantasy, Shoujo                                                                          - https://myanimelist.net/anime/31173
Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page                                          - 7.78  - 1 episode(s)       - 24 min.               - Drama, Fantasy, Romance, Shoujo                                                                          - https://myanimelist.net/anime/31483
Akagami no Shirayuki-hime                                                                            - 7.92  - 12 episode(s)      - 24 min. per ep.       - Drama, Fantasy, Romance, Shoujo                                                                          - https://myanimelist.net/anime/30123
