Title                                                                     - Score - Num Eps            - Duration        - Genre(s)                                                    - Link
2002-nen Harmoni Ondo                                                     - 5.49  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/31874
2010                                                                      - 4.88  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32813
3-D Tengoku                                                               - 4.74  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/24783
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku                          - 5.45  - 1 episode(s)       - 3 min.          - Music, School                                               - https://myanimelist.net/anime/24181
44-hiki no Neko                                                           - 4.71  - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/8646
7-kakan.                                                                  - 5.63  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32853
Ai Uta: Since 2007                                                        - 5.46  - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/34656
Ai think so,                                                              - 5.48  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/31908
Aikodesho                                                                 - 3.83  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32421
Ainone                                                                    - 4.56  - 1 episode(s)       - 1 min.          - Music, Drama                                                - https://myanimelist.net/anime/32804
All Alone With You                                                        - 7.30  - 1 episode(s)       - 5 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/17901
Ame no Bus Stop-hen                                                       - 4.76  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32778
Anime Douyou                                                              - 4.50  - 30 episode(s)      - 5 min. per ep.  - Music, Kids                                                 - https://myanimelist.net/anime/33108
Anime Mitai na                                                            - 5.41  - 1 episode(s)       - 4 min.          -                                                             - https://myanimelist.net/anime/35707
Answer                                                                    - 5.24  - 1 episode(s)       - 2 min.          - Music, Supernatural, Vampire                                - https://myanimelist.net/anime/32789
Anygedybudybombom                                                         - 4.51  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32779
Arigatou (2010)                                                           - 4.50  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/37195
Arigatou                                                                  - 7.00  - 1 episode(s)       - Unknown         - Music, Kids                                                 - https://myanimelist.net/anime/37194
Aruite Mikka!                                                             - 4.53  - 1 episode(s)       - 2 min.          - Music, Comedy, Kids                                         - https://myanimelist.net/anime/29105
Ashita e Mukau Hito                                                       - 5.72  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32750
Avignon no Hashi de                                                       - 5.03  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/8778
Awate Tokoya                                                              - 5.02  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/24785
B Who I Want 2 B                                                          - 5.52  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/31880
B-Project: Kodou*Ambitious 2                                              - N/A   - Unknown episode(s) - Unknown         - Music, Shoujo                                               - https://myanimelist.net/anime/36483
B-Project: Kodou*Ambitious                                                - 6.76  - 12 episode(s)      - 24 min. per ep. - Music, Shoujo                                               - https://myanimelist.net/anime/33046
Bacterial Contamination                                                   - 6.07  - 1 episode(s)       - 4 min.          - Dementia, Music, Horror                                     - https://myanimelist.net/anime/20855
Balloon (Music)                                                           - 5.48  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/34432
Banana Mura ni Ame ga Furu                                                - 4.75  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29107
Beachside Lover                                                           - N/A   - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36489
Beat in Love                                                              - 4.50  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36078
Black Ocean                                                               - 4.96  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32811
Boku wa Kimi no Namida                                                    - N/A   - 1 episode(s)       - 4 min.          - Kids, Music                                                 - https://myanimelist.net/anime/35587
Boku wa Kimi wo Warawanai                                                 - 5.57  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32859
Boku wa Koko de Ikiteiku                                                  - 5.50  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/33523
Boku wa Mada 7-sai Datta                                                  - 6.03  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36716
Boku wa Sonzai Shiteinakatta                                              - 5.79  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36191
Bokura Machi Bouzu!                                                       - 3.44  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/31882
Bokura no Live Kimi to no Life                                            - 7.20  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/9907
Bucket no Ana                                                             - 3.77  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/30202
Bungaku Shounen no Yuuutsu                                                - 5.62  - 1 episode(s)       - 6 min.          - Drama, Music                                                - https://myanimelist.net/anime/32760
Cabbage UFO                                                               - 5.14  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29455
Car Radio                                                                 - 4.90  - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/36093
Cherry Blossom (Music)                                                    - 4.66  - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/32765
Chiisana Kinomi                                                           - 5.27  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30164
Children Record                                                           - 6.99  - 2 episode(s)       - 3 min. per ep.  - Music                                                       - https://myanimelist.net/anime/30903
