Title                                                                                               - Score - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
001                                                                                                 - 3.34  - 1 episode(s)       - 37 sec.               - Comedy                                                                                                                                                         - https://myanimelist.net/anime/29978
100%                                                                                                - 5.52  - 1 episode(s)       - 53 min.               - Drama                                                                                                                                                          - https://myanimelist.net/anime/7374
1001 Nights                                                                                         - 6.34  - 1 episode(s)       - 24 min.               - Demons, Fantasy, Romance, Seinen                                                                                                                               - https://myanimelist.net/anime/3914
1989                                                                                                - 5.67  - 1 episode(s)       - 7 min.                - Space, Music                                                                                                                                                   - https://myanimelist.net/anime/30234
20-dai no Heya-hen                                                                                  - 5.24  - 1 episode(s)       - 15 sec.               - Slice of Life                                                                                                                                                  - https://myanimelist.net/anime/29347
2005-nen Uchuu no Tabi                                                                              - 4.56  - 1 episode(s)       - 1 min.                - Space, Dementia, Sci-Fi                                                                                                                                        - https://myanimelist.net/anime/28339
2020 Nyeon Ujuui Wonder Kiddy                                                                       - 5.92  - 13 episode(s)      - 24 min. per ep.       - Sci-Fi, Space                                                                                                                                                  - https://myanimelist.net/anime/16696
21 Emon Uchuu e Irasshai!                                                                           - 5.57  - 1 episode(s)       - 1 hr. 32 min.         - Space, Comedy, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/6073
21 Emon Uchuu ike! Hadashi no Princess                                                              - 6.03  - 1 episode(s)       - 40 min.               - Space, Comedy, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/6074
21 Emon                                                                                             - 6.10  - 39 episode(s)      - 25 min. per ep.       - Space, Comedy, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/5628
21 Seiki Manga Hajimete Monogatari                                                                  - 6.38  - 1 episode(s)       - 30 min.               - Adventure, Comedy, Kids, Sci-Fi                                                                                                                                - https://myanimelist.net/anime/10139
2x1                                                                                                 - 5.33  - 2 episode(s)       - 24 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/2864
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!                                                  - 6.14  - 1 episode(s)       - 43 min.               - Adventure, Kids                                                                                                                                                - https://myanimelist.net/anime/12589
3 Choume no Tama: Uchi no Tama Shirimasenka?                                                        - 6.70  - 36 episode(s)      - 23 min. per ep.       - Adventure                                                                                                                                                      - https://myanimelist.net/anime/2467
3-gatsu no Lion meets Bump of Chicken                                                               - 6.97  - 1 episode(s)       - 5 min.                - Music, Drama, Seinen                                                                                                                                           - https://myanimelist.net/anime/28789
30-sai no Hoken Taiiku Specials                                                                     - 6.31  - 3 episode(s)       - 10 min. per ep.       - Ecchi, Parody, Romance, Seinen                                                                                                                                 - https://myanimelist.net/anime/12131
4-Day Weekend                                                                                       - 5.83  - 1 episode(s)       - 4 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/3685
40 Shuunen da yo! Coro Coro All-Star Shougakkou                                                     - N/A   - Unknown episode(s) - Unknown               - Comedy, School                                                                                                                                                 - https://myanimelist.net/anime/35745
